Name,g,r,i,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
ASASSN-13ax,5,10,6,Dwarf Nova,,ASASSN-13ax,0,0,0,0,0,0
ASASSN-14ae,4,14,10,TDE,0.0436,ASASSN-14ae,0,0,0,0,0,0
ASASSN-14az,4,4,4,IIb,0.006731,ASASSN-14az;Gaia14age;MLS140831:234448-020701,1,0,0,0,0,0
ASASSN-14bb,5,6,5,Ia,0.022;0.023,ASASSN-14bb;iPTF14axo,1,0,0,0,0,0
ASASSN-14dq,38,38,37,II;IIb,0.010424,ASASSN-14dq,0,0,0,0,0,0
ASASSN-14ha,34,44,44,II,0.005017,ASASSN-14ha,10,0,0,0,0,1
ASASSN-14hi,3,4,4,CV,,ASASSN-14hi,0,0,0,0,0,0
ASASSN-14kg,18,18,17,II,0.014477,ASASSN-14kg,0,0,0,0,0,0
ASASSN-14lp,30,31,30,Ia,0.005101,ASASSN-14lp,59,0,0,0,0,1
ASASSN-15bc,4,5,6,Ia;Ia-91T,0.036715,ASASSN-15bc,0,0,0,0,0,0
ASASSN-15bk,8,8,6,Ia,0.034277,ASASSN-15bk;Gaia15aao;PS15yq,1,0,0,0,0,0
ASASSN-15fa,9,19,16,Ia;Ia-91T,0.027408,ASASSN-15fa;Gaia15adb,1,0,0,0,0,0
ASASSN-15fs,7,8,14,Ia,0.02902,ASASSN-15fs;Gaia15afh;PS15aij,0,0,0,0,0,0
ASASSN-15ga,3,3,6,Ia;Ia-91bg,0.006631,ASASSN-15ga,0,0,0,0,0,0
ASASSN-15go,3,3,3,Ia,0.018923,ASASSN-15go,1,0,0,0,0,0
ASASSN-15hg,6,6,6,Ia,0.029771,ASASSN-15hg,0,0,0,0,0,0
ASASSN-15hy,6,6,9,Ia Pec,0.025;0.032,ASASSN-15hy;PS15aou,1,0,0,0,0,0
ASASSN-15il,7,8,7,Ia,0.023316,ASASSN-15il,0,0,0,0,0,0
ASASSN-15jl,7,7,7,Ia,0.034746,ASASSN-15jl;PS15aol,0,0,0,0,0,0
ASASSN-15jt,7,7,7,Ia,0.022999,ASASSN-15jt,0,0,0,0,0,0
ASASSN-15kx,6,6,6,Ia,0.018019,ASASSN-15kx,1,0,0,0,0,0
ASASSN-15la,6,7,6,Ia,0.027903,ASASSN-15la;PS15bdj,0,0,0,0,0,0
ASASSN-15lg,5,6,6,Ia,0.020317,ASASSN-15lg,0,0,0,0,0,0
ASASSN-15lu,7,7,8,Ia,0.035037,ASASSN-15lu,0,0,0,0,0,0
ASASSN-15mf,6,6,7,Ia,0.026,ASASSN-15mf,0,0,0,0,0,0
ASASSN-15mg,6,6,6,Ia,0.0428,ASASSN-15mg,1,0,0,0,0,0
ASASSN-15mi,6,6,7,Ia Pec;Ia-91T,0.034446,ASASSN-15mi,1,0,0,0,0,0
ASASSN-15np,5,5,5,Ia,0.037688,ASASSN-15np,1,0,0,0,0,0
ASASSN-15nq,6,6,6,Ia,0.030418,ASASSN-15nq,1,0,0,0,0,0
ASASSN-15nr,6,7,6,Ia;Ia-91T,0.023206,ASASSN-15nr,0,0,0,0,0,0
ASASSN-15od,6,6,6,Ia,0.017989,ASASSN-15od;PS15bxd;DES15X3iv,0,0,0,0,0,0
ASASSN-15oh,6,5,5,Ia,0.016835,ASASSN-15oh,0,0,0,0,0,0
ASASSN-15pm,7,7,7,Ia,0.048784,ASASSN-15pm;PS15ckl;CSS150913:013836-044047,0,0,0,0,0,0
ASASSN-15pn,7,7,8,Ia,0.038393,ASASSN-15pn,0,0,0,0,0,0
ASASSN-15pr,6,6,7,Ia,0.033093,ASASSN-15pr,0,0,0,0,0,0
ASASSN-15py,5,6,6,Ia,0.044743,ASASSN-15py,0,0,0,0,0,0
ASASSN-15rw,6,7,7,Ia,0.0189,ASASSN-15rw;CSS151031:021558+121414;MLS151211:021558+121414;PS15coh;iPTF15fev,0,0,0,0,0,0
ASASSN-15sb,5,5,7,Ia,0.022712,ASASSN-15sb,0,0,0,0,0,0
ASASSN-15sf,7,7,8,Ia,0.027,ASASSN-15sf;LSQ15bjb;PS1-15cog;PS15cog,0,0,0,0,0,0
ASASSN-15so,11,13,13,Ia,0.007125,ASASSN-15so,1,0,0,0,0,0
ASASSN-15ss,6,6,6,Ia,0.035558,ASASSN-15ss,0,0,0,0,0,0
ASASSN-15ti,6,8,7,Ia,0.016,ASASSN-15ti,0,0,0,0,0,0
ASASSN-15tz,6,6,6,Ia,0.022862,ASASSN-15tz,0,0,0,0,0,0
ASASSN-15uu,5,5,5,Ia,0.026795,ASASSN-15uu,1,0,0,0,0,0
ASASSN-15uv,7,8,8,Ia,0.02033,ASASSN-15uv;PS15dqu,1,0,0,0,0,0
ASASSN-15uw,7,6,7,Ia,0.030811,ASASSN-15uw,0,0,0,0,0,0
CSS130912:025702-001844,7,15,12,SLSN-I,0.431,CSS130912:025702-001844;iPTF13dcc,0,0,0,0,0,0
CSS141118:092034+504148,114,125,105,II P;PISN;II,0.0344,CSS141118:092034+504148;iPTF14hls;AT2016bse;Gaia16aog,63,0,0,0,0,1
CSS150120:053013-165338,3,3,3,II,0.02,CSS150120:053013-165338;Gaia15acg,0,0,0,0,0,0
CSS151120:044526-190158,6,6,8,Ia;Ia-91bg,0.073,CSS151120:044526-190158,1,0,0,0,0,0
DES14X3taz,10,16,18,SLSN-I;SLSN,0.608,DES14X3taz,2,0,0,0,0,0
DES15E2mlf,12,12,10,SLSN;SLSN-I,1.861,DES15E2mlf,3,0,0,0,0,1
DES17C1ald,11,15,15,Ia,0.14,DES17C1ald,1,0,0,0,0,0
DES17C1cpv,8,7,7,,,DES17C1cpv,0,0,0,0,0,0
DES17C1ffz,3,3,3,,,DES17C1ffz,0,0,0,0,0,0
DES17C2ou,16,18,18,,,DES17C2ou,0,0,0,0,0,0
DES17C3arf,13,12,8,,,DES17C3arf,0,0,0,0,0,0
DES17C3eg,25,25,24,Ia,0.117,DES17C3eg,0,0,0,0,0,0
DES17X1boj,4,7,8,,,DES17X1boj,0,0,0,0,0,0
DES17X2bef,9,11,11,,,DES17X2bef,0,0,0,0,0,0
Gaia14aat,3,3,4,Dwarf Nova;CV,,Gaia14aat,0,0,0,0,0,0
Gaia14abh,3,5,6,,0.2,Gaia14abh,0,0,0,0,0,0
Gaia14acp,4,3,3,Galaxy,0.12,Gaia14acp,0,0,0,0,0,0
Gaia14adq,3,3,3,,0.09,Gaia14adq,0,0,0,0,0,0
Gaia15aaf,11,15,4,II,,Gaia15aaf,0,0,0,0,0,0
Gaia15aai,9,17,14,AGN,0.11,Gaia15aai,0,0,0,0,0,0
Gaia15aam,17,18,7,Ib/c,0.05,Gaia15aam,0,0,0,0,0,0
Gaia15aav,7,8,6,II?;II,0.13,Gaia15aav,0,0,0,0,0,0
Gaia15abb,5,5,3,Ia,0.07,Gaia15abb;PS15nj,0,0,0,0,0,0
Gaia15abc,11,4,6,I,0.09,Gaia15abc,0,0,0,0,0,0
Gaia15aby,10,17,7,Ia,0.079,Gaia15aby;PS15abe,0,0,0,0,0,0
Gaia15abz,14,15,6,II,0.0251,Gaia15abz;iPTF15jg;PS15ed,1,0,0,0,0,0
Gaia15acp,3,5,3,,,Gaia15acp,0,0,0,0,0,0
Gaia15acv,9,5,6,,,Gaia15acv,0,0,0,0,0,0
Gaia15adn,9,8,6,Ia,0.04,Gaia15adn,0,0,0,0,0,0
Gaia15ads,6,8,3,,,Gaia15ads,0,0,0,0,0,0
Gaia15aek,5,6,5,II;II P,0.012,Gaia15aek,0,0,0,0,0,0
Gaia15agc,4,5,3,Ia,0.04,Gaia15agc,0,0,0,0,0,0
Gaia15agh,9,9,7,Ia,0.044,Gaia15agh;PSN J12040516+1404059,0,0,0,0,0,0
Gaia15agm,4,9,10,Ia,0.029,Gaia15agm,1,0,0,0,0,0
