Name,g',r',i',claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
PS1-12bku,6,7,7,II P,0.096;0.096,PS1-12bku,0,0,0,0,1,1
PS1-14vk,12,18,17,II,,PS1-14vk,0,0,0,0,0,0
SDSS-II SN 10054,6,5,4,II,0.078157,SDSS-II SN 10054,0,0,0,0,0,0
SDSS-II SN 10106,8,7,7,Ia?,0.1472;0.1476;0.1476,SDSS-II SN 10106;SDSSJ031046.41-001217.3,0,0,0,0,0,0
SDSS-II SN 10113,7,7,5,Ia;Ia,0.296;0.281,SDSS-II SN 10113,0,0,0,0,0,0
SDSS-II SN 10161,6,6,5,II,,SDSS-II SN 10161,0,0,0,0,0,0
SDSS-II SN 10210,4,9,10,II,,SDSS-II SN 10210,0,0,0,0,0,0
SDSS-II SN 1024,18,19,17,II,,SDSS-II SN 1024,0,0,0,0,0,0
SDSS-II SN 10299,5,5,5,Ia;Ia,0.261248,SDSS-II SN 10299,0,0,0,0,0,0
SDSS-II SN 10314,6,6,5,II,,SDSS-II SN 10314,0,0,0,0,0,0
SDSS-II SN 10324,5,4,5,Ia;Ia,0.251725,SDSS-II SN 10324,0,0,0,0,0,0
SDSS-II SN 10450,6,6,4,Ia;Ia,0.272,SDSS-II SN 10450,0,0,0,0,0,0
SDSS-II SN 1048,7,4,5,II,,SDSS-II SN 1048,0,0,0,0,0,0
SDSS-II SN 10480,3,4,8,Ia;Ia,0.148,SDSS-II SN 10480,0,0,0,0,0,0
SDSS-II SN 10506,4,6,3,Ia;Ia,0.0221,SDSS-II SN 10506,0,0,0,0,0,0
SDSS-II SN 10507,13,9,4,II,,SDSS-II SN 10507,0,0,0,0,0,0
SDSS-II SN 10559,5,4,4,Ia;Ia,0.281092,SDSS-II SN 10559,0,0,0,0,0,0
SDSS-II SN 10620,5,7,3,Ia,,SDSS-II SN 10620,0,0,0,0,0,0
SDSS-II SN 10928,4,4,3,II,0.081883,SDSS-II SN 10928,0,0,0,0,0,0
SDSS-II SN 10976,4,4,4,II,0.095606,SDSS-II SN 10976,0,0,0,0,0,0
SDSS-II SN 10991,3,5,5,Ia;Ia,0.267;0.238,SDSS-II SN 10991,0,0,0,0,0,0
SDSS-II SN 10997,5,6,4,Ia;Ia,0.102;0.0959,SDSS-II SN 10997,0,0,0,0,0,0
SDSS-II SN 1109,9,11,12,II,,SDSS-II SN 1109,0,0,0,0,0,0
SDSS-II SN 11092,5,5,5,Ia;Ia,0.0701,SDSS-II SN 11092,0,0,0,0,0,0
SDSS-II SN 11094,6,7,3,II,,SDSS-II SN 11094,0,0,0,0,0,0
SDSS-II SN 11120,5,4,4,Ia;Ia,0.107264,SDSS-II SN 11120,0,0,0,0,0,0
SDSS-II SN 1113,11,12,13,II,0.056915,SDSS-II SN 1113,0,0,0,0,0,0
SDSS-II SN 1115,9,14,14,II,,SDSS-II SN 1115,0,0,0,0,0,0
SDSS-II SN 11156,4,4,3,Ia,0.309079,SDSS-II SN 11156,0,0,0,0,0,0
SDSS-II SN 11181,3,3,3,Ia;Ia,0.34394,SDSS-II SN 11181,0,0,0,0,0,0
SDSS-II SN 11204,3,3,3,II,,SDSS-II SN 11204,0,0,0,0,0,0
SDSS-II SN 11305,4,3,4,Ib/c;Ia,0.184;0.169,SDSS-II SN 11305,0,0,0,0,0,0
SDSS-II SN 1131,4,6,4,II,0.17379,SDSS-II SN 1131,0,0,0,0,0,0
SDSS-II SN 11314,4,4,4,Ia;Ia,0.184;0.169,SDSS-II SN 11314,0,0,0,0,0,0
SDSS-II SN 11316,9,9,9,II,,SDSS-II SN 11316,0,0,0,0,0,0
SDSS-II SN 11492,3,3,3,II,,SDSS-II SN 11492,0,0,0,0,0,0
SDSS-II SN 11510,11,11,8,II,,SDSS-II SN 11510,0,0,0,0,0,0
SDSS-II SN 11532,3,3,3,II,0.045406,SDSS-II SN 11532,0,0,0,0,0,0
SDSS-II SN 1164,15,15,15,II,,SDSS-II SN 1164,0,0,0,0,0,0
SDSS-II SN 1166,4,5,5,Ia,0.3824;0.382077,SDSS-II SN 1166,0,0,0,0,0,0
SDSS-II SN 11723,3,3,3,Ia,,SDSS-II SN 11723,0,0,0,0,0,0
SDSS-II SN 11850,8,9,4,II,,SDSS-II SN 11850,0,0,0,0,0,0
