Name,Type,Alpha,Delta
SNF20050701-003,II,21:40:08.2,+10:39:14.0
SNF20050625-004,II,17:37:44.2,+11:09:03.7
SNF20050705-000,II,22:16:39.6,-21:29:28.7
SNF20050803-005,II,00:09:34.7,+12:45:21.4
SNF20051117-001,II,08:40:09.18,-05:36:02.2
SNF20051129-004,II,08:02:33.91,+06:16:29.3
SN2006ad,II,09:07:43.11,+12:03:06.5
SN2006ag,IIn,12:00:17.12,+28:36:22.0
SN2004dh,II,00:18:00.3,+24:33:44.5
SN2004dk,Ic,16:21:48.93,-02:16:17.3
SN2004dn,Ic,02:35:37.30,+37:37:54.2
SN2004dr,II,02:46:53.97,-22:38:15.0
SN2004du,IIn,21:08:26.51,+18:11:23.7
SN2004eb,II-P,17:28:24.30,+57:32:45.7
SN2004ek,II,01:09:58.51,+32:22:47.7
SN2004em,II,19:31:31.11,+35:52:15.7
SN2004er,II,02:36:59.04,-05:21:19.7
SN2004et,II,20:35:25.4,+60:07:17.6
Quest_SN1,II,03:47:08.54,+28:06:39.30
SN2004ex,II,00:38:10.19,+02:43:17.2
SN2004fc,II,01:51:03.85,-09:42:06.9
SN2004fe,Ic,00:30:11.27,+02:05:23.5
SN2004ff,Ic,04:58:46.19,-21:34:12.0
SN2004fx,II,05:11:11.67,-09:23:31.6
SN2004ge,Ic,06:50:00.13,+25:38:02.0
SN2004gq,Ib,05:12:04.81,-15:40:54.2
SN2004gt,Ic,12:01:50.37,-18:52:12.7
SN2004gv,Ib/c,02:13:37.42,-00:43:05.8
SN2005E,Ib,02:39:14.34,+01:05:55.0
SN2005H,II,02:09:38.52,-10:08:43.6
SN2005O,Ib,10:42:18.32,-00:22:41.2
SN2005U,II,11:28:33.22,+58:33:42.5
SN2005Y,II,01:37:37.29,+00:02:29.8
SN2005Z,II,10:45:09.18,+22:04:38.3
SN2005aa,II,09:08:04.2,+27:14:59.4
SN2005ab,II,12:41:05.18,+50:22:56.2
SN2005ad,II,02:28:29.45,-01:08:20.0
SN2005an,II,12:28:27.35,-24:38:02.4
SN2005ap,II,13:01:14.84,+27:43:31.4
SN2005ar,Ib,11:15:19.03,-03:46:18.5
SN2005au,II,13:16:12.42,+30:56:40.5
SN2005ay,II,11:52:48.02,+44:06:16.8
SN2005az,Ib,13:05:46.97,+27:44:08.4
SN2005ba,II,11:37:42.58,+22:00:38.9
SN2005bf,Ic,10:23:56.99,-03:11:29.3 
SN2005bp,II,17:09:43.22,+36:25:08.1
SN2005bw,II,13:33:29.73,+33:02:27.8
SN2005bx,IIn,13:50:24.95,+68:33:19.4
SN2005by,II,13:45:46.91,+22:05:46.8
SN2005ci,II,14:34:44.88,+48:40:19.8
SN2005cl,IIn,21:02:02.35,-06:17:35.7
SN2005cp,IIn,23:59:30.88,+18:12:09.6
SN2005cs,II,13:29:52.85,+47:10:36.3
SNF20050630-005,II,21:13:53.5,+03:30:28.7
SN2005db,IIn,00:41:26.79,+25:29:51.6
SN2005dp,II,14:27:36.62,+41:15:15.0
SN2005ds,II,17:57:39.89,+27:50:18.4
SN2004dt,Ia,02:02:12.77,-00:05:51.5
SN2004ef,Ia,22:42:10.02,+19:59:40.4
SN2005M,Ia,09:37:32.36,+23:12:02.7
SN2004dj,II-P,07:37:17.02,+65:35:57.8
SN2005cf,Ia,15:21:32.21,-07:24:47.5
SN2004gk,Ic,12:25:33.21,+12:15:39.9
SN2004ea,Ia,04:16:13.20,"-16:45:20"".5"
SN2004eo,Ia,20:32:54.19,+09:55:42.7
SN2004dy,II,21:11:30.13,-02:02:13.3
SN2004ev,Ia,19:20:31.78,-28:55:14.9
SN2004fd,Ia,02:43:15.25,+32:25:25.6
SN2004fg,Ia,23:47:24.45,+28:23:22.4
SN2004fu,Ia,20:35:11.54,+64:48:25.7
SN2004fw,Ia,08:52:14.55,+52:53:30.4
SN2004eu,Ic,02:20:34.86,+41:34:18.5
SN2004gy,II,13:03:58.42,+26:14:03.7
SN2005ch,Ia,14:22:06.77,+01:59:35.7
SN2005de,Ia,18:02:23.36,+26:03:07.7
SN2005dh,Ia,15:54:03.32,+23:08:09.9
SN2005di,Ia,22:25:32.84,-24:14:20.1
