#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-04T08:12:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b3c7c688a00	
#INFO	-out.max=99999	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/ApJ/799/208/table1
#-nav=cat:J/ApJ/799/208&tab:{J/ApJ/799/208/table1}&key:source=J/ApJ/799/208/table1&HTTPPRM:&&-ref=VIZ5b3c7c688a00&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=PS1&-out=Field&-out=RAJ2000&-out=DEJ2000&-out=MJD&-out=z&-out=Ng&-out=Nr&-out=Ni&-out=Nz&-out=Ny&-out=Np&-out=Nm&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/799/208/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/799/208/table1
#-out=PS1
#-out=Field
#-out=RAJ2000
#-out=DEJ2000
#-out=MJD
#-out=z
#-out=Ng
#-out=Nr
#-out=Ni
#-out=Nz
#-out=Ny
#-out=Np
#-out=Nm
#-out=Simbad
#

#RESOURCE=yCat_17990208
#Name: J/ApJ/799/208
#Title: Type IIP supernovae from Pan-STARRS1 (Sanders+, 2015)
#Table	J_ApJ_799_208_table1:
#Name: J/ApJ/799/208/table1
#Title: Pan-STARRS1 type IIP SN sample
#Column	PS1	(A6)	PS1 transient designation (-YYaaa) (G1) (1)	[ucd=meta.id;meta.main]
#Column	Field	(I2)	[1/10] PS1 Medium Deep Field where transient discovered	[ucd=meta.id;obs.field]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	MJD	(I5)	Modified Julian Date of discovery	[ucd=time.epoch]
#Column	z	(F6.3)	[0.04/0.4] Redshift from follow-up spectroscopy	[ucd=src.redshift]
#Column	Ng	(I2)	[0/30] Number of PS1 g band observations	[ucd=meta.number]
#Column	Nr	(I2)	[1/36] Number of PS1 r band observations	[ucd=meta.number]
#Column	Ni	(I2)	[0/37] Number of PS1 i band observations	[ucd=meta.number]
#Column	Nz	(I2)	[0/30] Number of PS1 z band observations	[ucd=meta.number]
#Column	Ny	(I2)	[0/27] Number of PS1 y band observations	[ucd=meta.number]
#Column	Np	(I3)	Light curve parameters for this IIP supernova [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Nm	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
PS1;Field;RAJ2000;DEJ2000;MJD;z;Ng;Nr;Ni;Nz;Ny;Np;Nm;Simbad
 ; ;"h:m:s";"d:m:s";d; ; ; ; ; ; ; ; ;
------;--;------------;------------;-----;------;--;--;--;--;--;---;---;------
-10a  ; 2;03 29 48.735;-29 04 29.91;55207; 0.071; 2; 2; 5; 4; 0;  5;  1;Simbad
-10b  ; 3;08 37 02.587;+43 44 16.85;55207; 0.260; 4; 4; 5; 0; 0;  5;  0;Simbad
-10q  ; 6;12 19 37.533;+46 01 56.03;55212; 0.057;15;17;16;13; 0;  5;  1;Simbad
-10t  ; 4;09 55 30.959;+01 29 01.18;55214; 0.093;11;11;11;11; 0;  5;  0;Simbad
-10ae ; 4;10 02 09.742;+01 14 00.93;55242; 0.086; 4; 5; 8; 6; 0;  5;  1;Simbad
-10jr ; 7;14 07 33.470;+52 38 17.87;55362; 0.333; 2; 4; 3; 0; 0;  0;  1;Simbad
-10lv ; 9;22 13 00.969;+00 46 24.49;55389; 0.127;10;21;22;23; 0;  5;  1;Simbad
-10mb ; 8;16 11 44.435;+56 05 08.39;55389; 0.064; 2;12;13;10; 0;  5;  1;Simbad
-10zu ; 1;02 18 54.489;-04 14 42.96;55407; 0.059;11;18;21;24; 0;  5;  1;Simbad
-10abd; 1;02 20 04.175;-03 30 46.10;55414; 0.132; 5;15;18;16; 0;  5;  1;Simbad
-10agh; 1;02 21 04.532;-03 06 14.81;55428; 0.141; 8;12;14;18; 0;  5;  1;Simbad
-10awc; 2;03 30 12.902;-28 38 22.19;55467; 0.123; 8;11;12;15; 0;  5;  1;Simbad
-10biu; 9;22 14 20.250;-00 19 00.10;55499; 0.184; 2; 3; 5; 2; 0;  5;  1;Simbad
-10blk; 1;02 22 51.457;-03 24 18.58;55510; 0.074; 7; 6; 9; 5; 0;  5;  1;Simbad
-11u  ; 5;10 41 11.486;+58 14 11.61;55566; 0.040; 7; 8; 7; 5; 0;  5;  1;Simbad
-11z  ; 4;10 03 16.250;+03 23 54.14;55566; 0.105; 8; 9;11; 7; 0;  5;  1;Simbad
-11ai ; 4;09 56 42.562;+00 55 47.69;55567; 0.092; 3; 6; 7; 5; 0;  5;  1;Simbad
-11ak ; 2;03 33 29.222;-28 45 26.54;55568; 0.120; 0; 1; 2; 1; 0;  5;  0;Simbad
-11bl ; 5;10 49 31.565;+56 43 05.92;55572; 0.150; 4;10;15; 8; 0;  0;  0;Simbad
-11bo ; 4;09 56 45.045;+00 58 08.29;55576; 0.093; 8;12;10;10; 0;  5;  1;Simbad
-11fl ; 7;14 05 19.148;+53 07 24.25;55597; 0.096; 5; 9;14; 8; 0;  5;  1;Simbad
-11jg ; 6;12 21 42.116;+47 23 00.01;55597; 0.082; 0; 1;12; 1; 0;  5;  0;Simbad
-11kf ; 8;16 09 05.620;+54 07 19.71;55602; 0.210; 1; 3; 4; 2; 0;  5;  1;Simbad
-11li ; 6;12 16 14.114;+46 20 45.99;55605; 0.068; 4;11; 0; 9; 0;  5;  1;Simbad
-11lj ; 6;12 16 56.601;+46 18 56.29;55605; 0.070;12;14;16;14; 0;  5;  1;Simbad
-11lr ; 3;08 37 58.889;+43 48 22.28;55615; 0.055; 4; 4; 7; 5; 0;  5;  1;Simbad
-11lq ; 4;09 57 11.372;+02 32 40.35;55615; 0.101; 8; 9; 7; 5; 0;  5;  1;Simbad
-11md ; 3;08 41 11.752;+43 22 51.45;55633; 0.145; 4; 4; 6; 4; 0;  5;  1;Simbad
-11pf ; 7;14 18 29.828;+53 43 31.79;55636; 0.148; 4; 9;19; 7; 0;  5;  1;Simbad
-11qe ; 7;14 19 13.704;+54 09 15.03;55648; 0.191; 7; 9;18; 8; 0;  5;  1;Simbad
-11si ; 5;10 43 40.661;+58 02 38.18;55666; 0.133; 0; 2; 5; 2; 0;  5;  0;Simbad
-11sm ; 7;14 20 18.612;+53 59 28.70;55666; 0.209; 4; 4; 9; 2; 0;  5;  1;Simbad
-11ua ; 8;16 12 00.684;+54 41 31.66;55675; 0.236; 2; 3; 7; 1; 0;  5;  1;Simbad
-11uv ; 5;10 48 48.970;+57 47 35.99;55675; 0.073; 6; 5; 7; 7; 0;  5;  1;Simbad
-11vn ; 7;14 19 17.217;+53 45 07.20;55675; 0.168; 3; 5;12; 2; 0;  5;  1;Simbad
-11wj ; 4;10 00 49.340;+02 52 46.68;55675; 0.077; 3; 3; 3; 2; 0;  5;  1;Simbad
