0,1,2,3,4,5,6,7
PS1-12bku (g'r'i'),-0.34785298,-3.0052729,2.546611,-1.8117144,-1.1575222,-3.141895,-3.4391358
SDSS-II SN 10054 (g'r'i'),0.6919223,-0.0011281616,0.7316143,1.7378038,1.5786928,2.0163357,0.05145553
SDSS-II SN 10113 (g'r'i'),1.1287026,0.30826354,-2.031362,0.14481749,0.15443258,1.3676014,1.8807175
SDSS-II SN 10161 (g'r'i'),1.264887,-2.3126345,1.8289977,-1.0519123,-0.8940417,-3.2381806,-2.996156
SDSS-II SN 1024 (g'r'i'),-0.0792953,-2.4805565,2.0864363,-2.4497473,0.37035373,-3.594505,-3.712447
SDSS-II SN 10299 (g'r'i'),1.463049,0.80326116,-1.0992868,1.6160285,0.11643399,1.2540036,0.6693836
SDSS-II SN 10324 (g'r'i'),-0.45759907,2.6336732,-1.5319314,2.7730856,0.023990799,0.72337395,3.0496573
SDSS-II SN 10450 (g'r'i'),2.0209801,-0.23038243,-1.9633497,0.49196053,0.09097115,0.6172677,0.9348442
SDSS-II SN 1048 (g'r'i'),2.035979,-1.8721765,1.6078324,-1.7727003,0.57915413,-3.4802556,-3.520338
SDSS-II SN 10506 (g'r'i'),1.7864683,-0.6686453,-2.1512964,0.78323025,-0.47798637,0.57752186,1.0766804
SDSS-II SN 10559 (g'r'i'),1.2797282,0.32039124,-2.8745008,0.78927803,-0.33002377,0.48622793,2.5688462
SDSS-II SN 10620 (g'r'i'),1.4388089,-0.14278181,-1.2388177,0.47756287,-0.37279874,1.1853461,-0.580076
SDSS-II SN 10976 (g'r'i'),0.60535127,0.95461553,-0.8649233,1.7498014,3.0206666,1.0820212,0.7625251
SDSS-II SN 10991 (g'r'i'),0.36314029,2.34623,-0.25421786,2.894763,-1.4421844,0.036010273,2.9813938
SDSS-II SN 10997 (g'r'i'),1.0456554,0.9521003,-2.1364732,0.7339718,1.0300561,1.0130874,1.5845739
SDSS-II SN 1109 (g'r'i'),-0.1119897,-2.2602515,2.050621,-1.4331028,-1.4657196,-2.8063822,-2.5132062
SDSS-II SN 11094 (g'r'i'),1.3813641,-1.5457851,1.2214881,0.11848086,0.9185535,0.26578307,-2.023688
SDSS-II SN 11120 (g'r'i'),0.7441864,0.83277804,-0.9316648,1.3184927,3.0355031,0.80744535,0.57887465
SDSS-II SN 1113 (g'r'i'),-0.437347,-1.0402247,1.2083286,-2.0042672,0.04991381,-3.0362306,-1.6138318
SDSS-II SN 1115 (g'r'i'),0.41896772,-2.6619976,2.1820204,-1.1053681,-1.8476739,-2.360533,-3.0440187
SDSS-II SN 11156 (g'r'i'),0.7211252,1.5168251,-1.9590404,0.57817674,1.6315525,1.0593303,1.8725625
SDSS-II SN 11181 (g'r'i'),-0.45100486,0.7585036,-3.1110098,1.8915205,-0.5563359,0.8571331,2.9212515
SDSS-II SN 11204 (g'r'i'),1.4707066,0.65699285,-1.2621291,-0.44368583,2.5171962,-0.53538,1.461617
SDSS-II SN 11305 (g'r'i'),-1.9586499,2.3867135,-0.7952016,3.021169,-1.4882836,0.3388202,3.52574
SDSS-II SN 1131 (g'r'i'),0.40980706,-2.1447694,1.9093407,-1.3914152,-1.0592872,-3.1831827,-2.5523787
SDSS-II SN 11314 (g'r'i'),-2.119626,3.199571,-0.20719822,2.9573462,-0.38982332,0.6783869,3.2431955
SDSS-II SN 11316 (g'r'i'),0.8164512,-0.46814716,1.2038814,1.8703537,0.8484156,1.9477881,-0.34086227
SDSS-II SN 11492 (g'r'i'),0.7579153,2.614457,-1.7035537,1.6295004,1.1123909,0.6115499,2.9006953
SDSS-II SN 1164 (g'r'i'),-0.5546114,-1.4089892,1.4772404,-2.3094554,0.13872278,-3.0465052,-2.4906147
SDSS-II SN 1166 (g'r'i'),1.6479782,-0.93642104,-0.88789684,-0.089074485,-1.4332732,-0.9137917,2.2651784
SDSS-II SN 11723 (g'r'i'),-2.4448745,3.5795925,0.111653894,2.5418303,0.141122,0.48043475,3.3190908
SDSS-II SN 11850 (g'r'i'),1.1710472,-2.198888,1.731724,-1.1231729,-1.0443897,-3.0193224,-2.5799947
SDSS-II SN 1199 (g'r'i'),1.9100982,-1.8826135,1.3730448,-0.81428444,0.81323934,-3.1134312,-2.732925
SDSS-II SN 12213 (g'r'i'),1.412066,-0.94115114,-2.138435,1.3761636,-1.4996138,0.26454663,1.7197064
SDSS-II SN 12804 (g'r'i'),-0.17837816,0.5264533,-0.32040942,-2.083933,2.1772802,0.4623307,0.23873079
SDSS-II SN 12852 (g'r'i'),1.9365388,-0.66686046,-0.5360783,0.3672148,-1.6455128,0.3575265,0.984114
SDSS-II SN 12868 (g'r'i'),0.2396223,-3.5240035,2.6521695,-1.6398257,2.0280983,-3.69806,-4.689235
SDSS-II SN 12875 (g'r'i'),0.5803791,0.565232,0.37151292,1.6416761,-2.122852,1.1280248,2.1508129
SDSS-II SN 12879 (g'r'i'),1.4984847,-0.541393,-0.7943886,1.0231078,-2.202217,-0.73904115,2.1396031
SDSS-II SN 12895 (g'r'i'),-1.066085,-0.3452779,1.4984672,-0.20687719,0.6974034,1.1838762,-3.0916293
SDSS-II SN 12924 (g'r'i'),1.6280689,-0.5824229,-1.4843302,-1.4843122,0.612861,-0.5421701,2.714084
SDSS-II SN 12929 (g'r'i'),0.24649344,-3.058026,2.2384946,-1.841865,0.5145062,-3.8744807,-4.1023293
SDSS-II SN 12939 (g'r'i'),-0.1477085,0.43360406,-0.09479756,-0.96832335,-0.5285389,-2.8029528,1.2331833
SDSS-II SN 12941 (g'r'i'),-1.5507616,-1.6508602,3.110707,-1.3228754,-1.6689212,-0.4494991,-0.6630091
SDSS-II SN 12942 (g'r'i'),-0.61229223,-3.6259384,3.222173,-1.950174,-0.3660837,-3.339464,-4.15463
SDSS-II SN 12964 (g'r'i'),-0.21694411,0.6191711,-0.27958035,-0.75379497,-0.6629468,-2.8228207,1.317796
SDSS-II SN 12978 (g'r'i'),-0.88229257,0.05619071,0.39003113,-1.8753451,1.0746968,1.081965,-2.0282288
SDSS-II SN 13009 (g'r'i'),0.53884864,-0.70232004,0.83710414,-2.9462929,0.34114927,-2.8403306,-0.26898736
SDSS-II SN 13016 (g'r'i'),1.1847007,-0.48182,-0.77442956,-1.7511265,0.6328748,0.79743373,1.5950019
SDSS-II SN 1302 (g'r'i'),-0.43423545,0.76236653,-0.15173627,-0.96020114,-0.28902805,-2.9212787,1.1573405
