0,1,2,3,4,5,6,7,8
PS1-12bku (g'r'i'),1.5591351,1.2572296,1.2796254,-0.4839896,2.9644125,-0.32302323,-2.1252317,-4.444522
SDSS-II SN 10054 (g'r'i'),0.533507,-2.6686203,-0.89894325,-0.7275246,-0.32966793,-0.31199503,1.0508941,0.5383731
SDSS-II SN 10113 (g'r'i'),-0.89316654,-0.26871073,0.47566965,0.37817863,-2.2888834,-0.46172884,1.208915,1.4101928
SDSS-II SN 10161 (g'r'i'),1.9926709,0.70676076,2.4099107,0.24958591,2.109036,-0.10229555,-1.3814269,-3.6357307
SDSS-II SN 1024 (g'r'i'),1.7762994,0.9283049,1.3885797,-0.5567244,2.0481007,1.1735733,-2.4751165,-4.742373
SDSS-II SN 10299 (g'r'i'),0.25812677,-1.0934048,-0.5905341,1.0130711,-1.3185028,-0.82700783,1.2592984,1.2338006
SDSS-II SN 10324 (g'r'i'),-1.4554864,-0.803139,-1.0826681,1.6698678,-0.52983636,-0.11172852,0.5843297,4.218756
SDSS-II SN 10450 (g'r'i'),0.31938985,-0.37944207,0.6822042,0.82798207,-2.360288,-0.9564801,0.79737395,0.71055555
SDSS-II SN 1048 (g'r'i'),2.179348,0.096804276,2.927868,-0.063239746,1.3472966,1.3730216,-1.4751484,-4.107037
SDSS-II SN 10506 (g'r'i'),0.4803937,-0.017821986,1.0428874,0.72866064,-2.068582,-1.3521032,0.9508994,1.0851293
SDSS-II SN 10559 (g'r'i'),-0.74657893,0.06829731,1.0940622,1.247761,-2.491277,-0.8146409,0.8791321,2.3824909
SDSS-II SN 10620 (g'r'i'),1.0619398,-0.039304934,-0.22805953,0.13550097,-1.404465,-0.9027869,1.242888,0.024144981
SDSS-II SN 10976 (g'r'i'),0.39204863,-2.7377582,-0.8058675,0.17336155,-1.5864993,1.1577244,0.20192662,1.6271704
SDSS-II SN 10991 (g'r'i'),-1.6452495,-0.66362715,-0.8173289,2.501126,0.5464135,-1.5113877,0.40088022,3.267686
SDSS-II SN 10997 (g'r'i'),-0.4377105,-0.81599283,-0.040007096,0.7633101,-2.380991,0.19472039,0.8122522,1.7757006
SDSS-II SN 1109 (g'r'i'),1.0873959,1.2898308,1.3836765,0.03206042,2.5711524,-0.4479534,-1.7321825,-3.362414
SDSS-II SN 11094 (g'r'i'),1.376748,-1.4309652,0.7087143,-0.65753144,0.56231564,0.16980545,0.6023753,-1.9112779
SDSS-II SN 11120 (g'r'i'),0.44847444,-2.5039756,-0.6038276,0.21204925,-1.7471151,1.2848024,0.026617097,1.2290617
SDSS-II SN 1113 (g'r'i'),0.55535793,1.1092112,1.0325458,0.26516134,1.319844,1.0886117,-2.3525693,-2.5161438
SDSS-II SN 1115 (g'r'i'),1.5169728,1.0873442,1.7231051,-0.4023486,2.8949223,-0.8973457,-1.1411935,-3.4533007
SDSS-II SN 11156 (g'r'i'),-0.9116645,-1.1035515,-0.44107792,0.70708877,-2.4385862,0.76871,0.55208474,1.9292512
SDSS-II SN 11181 (g'r'i'),-0.72833425,0.3733454,0.66494185,0.828606,-1.4461975,-0.3495417,1.1565062,4.0365043
SDSS-II SN 11204 (g'r'i'),-0.5849027,-1.4754663,0.54632765,0.83821034,-2.559567,1.1084145,-0.9907808,0.38620374
SDSS-II SN 11305 (g'r'i'),-1.852815,0.6244763,-1.1450335,1.406523,1.0860552,-0.7237811,0.3908694,4.677637
SDSS-II SN 1131 (g'r'i'),1.3615699,1.0626228,1.8072907,0.27894285,2.2364771,-0.11419293,-1.7802846,-3.4617696
SDSS-II SN 11314 (g'r'i'),-2.0801878,-0.07447132,-2.262918,1.1975843,0.94964254,-0.051874004,0.14808148,4.4634066
SDSS-II SN 11316 (g'r'i'),0.84901977,-2.484611,-0.77441067,-0.7474514,0.24020265,-0.98576736,1.1961584,0.13003297
SDSS-II SN 11492 (g'r'i'),-1.6433492,-1.4520135,-0.7723617,1.7864332,-1.8426712,0.3171287,0.25911304,3.053383
SDSS-II SN 1164 (g'r'i'),0.9173972,1.1843779,0.96393144,-0.22849907,1.6822174,1.2861816,-2.3705513,-3.23563
SDSS-II SN 1166 (g'r'i'),-0.9267493,0.5611954,2.1379983,1.363261,-0.97866833,-1.7660336,-0.10268164,0.43608513
SDSS-II SN 11723 (g'r'i'),-2.4098306,-0.00861853,-2.7094715,1.1018878,0.8591961,0.4162741,-0.34062776,4.235785
SDSS-II SN 11850 (g'r'i'),1.6078702,0.76779366,2.3210313,0.28232515,1.976808,-0.25699425,-1.3475598,-3.3613188
SDSS-II SN 1199 (g'r'i'),2.300361,-0.31392667,2.3786364,0.4439614,0.82818365,0.8379777,-1.2825016,-3.4424436
SDSS-II SN 12213 (g'r'i'),0.276491,0.43129653,1.5047851,1.0044686,-1.3376818,-2.0442042,0.98264,1.8291825
SDSS-II SN 12804 (g'r'i'),-0.6223447,-0.16496858,-0.3572613,-1.165242,-2.0112333,1.6486219,-0.7630205,-0.6400796
SDSS-II SN 12852 (g'r'i'),-0.17013405,0.19253875,0.88939494,0.9589604,-0.81085,-2.1909552,0.83257604,-0.035027344
SDSS-II SN 12868 (g'r'i'),3.1828191,-0.36617053,0.8876179,-0.6493106,1.6378151,1.2945827,-2.2966843,-6.0283813
SDSS-II SN 12875 (g'r'i'),-1.462543,-0.31930152,0.05020825,1.0600034,0.77084136,-2.0453918,1.3362242,1.5510106
SDSS-II SN 12879 (g'r'i'),-0.5607166,0.55557805,1.5442908,1.7719535,-0.31240273,-2.4177873,0.2136772,1.1104485
SDSS-II SN 12895 (g'r'i'),1.2783909,-0.4476712,-1.5619283,-1.6375716,1.6366309,0.9037768,0.5289235,-1.4352373
SDSS-II SN 12924 (g'r'i'),-1.6602615,-0.0059976703,1.9957204,0.49683988,-2.6278615,-0.35193136,-0.7573748,0.30043384
SDSS-II SN 12929 (g'r'i'),2.5651402,0.6412678,1.519719,-0.4079858,2.0717673,0.7963217,-2.4022415,-5.1511097
SDSS-II SN 12939 (g'r'i'),-0.78881353,1.2650908,0.9477863,1.7354198,0.061335146,0.3504789,-1.948285,-0.12250503
SDSS-II SN 12941 (g'r'i'),-0.76180387,0.17531379,-0.36929256,-0.706014,2.2994964,-1.3008667,-1.8154526,-1.9796447
SDSS-II SN 12942 (g'r'i'),1.9933786,0.78273386,0.83704215,-0.72087026,3.1694615,-0.06984883,-2.3751771,-5.5453777
SDSS-II SN 12964 (g'r'i'),-0.8073476,1.281726,0.9385575,1.8523066,0.118134335,0.33033583,-1.9532652,0.24018112
SDSS-II SN 12978 (g'r'i'),0.2645101,0.26300332,-1.319617,-1.8028333,-0.117487356,1.350661,-0.06692963,-1.7558924
SDSS-II SN 13009 (g'r'i'),-0.83795834,0.38347107,1.4995488,0.022479728,0.3974828,0.9117461,-2.5455863,-2.1436098
SDSS-II SN 13016 (g'r'i'),-1.4747682,-0.14731409,0.96156543,-0.52451074,-2.1124556,-0.17125355,0.07073937,-0.4524785
SDSS-II SN 1302 (g'r'i'),-0.7511907,1.2977668,0.686213,1.8033226,0.07360145,0.73605067,-2.0750332,0.026047051
SDSS-II SN 13027 (g'r'i'),-1.8366382,0.663903,1.02483,2.605315,-1.14056,-0.48941293,-0.7860473,2.6775022
SDSS-II SN 13051 (g'r'i'),-0.6743646,1.3404821,0.6215861,2.1018882,0.4011166,0.56062335,-2.0267198,0.45928958
SDSS-II SN 13058 (g'r'i'),0.30047315,1.1433104,1.248753,-1.2515715,3.2955055,0.16123715,-1.4818699,-4.4988785
SDSS-II SN 13062 (g'r'i'),2.3916576,-0.59380525,2.3665078,0.52247244,0.6291743,0.99655366,-1.1740458,-3.3314824
SDSS-II SN 13076 (g'r'i'),0.41289163,1.1606426,1.6750484,-0.9970337,3.0982084,-0.040580116,-1.4289821,-4.260789
SDSS-II SN 13096 (g'r'i'),-0.54568547,0.3876471,2.3166075,0.8906689,-2.234582,-1.0487959,-0.18262479,1.065506
SDSS-II SN 13106 (g'r'i'),1.9296166,0.7400766,2.941604,-0.65508527,2.4207318,-1.2085142,-0.6539497,-3.542478
SDSS-II SN 13112 (g'r'i'),3.366415,0.27929232,0.6365169,-0.16582295,0.9301301,0.13165599,-2.3512683,-5.303293
SDSS-II SN 13147 (g'r'i'),-0.53676385,0.6260766,1.9136307,1.6019534,-0.9958606,-2.074137,0.18608159,1.1657611
SDSS-II SN 13148 (g'r'i'),-1.8408796,-0.7645549,-1.890216,0.80357677,-1.3937134,1.7149694,-0.49350557,3.166287
SDSS-II SN 13158 (g'r'i'),1.3684444,-0.39316192,2.5560656,0.9138383,0.7036248,-0.31416482,-0.667015,-2.28223
SDSS-II SN 13168 (g'r'i'),-0.11368725,0.5106583,-0.123512,-1.325189,1.5118835,-1.7740132,-0.31962004,-1.7795527
SDSS-II SN 13269 (g'r'i'),0.41271973,-0.07689544,2.9919095,-0.039778378,1.2522221,0.91007113,-0.7151726,-2.527067
SDSS-II SN 13277 (g'r'i'),2.605514,-0.466268,2.4201546,0.60975266,0.8859712,0.9106722,-1.3371639,-3.6400468
SDSS-II SN 13291 (g'r'i'),2.6895282,-0.1916327,0.10570773,-1.2399341,2.901911,0.6031748,-2.2577329,-6.555532
SDSS-II SN 13304 (g'r'i'),-0.8428211,-0.39774466,2.0295224,1.3581978,-2.1351016,0.04021941,-1.5444301,-0.2469361
SDSS-II SN 13323 (g'r'i'),-1.5301938,-0.61246353,0.324675,0.44026703,-2.2495492,-0.39587525,1.1643001,1.4453259
SDSS-II SN 13329 (g'r'i'),-1.007402,0.13275662,0.7565027,-0.560088,-1.4322912,-1.1481311,1.1762365,-0.12520036
SDSS-II SN 13330 (g'r'i'),1.292218,-0.10221142,2.2475786,1.2197036,1.0001335,-0.58355856,-0.8953092,-2.2693007
SDSS-II SN 13339 (g'r'i'),-0.82778925,1.21909,1.0598305,2.258462,0.49425864,-0.1974998,-1.7455584,0.8047691
SDSS-II SN 13344 (g'r'i'),-0.909623,1.184497,1.1604373,1.9849504,0.13323835,-0.14824489,-1.7448298,0.39375323
SDSS-II SN 13383 (g'r'i'),-0.46295545,-0.24908854,-1.1843647,-1.8341324,-1.2125272,-0.17933106,1.1685666,-1.2580215
SDSS-II SN 13395 (g'r'i'),0.30270508,0.96748614,1.1195343,0.47095135,0.95580196,1.042987,-2.3048344,-2.095662
SDSS-II SN 13406 (g'r'i'),1.1938227,0.2950548,2.699846,0.12759566,1.1794876,-1.3145015,-0.29790607,-2.2488167
SDSS-II SN 13413 (g'r'i'),0.315933,0.24155815,2.9011557,0.10046844,1.5907534,1.0086089,-1.1220951,-2.7974217
SDSS-II SN 1342 (g'r'i'),-0.7154771,-0.043987878,2.117052,1.0031904,-2.254387,-0.67071414,-0.67970145,0.34001383
SDSS-II SN 13423 (g'r'i'),-0.68083596,0.10681297,0.8174174,-1.1704409,0.85736316,-2.6015413,0.20393223,-1.0333203
SDSS-II SN 13440 (g'r'i'),1.3621224,-0.9638853,1.4143665,-0.50214773,0.6137151,0.3099055,0.12720539,-2.302957
SDSS-II SN 13441 (g'r'i'),-0.71018946,0.19010337,0.9740165,1.4187285,-1.8610233,-1.190991,1.262137,3.1808765
SDSS-II SN 13461 (g'r'i'),2.6556878,0.102568194,1.5936186,1.2822318,0.07110014,-0.29176044,-2.642086,-4.0001135
SDSS-II SN 13472 (g'r'i'),1.0327364,-0.1838169,3.2237723,-0.27974504,0.27685437,-0.3318449,-0.48598963,-2.3089263
SDSS-II SN 13476 (g'r'i'),-0.61458236,-0.46067706,0.98735744,0.029519841,-1.3312521,-1.6965722,0.22941013,-1.1371971
SDSS-II SN 13477 (g'r'i'),-0.062355857,0.10683422,2.1984558,1.0893614,-0.70103425,-1.7380491,-0.19086228,-0.40612477
SDSS-II SN 13483 (g'r'i'),2.6736724,0.9487245,1.3615056,-0.8072538,3.1548483,-0.30955425,-1.0888157,-3.8522904
SDSS-II SN 13487 (g'r'i'),-1.0183507,0.33201775,1.0098957,1.8318057,-1.6058524,-1.2736009,1.0370214,3.4444783
SDSS-II SN 13491 (g'r'i'),0.08248191,0.49231875,2.139193,0.5389636,-2.0148623,-1.4053303,0.50479394,1.4454079
SDSS-II SN 13492 (g'r'i'),-0.77085215,-0.52109385,-0.72940874,-0.0017752408,0.50631315,-1.537652,1.750998,1.004023
