0,1,2,3,4,5,6,7,8,9
PS1-12bku (g'r'i'),-2.7006748,-4.180179,2.3086858,0.46811134,0.6204937,-0.5553123,-1.2003703,1.2637236,-1.5907434
SDSS-II SN 10054 (g'r'i'),-0.1640125,1.1922017,-0.21702191,-1.9964331,-1.2653687,0.54135215,1.450547,0.3305332,-0.13975523
SDSS-II SN 10113 (g'r'i'),0.674514,1.0906484,-0.89781094,-0.11229423,-0.14556944,-1.1651845,0.6881587,-0.19835702,2.1823194
SDSS-II SN 10161 (g'r'i'),-1.4416454,-3.9825337,1.8800265,-0.38791284,0.9607645,-1.2968822,-0.8493719,0.33195406,-1.7995796
SDSS-II SN 1024 (g'r'i'),-1.924244,-4.6923223,1.4485445,0.9045268,0.1252844,-0.7357001,-0.43734115,1.621985,-2.3795455
SDSS-II SN 10299 (g'r'i'),0.2942909,1.2089648,-1.077117,-1.5919945,-0.38417634,-0.15832363,-0.102432065,-0.023626767,1.4637927
SDSS-II SN 10324 (g'r'i'),1.763575,3.6755562,-1.9698567,-0.2915191,-0.2791145,0.1931574,-0.6507133,-1.5117267,1.0137271
SDSS-II SN 10450 (g'r'i'),0.73604286,-0.09626319,-0.77379096,-1.0847703,-0.1445826,-0.97093153,0.25545007,-0.20334242,2.2250917
SDSS-II SN 1048 (g'r'i'),-0.66768175,-4.7525396,1.1622424,-0.34851435,0.63392746,-1.491451,0.28922853,0.76823,-2.4325213
SDSS-II SN 10506 (g'r'i'),1.0028182,0.104926415,-0.2816756,-1.2379198,0.34193036,-1.098819,0.16471176,-0.42667896,2.3008425
SDSS-II SN 10559 (g'r'i'),1.5101892,1.2309088,-1.1126087,-0.31200776,0.13013896,-1.7417004,0.0028398684,-0.9762905,2.5150185
SDSS-II SN 10620 (g'r'i'),0.304344,-0.116341725,-0.2269959,-1.328721,0.35587937,0.08326387,0.14406423,0.84879285,1.5851634
SDSS-II SN 10976 (g'r'i'),1.3417279,1.2405044,-1.9593978,-1.3639122,-1.9706208,0.07082557,1.2377821,0.27157843,-0.011597062
SDSS-II SN 10991 (g'r'i'),0.41310906,3.1468503,-1.436515,-0.72166276,0.30937335,0.36185992,-1.5163592,-2.578639,0.962533
SDSS-II SN 10997 (g'r'i'),1.2126611,1.1602384,-1.6160772,-0.4255447,-0.7241819,-0.8483066,0.47374207,0.0035706628,1.7632079
SDSS-II SN 1109 (g'r'i'),-2.2085156,-3.3014314,1.9173189,0.51732844,0.9199239,-0.67440796,-1.2332629,0.5226763,-1.2356167
SDSS-II SN 11094 (g'r'i'),-0.6529306,-1.3981712,0.53140354,-1.524862,0.087162085,0.30255827,1.0207503,0.5027964,-1.2946352
SDSS-II SN 11120 (g'r'i'),1.3036362,0.72220945,-1.9588226,-1.1406428,-1.9377843,-0.026236396,1.1803697,0.358998,-0.0028793
SDSS-II SN 1113 (g'r'i'),-1.3147807,-2.9972408,0.2415619,1.5508698,0.5177442,-0.5603977,-0.6727353,0.30137998,-1.6778886
SDSS-II SN 1115 (g'r'i'),-2.1214983,-3.3879156,2.5774047,-0.25350273,1.2656035,-0.47613952,-1.152299,0.6274408,-1.2312858
