,SN,0,1
0,SDSS-II SN 10450,-6.529246,-10.08549
1,SDSS-II SN 12929,-2.5367339,-12.301151
2,SDSS-II SN 12942,-1.7704705,-10.011869
3,SDSS-II SN 13423,-14.666326,-5.9894447
4,SDSS-II SN 13786,0.9235654,-10.6026535
5,SDSS-II SN 13957,-0.96603256,-1.9905672
6,SDSS-II SN 14332,1.3657073,-13.861505
7,SDSS-II SN 14355,-21.190525,-9.466323
8,SDSS-II SN 14478,-8.163966,-4.305124
9,SDSS-II SN 14883,-11.097705,-17.620897
10,SDSS-II SN 14965,0.3290591,-17.89307
11,SDSS-II SN 14988,-16.288317,-14.375998
12,SDSS-II SN 1504,-10.243231,-13.602693
13,SDSS-II SN 15103,-16.043148,-18.48372
14,SDSS-II SN 15255,-17.369928,-9.974006
15,SDSS-II SN 15385,-20.375267,-8.161563
16,SDSS-II SN 15958,-2.702092,-2.956361
17,SDSS-II SN 16052,-19.502913,-12.366354
18,SDSS-II SN 16225,-12.075168,-16.995745
19,SDSS-II SN 16586,-5.020921,-14.59956
20,SDSS-II SN 17097,-24.112598,-7.9550595
21,SDSS-II SN 17371,12.982682,-3.9848866
22,SDSS-II SN 17374,2.073852,-16.813908
23,SDSS-II SN 17597,9.584723,-9.221552
24,SDSS-II SN 17776,5.9626317,-12.486486
25,SDSS-II SN 17916,-0.49751577,-11.879908
26,SDSS-II SN 17965,-7.525685,-8.805884
27,SDSS-II SN 18191,4.1133437,-10.777653
28,SDSS-II SN 18666,2.354574,-14.697469
29,SDSS-II SN 19011,10.997487,-9.192168
30,SDSS-II SN 19024,14.12381,-9.830615
31,SDSS-II SN 19118,0.80209273,-6.3927846
32,SDSS-II SN 19350,10.452632,-9.695266
33,SDSS-II SN 19499,14.056083,-11.803715
34,SDSS-II SN 19537,-20.383749,-6.930285
35,SDSS-II SN 20301,-23.025246,-7.6730294
36,SDSS-II SN 20553,-4.3401847,-19.147522
37,SDSS-II SN 20694,-4.67645,-2.0540788
38,SDSS-II SN 2081,13.525649,-12.236504
39,SDSS-II SN 21600,-8.582652,-7.643475
40,SDSS-II SN 2313,-21.340155,-7.679735
41,SDSS-II SN 3370,-11.673728,-14.127779
42,SDSS-II SN 3535,-7.7184243,-15.230824
43,SDSS-II SN 3674,13.656654,-17.427404
44,SDSS-II SN 4231,-1.7668476,-7.643937
45,SDSS-II SN 4333,-21.347635,-11.114383
46,SDSS-II SN 5723,11.625411,-5.9586964
47,SDSS-II SN 8018,14.107715,-9.054563
48,SDSS-II SN 9155,-5.0246806,-19.34547
49,SN2005fq,9.913303,-10.422603
50,SN2005hw,-13.037589,-21.170664
51,SN2005lk,19.651861,-11.103694
52,SN2006lm,-3.540099,-24.035454
53,SN2006oy,0.88035476,-23.841562
54,SN2006ta,-1.7356771,-8.041043
55,SN2007jc,17.47277,-7.6212296
56,SN2007jx,22.63771,-8.766922
57,SN2007qz,12.596102,-9.4573145
58,SDSS-II SN 10106,1.1510134,-19.114204
59,SDSS-II SN 11094,9.509138,-8.332346
60,SDSS-II SN 11850,-18.68947,-9.152935
61,SDSS-II SN 13955,3.2934632,-2.0661473
62,SDSS-II SN 14053,-6.2897987,-5.362149
63,SDSS-II SN 14102,-2.1437812,-2.672387
64,SDSS-II SN 14228,8.553743,-5.7292967
65,SDSS-II SN 14285,-19.01916,-5.161105
66,SDSS-II SN 14322,-14.041229,-14.980492
67,SDSS-II SN 1456,-21.274693,-8.294459
68,SDSS-II SN 14851,21.206219,-5.7853293
69,SDSS-II SN 1513,6.4330173,-8.951024
70,SDSS-II SN 15428,-11.994036,-15.245082
71,SDSS-II SN 15470,3.298054,-9.962585
72,SDSS-II SN 1562,-12.2916765,-8.2555485
73,SDSS-II SN 15988,-18.863647,-11.854762
74,SDSS-II SN 15992,-11.097779,-15.150637
75,SDSS-II SN 16094,-15.828128,-6.186517
76,SDSS-II SN 1706,17.762672,-6.7192717
77,SDSS-II SN 17455,-1.1388574,-14.372423
78,SDSS-II SN 17644,18.825445,-8.958373
79,SDSS-II SN 17845,12.825187,-5.6673512
80,SDSS-II SN 18032,9.118627,-8.830385
81,SDSS-II SN 18048,1.6033909,-2.8313408
82,SDSS-II SN 18165,8.902665,-7.9587
83,SDSS-II SN 18311,0.79581887,-6.782353
84,SDSS-II SN 18339,4.595483,-13.118007
85,SDSS-II SN 18365,8.046999,-8.117109
86,SDSS-II SN 18601,-7.815278,-6.989155
87,SDSS-II SN 18688,-21.0976,-9.417641
88,SDSS-II SN 19045,4.8266153,-9.721757
89,SDSS-II SN 19175,0.6105022,-10.7627325
90,SDSS-II SN 19181,-0.37609923,-1.4243306
91,SDSS-II SN 19336,-23.978357,-13.541878
92,SDSS-II SN 19731,-15.422425,-8.319542
93,SDSS-II SN 20128,-10.113253,-9.583096
94,SDSS-II SN 20695,1.3475077,-1.4878578
95,SDSS-II SN 21065,-15.485306,-4.730229
96,SDSS-II SN 21307,11.441054,-6.342339
97,SDSS-II SN 21663,-10.922608,-10.63551
98,SDSS-II SN 3832,-3.8051176,-7.1386976
99,SDSS-II SN 4118,4.4248657,-11.467155
100,SDSS-II SN 5323,14.41242,-6.4033823
101,SDSS-II SN 5595,15.147271,-6.8953786
102,SDSS-II SN 5897,5.5887895,-1.7059764
103,SDSS-II SN 6225,-5.4911747,-15.610037
104,SDSS-II SN 6288,8.822869,-8.6215725
105,SDSS-II SN 6638,-14.441468,-8.862145
106,SDSS-II SN 7374,-10.853883,-12.402691
107,SDSS-II SN 7978,8.326758,-7.1973042
108,SDSS-II SN 8165,2.4524806,-12.092569
109,SDSS-II SN 8457,-16.800749,-5.9033375
110,SN2005eg,12.654465,-12.33772
111,SN2005fe,2.7777092,-16.460001
112,SN2005ft,12.605166,-13.270531
113,SN2005fv,15.581503,-16.074118
114,SN2005fx,1.2180899,-19.916388
115,SN2005gc,18.455738,-13.521006
116,SN2005gs,-0.64370793,-21.624447
117,SN2005gt,2.6438627,-23.537762
118,SN2005gu,-13.51497,-19.497786
119,SN2005hc,21.870506,-8.225557
120,SN2005ho,20.63438,-9.603849
121,SN2005hx,20.271875,-10.959125
122,SN2005id,19.326504,-11.27922
123,SN2005ik,6.8310156,-20.992506
124,SN2005jb,-11.508297,-14.948726
125,SN2005jf,-6.7846136,-13.057568
126,SN2005jl,18.506767,-13.642812
127,SN2005jy,0.53843445,-19.47162
128,SN2005jz,0.55376154,-19.25815
129,SN2005kn,-0.8622975,-17.996004
130,SN2005li,0.8070691,-23.549335
131,SN2006fg,-0.46613812,-13.473765
132,SN2006fx,-1.2514329,-15.36972
133,SN2006nu,14.771758,-16.64477
134,SN2006ok,15.38816,-12.928915
135,SN2006oo,-5.2019396,-7.608924
136,SN2007ih,7.5830455,-9.554191
137,SN2007mr,-24.444103,-6.575181
138,SN2007mt,-15.166759,-4.8205423
139,SN2007nk,14.830961,-14.198958
140,SN2007nl,12.63853,-6.7310405
141,SN2007pa,16.545092,-14.801425
142,SN2007qn,-10.262324,-13.460647
143,SDSS-II SN 13383,4.465779,-15.832924
144,SDSS-II SN 14268,5.551051,-14.409089
145,SDSS-II SN 14792,-19.591478,-10.377419
146,SDSS-II SN 15697,-20.262022,-5.6000066
147,SDSS-II SN 16467,-2.969757,-17.559505
148,SDSS-II SN 16468,-21.361708,-14.466135
149,SDSS-II SN 17814,-3.0819266,-9.908418
150,SDSS-II SN 17967,7.675496,-19.413189
151,SDSS-II SN 19032,-23.628693,-11.272298
152,SDSS-II SN 19347,6.6337156,-23.461369
153,SDSS-II SN 20278,-8.547588,-17.49802
154,SDSS-II SN 7882,4.7262883,-18.209515
155,SN2005hp,16.537434,-18.11873
156,SN2006fk,14.2269535,-20.43608
157,SN2006gw,-7.438588,-22.594614
158,SN2006la,13.605996,-14.974498
159,SN2006pk,11.839376,-8.518572
160,SN2007ik,12.694043,-10.97239
161,SN2007iz,-10.223286,-5.672143
162,SN2007jn,-15.307885,-10.924106
163,SDSS-II SN 10991,-18.481688,-10.458125
164,SDSS-II SN 13633,-7.966876,-16.846737
165,SDSS-II SN 14413,9.628111,-5.416251
166,SDSS-II SN 14475,-19.027887,-14.8554535
167,SDSS-II SN 14531,-8.453088,-18.373758
168,SDSS-II SN 15184,-0.34186673,-0.25396737
169,SDSS-II SN 17851,-21.079458,-13.220942
170,SDSS-II SN 20045,-20.146875,-7.4788713
171,SDSS-II SN 6333,-22.560518,-10.208215
172,SDSS-II SN 6696,-11.902192,-12.548896
173,SN2005ey,21.549877,-9.960275
174,SN2005ff,18.337496,-15.672239
175,SN2005fi,9.200012,-16.73962
176,SN2005fu,14.657664,-8.092842
177,SN2005fz,4.1798453,-22.086523
178,SN2005ge,3.3285184,-18.182829
179,SN2005hu,6.473486,-24.045357
180,SN2005ia,11.753951,-20.078415
181,SN2005ic,-11.27251,-20.616215
182,SN2005ie,2.7596045,-19.930279
183,SN2005ih,4.4551945,-17.115803
184,SN2005jh,20.701006,-13.132928
185,SN2005jk,6.0573087,-19.336731
186,SN2005jo,6.0110674,-18.346092
