,SN,0,1,2,3
0,SDSS-II SN 10450,-21.806376,23.08401,-17.231518,9.548599
1,SDSS-II SN 12929,-4.6406713,-29.609842,-15.534273,3.326017
2,SDSS-II SN 12942,-7.692149,10.346453,-8.306298,26.869328
3,SDSS-II SN 13423,-19.783533,-8.669597,10.884585,13.346854
4,SDSS-II SN 13786,2.7621524,-33.10612,-8.940641,12.22603
5,SDSS-II SN 13957,16.253614,5.4247375,-2.4854128,24.445345
6,SDSS-II SN 14332,-2.7581336,-11.932475,-16.056705,27.565868
7,SDSS-II SN 14355,-9.552747,12.795845,15.820472,36.117268
8,SDSS-II SN 14478,22.60804,15.250174,4.600953,33.400303
9,SDSS-II SN 14883,-42.44469,-12.5393095,2.9591117,8.909133
10,SDSS-II SN 14965,-14.68615,-30.949085,-14.37535,31.156252
11,SDSS-II SN 14988,-41.226597,21.208782,-6.298346,5.1722465
12,SDSS-II SN 1504,-14.123368,-23.112055,0.58694476,13.430541
13,SDSS-II SN 15103,-38.338764,4.9499807,7.532563,-5.661992
14,SDSS-II SN 15255,-23.041317,21.51984,14.673164,13.77017
15,SDSS-II SN 15385,-21.356886,12.618287,20.861774,26.48764
16,SDSS-II SN 15958,4.0199695,1.2275101,1.5018654,25.627153
17,SDSS-II SN 16052,-33.579407,6.0248723,3.8784516,26.75344
18,SDSS-II SN 16225,-27.821774,2.8950865,-2.79571,-2.5605521
19,SDSS-II SN 16586,0.47153708,-22.382542,1.0618519,27.56505
20,SDSS-II SN 17097,-29.50716,25.33805,30.84906,22.912037
21,SDSS-II SN 17371,9.897472,4.677132,-32.153038,-18.025259
22,SDSS-II SN 17374,-28.92764,14.233673,-34.01166,-8.4684515
23,SDSS-II SN 17597,1.3005872,4.695857,-33.220764,0.6321842
24,SDSS-II SN 17776,9.699912,1.7091826,-31.008366,25.845684
25,SDSS-II SN 17916,6.445206,-21.424847,-5.59695,10.391261
26,SDSS-II SN 17965,-4.922901,26.317728,1.3743764,36.10512
27,SDSS-II SN 18191,1.1781127,10.704357,-18.739906,16.013021
28,SDSS-II SN 18666,-21.977705,14.920513,-36.78605,27.642292
29,SDSS-II SN 19011,8.292722,6.882864,-41.564854,0.645936
30,SDSS-II SN 19024,7.909353,7.5601683,-53.12146,-2.3606617
31,SDSS-II SN 19118,5.4709105,13.51469,-7.061536,2.3820474
32,SDSS-II SN 19350,4.723627,-4.53395,-39.540543,4.7433677
33,SDSS-II SN 19499,4.1601768,-11.715616,-48.968384,-6.631984
34,SDSS-II SN 19537,-22.27381,3.3347569,25.277798,33.023056
35,SDSS-II SN 20301,-24.76129,20.764685,24.921673,16.576035
36,SDSS-II SN 20553,-32.398865,-17.456377,-21.752111,8.649813
37,SDSS-II SN 20694,16.662146,0.75541073,13.825971,34.273945
38,SDSS-II SN 2081,-2.3358014,-9.699021,-43.711308,-1.6432531
39,SDSS-II SN 21600,-7.456137,13.496636,2.5950594,9.907642
40,SDSS-II SN 2313,-25.342037,12.664336,23.607893,36.938473
41,SDSS-II SN 3370,-29.609867,-5.927548,2.4549613,13.010792
42,SDSS-II SN 3535,-49.215336,-7.136767,-17.113117,-1.285422
43,SDSS-II SN 3674,-15.66857,-17.125334,-46.341393,-0.917345
44,SDSS-II SN 4231,5.5889716,25.405775,-14.027557,20.488266
45,SDSS-II SN 4333,-36.257973,4.2805624,16.453897,34.34876
46,SDSS-II SN 5723,7.4393244,-5.1549535,-21.01468,-4.5302076
47,SDSS-II SN 8018,3.3138592,9.446672,-48.551586,-10.702737
48,SDSS-II SN 9155,-37.072086,-13.928722,-16.231367,14.473573
49,SN2005fq,6.9439216,18.411007,-42.872406,7.91266
50,SN2005hw,-36.614426,-3.2548902,3.8122406,-19.278812
51,SN2005lk,20.321148,-16.297338,-29.373436,13.81664
52,SN2006lm,-30.202091,-7.7588067,-24.041697,36.292347
53,SN2006oy,-31.69685,11.042178,-29.488846,6.9817867
54,SN2006ta,-2.1205668,22.311481,-16.489065,19.153868
55,SN2007jc,20.61035,8.151307,-25.964535,15.279221
56,SN2007jx,36.312134,10.017102,-27.549208,14.5696
57,SN2007qz,1.581879,-0.13385214,-33.50614,-10.873352
58,SDSS-II SN 10106,-26.424255,5.0537734,-17.07853,-10.64523
59,SDSS-II SN 11094,14.526217,15.134622,-33.723255,6.239817
60,SDSS-II SN 11850,-11.746347,16.490534,11.960105,25.228218
61,SDSS-II SN 13955,29.076897,-11.642245,-5.4331627,30.410234
62,SDSS-II SN 14053,-0.14950402,9.071265,5.764504,28.257477
63,SDSS-II SN 14102,7.0141525,2.541588,-5.121803,22.204414
64,SDSS-II SN 14228,6.2247214,30.320242,-20.271832,3.271555
65,SDSS-II SN 14285,-18.509716,-6.766655,25.553112,18.755207
66,SDSS-II SN 14322,-8.408692,-33.272667,1.0932211,27.84529
67,SDSS-II SN 1456,-14.978625,15.939648,24.80944,31.775269
68,SDSS-II SN 14851,25.39481,-5.2146344,-17.89333,28.640608
69,SDSS-II SN 1513,2.1030056,-9.9364,-22.622387,8.434248
70,SDSS-II SN 15428,-23.095646,-16.042048,10.74433,2.8297887
71,SDSS-II SN 15470,14.988453,10.870302,-16.615408,34.133698
72,SDSS-II SN 1562,-7.8871493,-15.605837,10.886508,21.485647
73,SDSS-II SN 15988,-30.288452,5.506915,1.851508,36.809994
74,SDSS-II SN 15992,-26.721169,-11.39156,4.5375876,-7.5247636
75,SDSS-II SN 16094,-34.21497,19.673452,11.6161375,-10.520474
76,SDSS-II SN 1706,31.336504,7.1956534,-19.063503,6.2703314
77,SDSS-II SN 17455,-15.042263,6.783378,-17.092997,27.64464
78,SDSS-II SN 17644,21.339481,-9.756112,-25.108025,6.743444
79,SDSS-II SN 17845,16.341415,-5.4991918,-36.776516,-11.180692
80,SDSS-II SN 18032,7.174355,14.450489,-32.548016,0.0357701
81,SDSS-II SN 18048,22.942377,15.683008,-3.5416443,19.064552
82,SDSS-II SN 18165,9.72642,12.650569,-25.81591,8.733512
83,SDSS-II SN 18311,6.8530364,22.990791,-9.180985,2.2206454
84,SDSS-II SN 18339,3.3631988,-7.4022455,-29.335484,18.826094
85,SDSS-II SN 18365,5.99223,10.820034,-19.448051,2.2899332
86,SDSS-II SN 18601,-2.1778977,16.42693,6.573722,18.209827
87,SDSS-II SN 18688,-9.500376,21.400658,13.414822,34.20318
88,SDSS-II SN 19045,7.8436627,13.225273,-23.527643,19.196712
89,SDSS-II SN 19175,0.021827497,-32.73791,-1.0745146,13.540552
90,SDSS-II SN 19181,3.2116022,3.7012076,-4.8278904,10.406002
91,SDSS-II SN 19336,-33.71657,-11.760805,21.887533,14.016059
92,SDSS-II SN 19731,-34.027664,20.934172,-1.4956254,-18.781609
93,SDSS-II SN 20128,-17.672647,1.9188244,-8.037218,17.654984
94,SDSS-II SN 20695,13.678147,-15.916374,-3.7494514,26.225645
95,SDSS-II SN 21065,-24.52833,-16.207521,17.5583,14.017893
96,SDSS-II SN 21307,9.523832,-6.186527,-27.691816,2.1440089
97,SDSS-II SN 21663,-13.260075,-13.829038,3.837566,17.997063
98,SDSS-II SN 3832,4.050906,24.583834,0.7458565,25.137377
99,SDSS-II SN 4118,7.9735775,-7.0599666,-17.874296,21.608242
100,SDSS-II SN 5323,18.029572,2.5611842,-33.000103,-3.215572
101,SDSS-II SN 5595,19.439735,9.979086,-28.267523,-2.550747
102,SDSS-II SN 5897,17.189095,-5.6903815,-8.321461,12.923673
103,SDSS-II SN 6225,-2.4211707,-17.547808,1.1841618,12.512626
104,SDSS-II SN 6288,3.3537717,18.95169,-28.303745,6.5819654
105,SDSS-II SN 6638,-12.610081,8.758529,4.7847614,28.425976
106,SDSS-II SN 7374,-32.462383,15.257361,-3.6061764,-5.767444
107,SDSS-II SN 7978,-1.2721074,25.211683,-35.38342,-4.5924563
108,SDSS-II SN 8165,0.71838784,-19.46409,-19.812191,19.055363
109,SDSS-II SN 8457,-21.10308,-19.26407,16.26422,29.861845
110,SN2005eg,-2.0412474,-13.227354,-54.423126,1.8695481
111,SN2005fe,-27.102516,9.024576,-23.017214,-0.33223552
112,SN2005ft,2.1035314,2.7357438,-54.106678,9.258764
113,SN2005fv,-8.74038,-9.933128,-40.166885,-12.405675
114,SN2005fx,-34.777775,2.6419077,-23.342192,-10.419607
115,SN2005gc,10.917262,-14.231836,-45.458286,6.7586956
116,SN2005gs,-37.379295,-26.518452,-21.456306,-5.507351
117,SN2005gt,-28.332079,-37.520454,-18.297535,0.582694
118,SN2005gu,-40.234512,-5.8483057,1.8550525,-8.136853
119,SN2005hc,41.6197,-0.59456325,-27.570168,18.419151
120,SN2005ho,28.122616,-14.399472,-26.207273,21.396372
121,SN2005hx,24.142614,-16.930668,-36.960083,16.76885
122,SN2005id,19.43683,-5.792372,-37.375557,7.4777346
123,SN2005ik,-25.686174,-6.5524144,-38.553135,1.3928156
124,SN2005jb,-26.505816,-9.72533,4.1607175,2.4629564
125,SN2005jf,-22.472824,-23.371454,-0.9071321,-19.166851
126,SN2005jl,15.420853,-16.179739,-44.035923,-0.9860179
127,SN2005jy,-29.047625,-4.9327292,-16.522171,-11.57232
128,SN2005jz,-30.54044,0.52365565,-14.966831,-4.1250362
129,SN2005kn,-24.301603,5.175042,-19.603281,10.16345
130,SN2005li,-31.317719,2.8729148,-29.709036,3.904131
131,SN2006fg,6.483139,23.124617,-11.557659,38.126663
132,SN2006fx,-19.495178,-6.5430284,-11.5886345,26.260803
133,SN2006nu,-10.92635,-9.212543,-47.42147,-6.3860545
134,SN2006ok,-4.5654764,-20.971746,-18.600203,-11.29107
135,SN2006oo,-6.069109,19.139408,-0.7523982,25.575602
136,SN2007ih,0.33917567,31.15294,-34.718136,8.359456
137,SN2007mr,-17.707886,31.49798,22.793081,12.630083
138,SN2007mt,-16.419567,-16.670242,17.478182,19.495672
139,SN2007nk,-19.766312,5.0118403,-39.29446,-3.6510262
140,SN2007nl,9.619608,5.9439335,-34.216106,-7.0647974
141,SN2007pa,-15.541222,-20.432558,-32.31455,-15.241032
142,SN2007qn,-19.212425,-20.898174,8.005523,11.076084
143,SDSS-II SN 13383,-15.948727,15.414592,-24.643763,0.07975576
144,SDSS-II SN 14268,-9.7945385,-0.15115911,-26.579782,20.814041
145,SDSS-II SN 14792,-24.138926,24.700462,8.872196,33.922634
146,SDSS-II SN 15697,-32.760147,-9.029716,23.825468,28.787804
147,SDSS-II SN 16467,-19.722042,0.6610237,-10.458163,4.664302
148,SDSS-II SN 16468,-32.100185,7.8229322,14.83916,12.129688
149,SDSS-II SN 17814,-7.6070137,33.887154,-15.708017,23.5935
150,SDSS-II SN 17967,-26.555141,25.434116,-29.839403,19.112087
151,SDSS-II SN 19032,-38.80062,-1.5114698,24.3091,22.48632
152,SDSS-II SN 19347,-20.532188,-30.123339,-27.956678,-2.5326838
153,SDSS-II SN 20278,-29.759752,-26.506292,-7.0866017,-0.60917246
154,SDSS-II SN 7882,-11.683755,-37.10226,-22.377274,10.71732
155,SN2005hp,-11.295859,-1.0226054,-28.0934,-13.3333
156,SN2006fk,-17.786703,28.006592,-33.763023,-0.3906568
157,SN2006gw,-32.82561,23.27551,-17.414907,-2.3111944
158,SN2006la,-9.590153,-3.5429425,-53.075516,12.401527
159,SN2006pk,3.8818972,-25.187372,-23.584936,-3.995597
160,SN2007ik,-10.629106,11.500437,-49.13652,-8.43736
161,SN2007iz,-32.27096,-37.81231,5.642699,-0.28381544
162,SN2007jn,-21.462074,22.892836,-2.3492038,14.833974
163,SDSS-II SN 10991,-30.213913,26.08717,13.098962,25.223476
164,SDSS-II SN 13633,-29.705725,-27.636606,-4.9963965,10.742712
165,SDSS-II SN 14413,3.2183313,-35.181416,-29.589565,-10.336404
166,SDSS-II SN 14475,-46.42808,13.166322,10.494732,9.151674
