,SN,0,1,2,3,4
0,SDSS-II SN 10450,6.3762813,14.2490425,-8.043105,-17.247162,-6.446499
1,SDSS-II SN 12929,9.855095,26.349386,5.7121854,2.5765946,-3.0984104
2,SDSS-II SN 12942,-6.094197,14.5966,7.5697203,-9.783659,-7.0969024
3,SDSS-II SN 13423,-12.536189,0.23965684,-9.06885,2.5973005,-8.245947
4,SDSS-II SN 13786,-14.084619,2.6766977,17.48833,-2.0573592,-8.219776
5,SDSS-II SN 13957,4.012768,-6.1415043,-3.7823381,3.385318,-0.8070541
6,SDSS-II SN 14332,-2.6641784,17.79454,11.69717,-5.3410225,-17.783407
7,SDSS-II SN 14355,-23.702177,17.904001,-3.7171834,-8.4804125,-0.82142687
8,SDSS-II SN 14478,8.986495,-19.274063,-6.7888646,-8.156494,0.3737176
9,SDSS-II SN 14883,-13.276707,-7.2863393,-9.586204,-9.888463,-23.017754
10,SDSS-II SN 14965,10.632549,11.212516,-9.529329,10.534942,-19.507734
11,SDSS-II SN 14988,4.8813486,2.8442245,-1.4379511,-29.32065,-3.497512
12,SDSS-II SN 1504,-13.982568,7.1537814,-5.8275003,4.606584,-17.968975
13,SDSS-II SN 15103,-4.618783,-15.404168,-7.5590096,-19.045927,-9.796096
14,SDSS-II SN 15255,-14.553323,-1.4867808,2.8877463,-15.789869,-5.2194166
15,SDSS-II SN 15385,-22.509472,6.8273597,-2.8818853,-7.440362,-8.466335
16,SDSS-II SN 15958,8.352059,3.1259336,-8.191945,-6.100176,-1.5405526
17,SDSS-II SN 16052,-14.5469475,7.7995696,-7.787815,-14.124533,-18.940937
18,SDSS-II SN 16225,-0.9247636,-6.800692,-5.7532797,-6.4341097,-8.139584
19,SDSS-II SN 16586,1.0071812,-17.188396,-7.5871744,-1.8120165,-6.4381366
20,SDSS-II SN 17097,-30.914652,-2.8135567,-2.3290236,-16.375423,-2.835975
21,SDSS-II SN 17371,12.96859,-7.5947285,23.179491,3.3667142,-0.25025135
22,SDSS-II SN 17374,4.9682817,-5.604878,-1.2239084,3.7299194,-12.201499
23,SDSS-II SN 17597,8.93319,-6.7135577,14.298768,-4.706373,-10.135701
24,SDSS-II SN 17776,15.358561,6.4971576,-0.61939245,-11.616896,-5.865763
25,SDSS-II SN 17916,3.9321404,21.178185,-3.0423203,3.040212,-9.844442
26,SDSS-II SN 17965,-1.2484571,18.56068,-7.782773,-19.244669,4.075422
27,SDSS-II SN 18191,0.9832057,15.018315,10.987676,-2.8974473,-8.767075
28,SDSS-II SN 18666,17.533175,-10.078617,0.63092697,-17.423069,-15.317881
29,SDSS-II SN 19011,14.673174,-0.99472904,14.880461,-0.21858023,-14.172549
30,SDSS-II SN 19024,3.7025993,-8.710879,22.278679,7.5151415,-13.565288
31,SDSS-II SN 19118,-8.741816,14.76695,10.94672,8.631731,-4.657303
32,SDSS-II SN 19350,9.055981,8.119252,21.66647,-0.9486534,-12.77081
33,SDSS-II SN 19499,7.061338,7.4870343,19.676083,12.836023,-16.323921
34,SDSS-II SN 19537,-25.847261,6.812449,-12.720087,-3.504543,-9.837356
35,SDSS-II SN 20301,-21.42389,-3.1116798,-3.652488,-16.398449,-3.5038104
36,SDSS-II SN 20553,-2.7156312,2.6412487,-1.3300622,3.1228576,-27.28531
37,SDSS-II SN 20694,10.6628475,-10.900895,-12.940595,-3.5985951,-4.65801
38,SDSS-II SN 2081,10.845906,2.5236385,17.002653,6.7066464,-18.295645
39,SDSS-II SN 21600,-9.135833,21.820372,1.9403439,-4.406686,-2.3135085
40,SDSS-II SN 2313,-29.086761,8.351367,-5.4011526,-6.731819,-14.32648
41,SDSS-II SN 3370,-5.839886,3.0269616,-10.776492,-8.86983,-15.11056
42,SDSS-II SN 3535,-3.986318,7.8444285,-12.62861,-0.85998964,-28.950333
43,SDSS-II SN 3674,7.787347,-3.319841,14.354983,1.7897353,-23.04385
44,SDSS-II SN 4231,-3.537183,7.6847353,11.320886,-8.010872,-0.16893849
45,SDSS-II SN 4333,-21.473013,4.351017,-12.355815,-8.120227,-18.833574
46,SDSS-II SN 5723,10.831209,10.187914,12.750896,4.0894923,-3.1925268
47,SDSS-II SN 8018,-0.8459659,-0.7197676,23.231588,10.027892,-10.036457
48,SDSS-II SN 9155,-9.783133,7.140808,2.9986653,1.1260048,-25.562902
49,SN2005fq,12.931277,-14.27388,10.893225,-14.164097,-9.301138
50,SN2005hw,-9.106815,-19.50184,-0.4250394,-11.260495,-10.820922
51,SN2005lk,21.689936,-6.2699404,3.6040998,15.114799,-13.036825
52,SN2006lm,-1.5347763,22.187477,2.1902626,-2.2429183,-23.659887
53,SN2006oy,-0.9071481,-2.693606,14.775645,-7.3608336,-24.44673
54,SN2006ta,-4.529378,5.7371693,6.1768565,-5.000574,-5.2994027
55,SN2007jc,7.29957,5.8627687,1.9200935,14.759007,-14.212086
