,SN,0,1,2,3,4,5
0,SDSS-II SN 10450,-5.78378,4.2003865,5.0728416,-19.807585,0.29798695,1.7529922
1,SDSS-II SN 12929,-6.102661,2.5673406,-10.956421,3.772683,14.79097,-2.8945563
2,SDSS-II SN 12942,-4.8851743,5.661724,-2.531801,-3.7916644,6.99246,3.5682425
3,SDSS-II SN 13423,-8.176625,5.27464,6.3842263,4.452897,6.478271,-3.9533265
4,SDSS-II SN 13786,-8.214265,-6.1343446,3.3005114,7.701696,-12.915376,-2.3979166
5,SDSS-II SN 13957,0.8298249,-9.156174,1.548383,-5.9786963,5.6997294,-9.573928
6,SDSS-II SN 14332,-9.700256,8.820984,-10.057016,6.0875044,3.2904985,4.1180487
7,SDSS-II SN 14355,-1.0386533,3.313444,17.046608,-6.486083,8.610525,-13.485542
8,SDSS-II SN 14478,-5.369459,6.705836,11.432959,-11.066168,1.0823212,7.403706
9,SDSS-II SN 14883,-14.744945,14.920907,3.4996312,4.636244,-7.6341257,-0.8490837
10,SDSS-II SN 14965,-9.364496,15.244267,-10.597736,0.2734896,-5.545179,6.633809
11,SDSS-II SN 14988,-12.540809,15.978224,7.810192,-8.582291,1.2219996,3.3928354
12,SDSS-II SN 1504,-8.616419,5.485593,5.1034966,1.5923094,0.11901554,-14.864595
13,SDSS-II SN 15103,-4.714979,18.458874,2.1183069,-0.832181,1.5346342,7.8780193
14,SDSS-II SN 15255,0.16676657,13.520793,8.615433,-6.63463,6.5910892,3.177678
15,SDSS-II SN 15385,-8.710513,7.5381136,17.738163,-3.2301848,3.0495956,-4.45144
16,SDSS-II SN 15958,-0.15196592,-1.9770877,4.4477444,-11.7502575,-3.173268,-3.1074789
17,SDSS-II SN 16052,-10.291124,13.821209,7.917913,-3.968675,3.1161091,-13.869691
18,SDSS-II SN 16225,-1.9392754,13.261638,-4.762449,-3.6088552,-0.8751471,6.914228
19,SDSS-II SN 16586,-3.7980266,4.4467754,-1.5028954,16.665829,-4.4812694,4.009867
20,SDSS-II SN 17097,-6.3525276,8.055223,20.578913,-0.9054705,8.002609,4.4772644
21,SDSS-II SN 17371,-2.8371568,-7.62433,-15.987635,-9.171136,3.4510767,2.8017626
22,SDSS-II SN 17374,-3.8143961,1.0352389,-10.775183,-4.744132,-10.891675,-14.976767
23,SDSS-II SN 17597,-4.115625,2.0159864,-10.767612,-7.2720976,-8.304859,3.829673
24,SDSS-II SN 17776,-4.926541,7.501368,-13.7898245,4.155316,-7.646642,4.6772227
25,SDSS-II SN 17916,-11.47729,-1.84552,11.794746,-1.5974423,-12.905382,-0.72351235
26,SDSS-II SN 17965,-0.14444992,1.5177617,4.2973146,-14.718835,1.5217092,-13.887014
27,SDSS-II SN 18191,-5.4865255,3.4909956,-3.8336828,-4.7829647,-0.43872562,-0.51565146
28,SDSS-II SN 18666,-5.7868996,13.962869,-14.117978,-3.320586,-11.788266,-1.243292
29,SDSS-II SN 19011,-7.4315996,-4.908329,-13.072519,-6.783923,-10.708097,-1.360078
30,SDSS-II SN 19024,-13.746197,-9.975811,-14.979193,-3.9166334,3.3499513,2.8108401
31,SDSS-II SN 19118,-0.9064291,9.830153,-12.761177,-1.3218637,7.1448865,6.6556
32,SDSS-II SN 19350,-7.2039075,-4.357097,-2.6712286,-8.4304085,-11.794491,3.8228686
33,SDSS-II SN 19499,-13.728453,-3.849583,-15.887151,1.4954283,-15.028119,3.828739
34,SDSS-II SN 19537,-5.3991284,6.601422,18.58681,0.42258996,-1.2012405,-11.43999
35,SDSS-II SN 20301,-2.690523,10.157656,15.051312,-4.405395,11.453185,0.61006516
36,SDSS-II SN 20553,-11.718482,1.165025,2.0432103,-5.355011,-3.1993506,-11.217202
37,SDSS-II SN 20694,-9.128598,0.7506987,9.30516,-4.2162185,3.3626294,6.996378
38,SDSS-II SN 2081,0.074321225,0.052058075,-1.0591798,24.21037,0.62667555,-0.2556039
39,SDSS-II SN 21600,-1.1228104,-0.79574835,-0.29064962,-8.388399,14.80166,-6.9496794
40,SDSS-II SN 2313,-7.471361,3.5362115,20.327436,-0.11685427,6.786386,-9.920431
41,SDSS-II SN 3370,-4.9397345,11.028154,0.5107461,3.6453466,1.0646398,-8.4231415
42,SDSS-II SN 3535,-20.255774,1.3091235,8.422721,1.1246979,4.341166,-8.045228
43,SDSS-II SN 3674,-11.632761,-2.061477,-7.285515,-11.798303,-12.185482,-10.168139
44,SDSS-II SN 4231,5.706036,9.00973,-9.991465,-6.3918147,5.1686845,-7.1164556
45,SDSS-II SN 4333,-5.663632,15.574441,7.3799415,4.2185373,-2.468783,-14.401615
46,SDSS-II SN 5723,-1.005538,-5.699301,-5.863484,-6.3864217,-6.9133487,-3.2057152
47,SDSS-II SN 8018,-16.94418,-11.817563,-6.6780705,-6.2235627,3.343233,3.1346154
48,SDSS-II SN 9155,-15.590709,4.276482,3.5284832,-8.958464,1.696184,-7.117291
49,SN2005fq,-7.858034,1.5528202,-17.104115,-2.4639857,-0.44745305,11.8696575
50,SN2005hw,-5.6933894,10.878963,-2.0227008,9.299831,-5.534754,7.376853
51,SN2005lk,-8.098403,-14.844241,-6.5055323,-4.7668414,-12.58249,-5.041703
52,SN2006lm,-21.646156,7.478099,-3.7961988,-2.3598673,1.0485787,0.20925435
53,SN2006oy,-13.303632,6.796208,-8.255161,-12.733671,-6.0849953,-8.0500145
54,SN2006ta,0.01431441,5.34848,-9.37705,-7.1984262,2.227777,-9.206366
55,SN2007jc,-11.986111,-17.84602,-2.800694,-3.5885608,3.071292,-5.5579996
56,SN2007jx,-10.147237,-26.025194,-4.9299555,-3.2227337,-2.2795184,5.7857213
57,SN2007qz,-8.06283,-1.5093162,-21.121758,-5.472669,-9.954407,2.7108786
58,SDSS-II SN 10106,-2.5590935,9.466806,-6.3924465,-4.4335556,-14.942921,-3.9590309
59,SDSS-II SN 11094,-9.883213,-1.7726474,-8.766311,-12.823601,-7.720624,6.424032
60,SDSS-II SN 11850,-0.39472649,7.088165,10.955081,-10.777923,7.209842,-6.829029
61,SDSS-II SN 13955,-1.885045,-18.918058,7.0181623,6.37507,0.6730506,-5.007567
62,SDSS-II SN 14053,0.76737714,3.170496,7.650507,-13.953138,1.0868492,0.5355276
63,SDSS-II SN 14102,3.0902722,-4.7434454,2.2677832,-10.97995,1.5889618,-6.2829494
64,SDSS-II SN 14228,1.5581204,-1.7777781,-4.133909,-12.744913,-6.0453115,-11.387615
65,SDSS-II SN 14285,-7.641283,10.521886,14.711233,7.9455924,-5.3192105,-3.6309066
66,SDSS-II SN 14322,2.9122772,12.428948,-3.530613,14.102197,-6.377953,2.4246874
67,SDSS-II SN 1456,-4.861498,2.0338895,16.681267,-7.169926,-0.104005106,-5.675133
