,SN,0,1,2,3,4,5,6,7
0,SDSS-II SN 10450,-5.5741577,-5.372039,-3.7681282,1.4777882,-3.3411574,-6.332712,-6.847803,-0.15210924
1,SDSS-II SN 12929,-3.5487323,-4.227961,-3.3020356,0.6176184,-5.5014,-0.6240909,7.6688433,-1.9304423
2,SDSS-II SN 12942,1.1940885,0.7017164,-6.352386,-2.0440283,-4.2795486,-1.425195,0.5336736,-1.0562012
3,SDSS-II SN 13423,-2.2828205,-10.387791,-2.096171,4.3780165,1.8167735,2.701856,-2.3041573,-3.4395728
4,SDSS-II SN 13786,2.2503836,0.2011108,1.1896495,1.9444302,0.53897554,-0.92330986,10.798188,-3.642644
5,SDSS-II SN 13957,-6.5359907,1.4771674,-4.8016434,1.6759295,-3.2809446,8.106467,-0.24781707,1.4032035
6,SDSS-II SN 14332,1.3446362,1.1526496,-4.8729353,0.17076614,2.5744019,-8.74729,4.82534,-2.621309
7,SDSS-II SN 14355,-0.69410753,-7.465291,-1.5593302,-2.5338798,-3.1348162,-3.8375766,-10.002184,-8.452983
8,SDSS-II SN 14478,1.9127437,0.12853093,3.7805176,7.167408,0.2523648,0.709864,-9.167997,-2.9752777
9,SDSS-II SN 14883,0.110643186,-5.2714763,-8.354356,9.336994,7.022134,-1.3738863,1.2207068,-5.108928
10,SDSS-II SN 14965,-5.5550733,11.50627,-3.76299,5.801034,0.6192156,-1.5880897,-0.8855938,-5.6108127
11,SDSS-II SN 14988,-5.3596334,-0.6796206,-10.124534,4.056572,-3.1640203,5.413748,-5.096283,-2.4674654
12,SDSS-II SN 1504,-0.23956741,-8.349594,3.1262236,7.3569922,-2.2272282,-1.2649072,1.3796536,-8.373258
13,SDSS-II SN 15103,0.37498435,2.64726,-10.654842,2.6364431,9.6602,-1.8443153,-4.2435255,-2.5365903
14,SDSS-II SN 15255,-0.7177533,2.698017,-7.4790525,-0.67497456,4.271088,-0.506646,-11.194344,-4.5412803
15,SDSS-II SN 15385,0.66615003,-5.4106584,-0.5179937,3.8714244,2.8703177,-1.0285956,-10.211576,-7.2389584
16,SDSS-II SN 15958,-2.8394039,2.813978,0.15854435,1.6694132,-5.480288,5.9798207,-6.231108,1.1311913
17,SDSS-II SN 16052,0.71390486,-6.022302,-1.550714,5.89464,1.4078922,-3.4818387,-3.5440714,-11.954869
18,SDSS-II SN 16225,-5.348619,3.5526288,-5.1778827,1.6886609,7.4536715,2.591106,2.686751,-2.9097037
19,SDSS-II SN 16586,-3.3614235,5.0403986,-6.0726743,-0.63860136,6.3331413,-5.9399886,-2.457075,-2.3878658
20,SDSS-II SN 17097,-0.60230356,-2.9617734,-0.72005117,0.100928605,9.613597,1.4141005,-12.932505,-7.1143956
21,SDSS-II SN 17371,0.34697437,7.095267,5.8773856,3.7463162,-4.8932037,-3.9428089,3.7789805,5.0525794
22,SDSS-II SN 17374,6.496793,-2.2171476,2.5818613,6.8856955,-0.58033085,-5.6375093,2.2510717,-0.15522912
23,SDSS-II SN 17597,1.8168869,5.2265844,0.8234848,0.19269888,-2.0525892,-9.896942,6.439817,-1.1710204
24,SDSS-II SN 17776,-0.49671513,8.120578,-7.231586,2.0520654,0.9051032,0.93203133,8.76673,-2.4256752
25,SDSS-II SN 17916,1.1531311,2.72455,-0.8681126,1.2581159,-5.782251,3.537932,7.5076823,-7.506256
26,SDSS-II SN 17965,-6.391317,-3.1933959,-8.854274,-1.9136612,-5.929701,0.7971765,-0.28751785,-1.0795388
27,SDSS-II SN 18191,-2.8414226,1.1976954,-1.2413292,0.31178972,-3.4190412,-6.3769946,-1.8722453,-1.0668422
28,SDSS-II SN 18666,0.5503841,7.4101267,-1.4629189,2.1033573,5.403663,-4.2946167,5.324091,-9.411928
