,SN,0,1
0,SDSS-II SN 10450,-10.614337,4.7823915
1,SDSS-II SN 12929,-5.773761,10.170478
2,SDSS-II SN 12942,-6.958405,7.778657
3,SDSS-II SN 13423,-15.80911,-2.2570043
4,SDSS-II SN 13786,-3.925923,9.182962
5,SDSS-II SN 13957,-1.0088148,2.0977674
6,SDSS-II SN 14332,-6.5488873,12.452727
7,SDSS-II SN 14355,-18.826473,-6.403055
8,SDSS-II SN 14478,-7.452961,-0.708214
9,SDSS-II SN 14883,-18.23786,6.762374
10,SDSS-II SN 14965,-9.992869,14.869251
11,SDSS-II SN 14988,-21.77765,2.4724016
12,SDSS-II SN 1504,-15.615097,4.1561456
13,SDSS-II SN 15103,-23.309526,4.9511275
14,SDSS-II SN 15255,-19.941162,-2.289934
15,SDSS-II SN 15385,-20.180155,-5.448464
16,SDSS-II SN 15958,-2.9964073,1.4219575
17,SDSS-II SN 16052,-23.431364,-2.3560317
18,SDSS-II SN 16225,-18.584227,4.792927
19,SDSS-II SN 16586,-12.9083,8.332303
20,SDSS-II SN 17097,-22.732922,-9.956502
21,SDSS-II SN 17371,8.896286,11.68678
22,SDSS-II SN 17374,-8.192864,15.118387
23,SDSS-II SN 17597,2.862623,13.93838
24,SDSS-II SN 17776,-1.9220515,13.969773
25,SDSS-II SN 17916,-5.79933,9.046283
26,SDSS-II SN 17965,-10.339047,3.3441598
27,SDSS-II SN 18191,-2.6014557,12.890163
28,SDSS-II SN 18666,-6.5490184,13.646114
29,SDSS-II SN 19011,3.8657749,14.746446
30,SDSS-II SN 19024,5.9980335,17.100145
31,SDSS-II SN 19118,-2.4636717,6.2246623
32,SDSS-II SN 19350,3.0389664,15.082993
33,SDSS-II SN 19499,4.707814,18.712652
34,SDSS-II SN 19537,-20.445766,-6.8489437
35,SDSS-II SN 20301,-22.752993,-8.76199
36,SDSS-II SN 20553,-14.569594,12.912988
37,SDSS-II SN 20694,-4.0539,-0.4662527
38,SDSS-II SN 2081,4.007499,18.813189
39,SDSS-II SN 21600,-10.2991,1.630569
40,SDSS-II SN 2313,-20.965342,-7.271787
41,SDSS-II SN 3370,-17.728342,3.980099
42,SDSS-II SN 3535,-14.826193,6.7185464
43,SDSS-II SN 3674,1.6615403,19.934698
44,SDSS-II SN 4231,-5.310509,5.79326
45,SDSS-II SN 4333,-23.018091,-4.6588106
46,SDSS-II SN 5723,6.723866,12.202157
47,SDSS-II SN 8018,6.3265066,16.364155
48,SDSS-II SN 9155,-15.259598,12.350257
49,SN2005fq,2.3043764,15.017123
50,SN2005hw,-22.092829,8.826271
51,SN2005lk,9.794292,21.281889
52,SN2006lm,-17.846739,16.558416
53,SN2006oy,-14.245906,18.678926
54,SN2006ta,-5.4817095,6.1648884
55,SN2007jc,10.055748,17.203098
56,SN2007jx,13.619519,21.120632
57,SN2007qz,4.9677706,15.958912
58,SDSS-II SN 10106,-10.298891,16.33491
59,SDSS-II SN 11094,3.2930923,13.088757
60,SDSS-II SN 11850,-19.383286,-4.418631
61,SDSS-II SN 13955,1.9715849,4.680072
62,SDSS-II SN 14053,-7.0840344,1.2535832
63,SDSS-II SN 14102,-2.4408374,1.5016402
64,SDSS-II SN 14228,4.5485477,10.721537
65,SDSS-II SN 14285,-18.539293,-8.750661
66,SDSS-II SN 14322,-19.984825,4.372735
67,SDSS-II SN 1456,-19.511381,-5.3027735
68,SDSS-II SN 14851,14.21205,17.853367
69,SDSS-II SN 1513,0.5984337,11.659018
70,SDSS-II SN 15428,-17.29287,1.9189262
71,SDSS-II SN 15470,-2.3271976,11.048711
72,SDSS-II SN 1562,-14.595364,-0.49706224
73,SDSS-II SN 15988,-22.609722,-2.0748599
74,SDSS-II SN 15992,-16.329378,2.322551
75,SDSS-II SN 16094,-17.55984,-2.812783
76,SDSS-II SN 1706,10.834274,16.588497
77,SDSS-II SN 17455,-8.894794,11.008539
78,SDSS-II SN 17644,10.394769,19.074686
79,SDSS-II SN 17845,7.7251873,12.824187
80,SDSS-II SN 18032,2.7617836,13.3294115
81,SDSS-II SN 18048,2.1981628,2.396614
82,SDSS-II SN 18165,3.1434834,12.494446
83,SDSS-II SN 18311,-2.690003,6.4466496
84,SDSS-II SN 18339,-3.857865,13.920408
85,SDSS-II SN 18365,2.4602973,12.035815
86,SDSS-II SN 18601,-9.276283,1.7054048
87,SDSS-II SN 18688,-18.861366,-6.3140955
88,SDSS-II SN 19045,-0.5417047,12.042225
89,SDSS-II SN 19175,-4.281933,9.056231
90,SDSS-II SN 19181,-0.4281114,1.8871043
91,SDSS-II SN 19336,-26.821632,-4.1426573
92,SDSS-II SN 19731,-14.524236,-3.6747315
93,SDSS-II SN 20128,-12.792662,3.0659437
94,SDSS-II SN 20695,0.44235092,3.3204343
95,SDSS-II SN 21065,-16.323374,-1.4291097
96,SDSS-II SN 21307,6.395353,12.347112
97,SDSS-II SN 21663,-14.283718,1.527269
98,SDSS-II SN 3832,-6.675098,4.061687
99,SDSS-II SN 4118,-3.0952806,12.1424265
100,SDSS-II SN 5323,8.467641,14.433003
101,SDSS-II SN 5595,8.644395,15.21541
102,SDSS-II SN 5897,4.596182,5.5414557
103,SDSS-II SN 6225,-13.122361,9.407159
104,SDSS-II SN 6288,2.596412,12.977524
105,SDSS-II SN 6638,-14.751016,-2.353956
106,SDSS-II SN 7374,-15.925879,0.96090984
107,SDSS-II SN 7978,3.166968,11.410108
108,SDSS-II SN 8165,-4.4173617,11.532677
109,SDSS-II SN 8457,-16.653597,-3.728769
110,SN2005eg,3.3486643,18.116873
111,SN2005fe,-7.4112706,15.271195
112,SN2005ft,2.7511194,18.70376
113,SN2005fv,3.6285434,22.147375
114,SN2005fx,-10.886993,16.986496
115,SN2005gc,7.828973,22.696627
116,SN2005gs,-13.230546,16.481949
117,SN2005gt,-12.532053,19.831398
118,SN2005gu,-21.60022,7.0349145
119,SN2005hc,13.296635,20.239779
120,SN2005ho,11.486073,20.646795
121,SN2005hx,10.411066,21.551416
122,SN2005id,9.4655905,21.272778
123,SN2005ik,-5.178399,19.380209
124,SN2005jb,-16.81627,2.275233
125,SN2005jf,-12.970125,6.7962136
126,SN2005jl,7.8474646,22.892267
127,SN2005jy,-10.984997,16.1692
128,SN2005jz,-10.834148,16.031725
129,SN2005kn,-11.094878,14.015577
130,SN2005li,-14.101624,18.455366
131,SN2006fg,-7.910863,11.30264
132,SN2006fx,-10.227548,12.330979
133,SN2006nu,3.0216093,21.709131
134,SN2006ok,5.246465,20.447357
135,SN2006oo,-7.8764825,3.8081772
136,SN2007ih,1.3401142,12.817124
137,SN2007mr,-18.293592,-4.3717456
138,SN2007mt,-15.7881,-1.3009131
139,SN2007nk,2.437824,23.7725
140,SN2007nl,6.906733,13.66268
141,SN2007pa,5.0123615,22.628
142,SN2007qn,-15.551753,3.1177864
143,SDSS-II SN 13383,-5.6954536,15.9592
144,SDSS-II SN 14268,-3.6628742,15.5366125
145,SDSS-II SN 14792,-21.568079,-3.4174826
146,SDSS-II SN 15697,-20.265348,-8.4877615
147,SDSS-II SN 16467,-12.442152,11.99708
148,SDSS-II SN 16468,-24.812883,-4.714568
149,SDSS-II SN 17814,-7.6565166,6.8151336
150,SDSS-II SN 17967,-5.9090877,20.694967
151,SDSS-II SN 19032,-22.791553,-5.879446
152,SDSS-II SN 19347,-9.0227,23.032537
153,SDSS-II SN 20278,-16.37479,8.319869
154,SDSS-II SN 7882,-8.0248995,21.081448
155,SN2005hp,2.8998847,25.350262
156,SN2006fk,0.11459477,17.720758
157,SN2006gw,-8.919174,8.259635
158,SN2006la,2.5575342,20.681952
159,SN2006pk,5.080167,14.808028
160,SN2007ik,4.1209536,17.13645
161,SN2007iz,-12.9231205,2.2207646
162,SN2007jn,-20.436888,0.41300032
163,SDSS-II SN 10991,-21.198038,-2.5248344
164,SDSS-II SN 13633,-15.842538,7.9939976
165,SDSS-II SN 14413,4.994934,11.891407
166,SDSS-II SN 14475,-25.496323,-6.3901825
167,SDSS-II SN 14531,-14.834407,8.301957
168,SDSS-II SN 15184,0.25949797,0.8818677
169,SDSS-II SN 17851,-24.691446,-3.253346
170,SDSS-II SN 20045,-21.381771,-6.055494
171,SDSS-II SN 6333,-26.737871,-1.5931084
172,SDSS-II SN 6696,-21.343248,12.300037
173,SN2005ey,12.031981,21.479372
174,SN2005ff,6.8507094,24.558119
175,SN2005fi,-2.3405633,19.552376
176,SN2005fu,7.5280833,16.098759
177,SN2005fz,-10.031894,20.203352
178,SN2005ge,-7.8131914,17.218306
179,SN2005hu,-9.53598,23.297955
180,SN2005ia,-1.7980663,23.664576
181,SN2005ic,-20.31969,9.182219
182,SN2005ie,-9.671651,17.828342
183,SN2005ih,-6.5731664,16.927256
184,SN2005jh,9.382932,23.789106
185,SN2005jk,-6.8740773,19.224268
186,SN2005jo,-6.27714,18.32966
187,SN2005jt,-24.364893,3.4415798
188,SN2005mh,-13.6608515,10.7573
189,SN2006fo,-22.90957,-0.6717429
190,SN2006gm,-8.840943,18.055794
191,SN2006hc,0.040443197,18.855524
192,SN2006jo,-21.380919,3.7111108
193,SN2006jx,-18.490845,-0.6877955
194,SN2006no,-4.7176795,16.384472
195,SN2007ky,-18.720259,1.8555608
196,SN2007ny,4.953038,13.479527
197,SDSS-II SN 10997,2.702243,19.556402
198,SDSS-II SN 11120,7.642874,20.3195
199,SDSS-II SN 11532,3.4005597,15.274232
200,SDSS-II SN 12213,-19.92865,-8.49172
201,SDSS-II SN 1257,2.6176667,13.86576
202,SDSS-II SN 12879,0.17393705,13.138243
203,SDSS-II SN 12936,-15.512395,9.651186
204,SDSS-II SN 12939,0.4176525,16.200132
205,SDSS-II SN 12964,-11.543292,15.036593
206,SDSS-II SN 13051,-10.02186,16.510406
207,SDSS-II SN 13062,-1.2379191,6.575826
208,SDSS-II SN 13076,-19.672045,-9.033817
209,SDSS-II SN 13096,-12.90074,11.334149
210,SDSS-II SN 13168,-13.6347065,-4.112414
211,SDSS-II SN 13283,-2.197277,10.597551
212,SDSS-II SN 13291,-5.876116,11.310175
213,SDSS-II SN 13330,-11.448876,2.1577485
214,SDSS-II SN 13344,-13.338246,12.8351345
215,SDSS-II SN 13395,-0.2172428,20.138443
216,SDSS-II SN 13404,-3.3022912,2.3985097
217,SDSS-II SN 1342,-5.426902,1.0443677
218,SDSS-II SN 13440,-4.114138,14.118607
219,SDSS-II SN 13441,-15.2794,6.2510138
220,SDSS-II SN 13460,-11.415208,11.371868
221,SDSS-II SN 13472,-6.5428247,9.509074
222,SDSS-II SN 13487,-17.222754,6.6633806
223,SDSS-II SN 13492,-20.649157,-1.692612
224,SDSS-II SN 13529,-12.632234,16.318073
225,SDSS-II SN 13554,-20.769716,9.251552
226,SDSS-II SN 13644,7.614805,12.061876
227,SDSS-II SN 13646,-1.3821017,19.811457
228,SDSS-II SN 13675,-17.529985,12.178936
229,SDSS-II SN 13699,-7.636805,8.800709
230,SDSS-II SN 13725,4.2520413,11.09806
231,SDSS-II SN 13803,-4.121481,4.1938105
232,SDSS-II SN 13813,-2.3263464,17.879898
233,SDSS-II SN 13833,-13.731138,-0.5144149
234,SDSS-II SN 13843,-16.838062,-0.17656349
235,SDSS-II SN 13864,-15.001972,17.743542
236,SDSS-II SN 13931,-19.965408,-3.179891
237,SDSS-II SN 1395,-2.741999,15.155483
238,SDSS-II SN 14054,-0.5981191,11.129726
239,SDSS-II SN 14081,-0.7580706,9.5458145
240,SDSS-II SN 14113,-21.75339,-1.0511615
