,SN,0,1,2
0,SDSS-II SN 10450,-49.81076,-24.715626,-29.593634
1,SDSS-II SN 12929,-78.139084,4.796937,-31.433275
2,SDSS-II SN 12942,-41.630474,-12.032783,-23.583288
3,SDSS-II SN 13423,-3.7261257,-58.479263,-3.2212813
4,SDSS-II SN 13786,-71.25859,8.76391,-1.6899476
5,SDSS-II SN 13957,-39.944355,8.9740505,9.326321
6,SDSS-II SN 14332,-21.749685,-10.419453,-39.571495
7,SDSS-II SN 14355,-45.123466,-60.388386,31.537415
8,SDSS-II SN 14478,-15.280029,-25.477873,8.2050085
9,SDSS-II SN 14883,-0.6895078,-71.9091,-28.562195
10,SDSS-II SN 14965,1.7277288,-26.182459,-74.94293
11,SDSS-II SN 14988,-69.506454,-52.061886,-0.78760636
12,SDSS-II SN 1504,-7.2118883,-42.185684,-22.764313
13,SDSS-II SN 15103,18.764202,-82.62473,-14.481835
14,SDSS-II SN 15255,-27.194841,-55.602943,47.916744
15,SDSS-II SN 15385,-26.205309,-68.89341,26.191442
16,SDSS-II SN 15958,-31.73418,-7.5642653,7.5141597
17,SDSS-II SN 16052,-29.150415,-79.676,-10.554462
18,SDSS-II SN 16225,30.50731,-56.767464,-22.46187
19,SDSS-II SN 16586,30.288532,-25.963993,-29.001638
20,SDSS-II SN 17097,-33.62513,-81.42603,46.5279
21,SDSS-II SN 17371,16.524755,48.37474,-58.58584
22,SDSS-II SN 17374,5.3241053,-13.786575,-58.87557
23,SDSS-II SN 17597,6.1504836,19.071054,-50.42183
24,SDSS-II SN 17776,7.6429343,-1.4614187,-53.07358
25,SDSS-II SN 17916,-68.13543,-5.4964595,-10.615252
26,SDSS-II SN 17965,-61.321335,-25.183258,-3.8720636
27,SDSS-II SN 18191,-21.093132,2.0551279,-30.418556
28,SDSS-II SN 18666,-61.260864,1.1634208,-61.103603
29,SDSS-II SN 19011,8.439924,28.523869,-56.11495
30,SDSS-II SN 19024,-1.4629436,52.395515,-71.09332
31,SDSS-II SN 19118,-11.2308235,1.9843987,-7.9020443
32,SDSS-II SN 19350,-4.828332,18.831173,-45.099777
33,SDSS-II SN 19499,-27.940182,51.805122,-75.7108
34,SDSS-II SN 19537,-17.51847,-63.292744,23.271175
35,SDSS-II SN 20301,-26.089596,-77.88988,36.43364
36,SDSS-II SN 20553,-3.901286,-37.48134,-44.744175
37,SDSS-II SN 20694,-14.743601,-14.33153,-0.20789732
38,SDSS-II SN 2081,-37.281696,34.509914,-70.94287
39,SDSS-II SN 21600,-52.113556,-19.398031,-7.506102
40,SDSS-II SN 2313,-34.142536,-86.16952,19.076817
41,SDSS-II SN 3370,-13.680586,-55.424698,-20.05927
42,SDSS-II SN 3535,-6.5917373,-50.2619,-32.441162
43,SDSS-II SN 3674,-44.35672,15.037652,-75.32895
44,SDSS-II SN 4231,-25.641584,-8.168484,-16.52159
45,SDSS-II SN 4333,-27.297657,-89.14307,6.2805023
46,SDSS-II SN 5723,8.770551,33.622223,-41.06429
47,SDSS-II SN 8018,4.581605,59.13943,-64.03839
48,SDSS-II SN 9155,-8.273803,-46.22721,-44.271065
49,SN2005fq,16.659313,2.4157295,-61.009823
50,SN2005hw,35.670624,-67.898705,-28.928831
51,SN2005lk,-37.02806,51.649704,-49.16492
52,SN2006lm,-34.205933,-21.217716,-57.514503
53,SN2006oy,-17.54369,-23.864056,-50.844543
54,SN2006ta,-21.558956,-6.562852,-22.791586
55,SN2007jc,-21.784107,42.305622,-32.667103
56,SN2007jx,-41.550476,64.207,-29.444107
57,SN2007qz,9.531971,37.332638,-73.05138
58,SDSS-II SN 10106,23.96785,-33.450237,-65.7607
59,SDSS-II SN 11094,10.372443,20.945772,-41.24671
60,SDSS-II SN 11850,-39.331646,-55.09581,20.181192
61,SDSS-II SN 13955,31.467873,-6.236875,-42.394657
62,SDSS-II SN 14053,-39.189034,-16.958849,8.465301
63,SDSS-II SN 14102,-36.030884,-0.8869199,7.507941
64,SDSS-II SN 14228,9.955964,8.89168,-21.817535
65,SDSS-II SN 14285,-5.06698,-62.112392,17.824373
66,SDSS-II SN 14322,50.582462,-56.845985,-23.747908
67,SDSS-II SN 1456,-23.974222,-62.543346,34.35305
68,SDSS-II SN 14851,-42.067654,48.475822,-30.588654
69,SDSS-II SN 1513,2.2743602,0.5912603,-42.129326
70,SDSS-II SN 15428,6.3729596,-55.271976,-14.352712
71,SDSS-II SN 15470,-44.877407,14.175695,-32.38149
72,SDSS-II SN 1562,-10.809377,-44.502018,-0.5556516
73,SDSS-II SN 15988,-42.194397,-80.8593,4.6779833
74,SDSS-II SN 15992,23.004505,-48.62382,-16.874996
75,SDSS-II SN 16094,-3.5765479,-47.744324,16.222422
76,SDSS-II SN 1706,-13.028403,59.230453,-32.71213
77,SDSS-II SN 17455,-39.020805,-17.156641,-42.066982
78,SDSS-II SN 17644,-18.683846,51.508545,-43.424725
79,SDSS-II SN 17845,7.4515567,38.655834,-51.372704
80,SDSS-II SN 18032,11.367653,12.167056,-43.75667
81,SDSS-II SN 18048,-43.579823,21.066378,2.5474756
82,SDSS-II SN 18165,3.1622226,20.241703,-36.7498
83,SDSS-II SN 18311,-7.092006,-1.360644,-15.872587
84,SDSS-II SN 18339,-12.2279,1.654229,-49.368523
85,SDSS-II SN 18365,-4.625398,18.977137,-32.711758
86,SDSS-II SN 18601,-46.863277,-20.358374,0.35213783
87,SDSS-II SN 18688,-47.972652,-53.54305,26.816574
88,SDSS-II SN 19045,-25.980116,9.655474,-29.678478
89,SDSS-II SN 19175,-64.26567,4.8317904,-1.673998
90,SDSS-II SN 19181,-28.61435,14.640892,7.1686735
91,SDSS-II SN 19336,4.488783,-66.85453,6.9362626
92,SDSS-II SN 19731,-51.551315,-48.403973,45.649094
93,SDSS-II SN 20128,-32.215286,-37.430573,-15.124108
94,SDSS-II SN 20695,-18.994493,19.882708,-1.20939
95,SDSS-II SN 21065,6.4760046,-56.25817,4.5323734
96,SDSS-II SN 21307,13.234701,30.077845,-33.48723
97,SDSS-II SN 21663,-15.638038,-38.849197,-7.7300386
98,SDSS-II SN 3832,-31.61787,-13.016598,-3.6835246
99,SDSS-II SN 4118,-6.2383103,-7.584044,-41.03874
100,SDSS-II SN 5323,0.4246768,45.276226,-37.68961
101,SDSS-II SN 5595,-3.0631967,39.20039,-33.21467
102,SDSS-II SN 5897,-28.990103,29.695665,-12.183213
103,SDSS-II SN 6225,21.586441,-36.339943,-28.76767
104,SDSS-II SN 6288,3.4329157,11.06772,-36.495106
105,SDSS-II SN 6638,-38.5279,-44.20212,20.524296
106,SDSS-II SN 7374,40.003654,-61.050735,-11.332269
107,SDSS-II SN 7978,21.65394,8.171169,-40.728394
108,SDSS-II SN 8165,-60.131588,4.5692577,-34.83246
109,SDSS-II SN 8457,-19.748783,-53.93345,7.9674067
110,SN2005eg,-23.661055,21.955385,-94.491165
111,SN2005fe,-7.0858526,-14.401947,-55.080482
112,SN2005ft,-8.646684,20.007318,-91.973236
113,SN2005fv,-41.448666,24.071247,-64.91636
114,SN2005fx,12.909774,-30.251997,-64.06245
115,SN2005gc,-39.906948,43.394356,-65.39799
116,SN2005gs,10.296296,-25.658197,-33.91104
117,SN2005gt,-50.927246,-44.15854,-55.014565
118,SN2005gu,22.357573,-71.29577,-28.485033
119,SN2005hc,-34.480507,74.822845,-27.320063
120,SN2005ho,-27.680717,73.48607,-44.77708
121,SN2005hx,-44.73929,55.65245,-48.495518
122,SN2005id,-30.156773,60.398556,-53.100887
123,SN2005ik,-15.206625,-15.135753,-67.20824
124,SN2005jb,15.8427305,-54.49869,-13.323578
125,SN2005jf,-22.461548,-31.978037,-26.639502
126,SN2005jl,-43.40621,50.814064,-69.06134
127,SN2005jy,20.393167,-33.39056,-56.318054
128,SN2005jz,19.509106,-40.672447,-62.43032
129,SN2005kn,-6.0741763,-35.05902,-68.312164
130,SN2005li,-10.4886,-24.810684,-54.55411
131,SN2006fg,48.457275,-9.293636,-59.99106
132,SN2006fx,-23.526106,-36.38954,-74.35733
133,SN2006nu,-42.965153,26.21475,-74.207565
134,SN2006ok,-48.273,30.161594,-49.651276
135,SN2006oo,-39.077587,-19.022923,-11.288496
136,SN2007ih,39.99062,2.268164,-67.72976
137,SN2007mr,-39.33408,-64.447365,46.327282
138,SN2007mt,-1.7779555,-50.639282,4.5164814
139,SN2007nk,-50.591995,18.865759,-54.025314
140,SN2007nl,19.423716,30.67588,-55.678955
141,SN2007pa,-25.835827,28.75785,-57.648502
142,SN2007qn,-3.1439807,-49.99216,-15.999901
143,SDSS-II SN 13383,-7.183033,-1.8877286,-59.58546
144,SDSS-II SN 14268,-17.187723,-9.430205,-51.485985
145,SDSS-II SN 14792,-48.94866,-69.86665,12.188965
146,SDSS-II SN 15697,-7.322822,-80.22525,18.358778
147,SDSS-II SN 16467,8.644824,-49.271957,-68.152695
148,SDSS-II SN 16468,-12.631034,-73.88727,-3.1849132
149,SDSS-II SN 17814,-2.7880678,-17.384766,-21.69549
150,SDSS-II SN 17967,-11.8246355,-22.841867,-83.66213
151,SDSS-II SN 19032,-16.651169,-83.1734,11.216339
152,SDSS-II SN 19347,-0.64917195,-35.69109,-88.8787
153,SDSS-II SN 20278,25.1733,-62.465977,-52.246147
154,SDSS-II SN 7882,17.140366,-24.354868,-82.24604
155,SN2005hp,-39.38466,22.392103,-43.743927
156,SN2006fk,-4.940129,-7.554485,-97.53985
157,SN2006gw,-60.235104,-15.726898,-19.24839
158,SN2006la,-21.084137,30.733978,-82.31406
159,SN2006pk,2.6227098,25.028444,-69.988686
160,SN2007ik,-11.251301,31.834848,-71.49205
161,SN2007iz,-29.185879,-54.305058,-4.267934
162,SN2007jn,-50.99945,-47.88317,-14.165385
163,SDSS-II SN 10991,-47.062893,-64.37125,3.93009
164,SDSS-II SN 13633,7.931645,-53.64267,-39.96578
165,SDSS-II SN 14413,35.540073,12.47853,-58.709396
166,SDSS-II SN 14475,15.205235,-89.61248,4.1965923
167,SDSS-II SN 14531,28.548182,-55.485474,-63.866917
168,SDSS-II SN 15184,-30.685686,13.771026,-6.7604036
169,SDSS-II SN 17851,-15.137948,-85.42867,-3.7952313
170,SDSS-II SN 20045,-22.21592,-72.506546,14.646169
171,SDSS-II SN 6333,-57.718147,-59.914497,18.769007
172,SDSS-II SN 6696,-27.373053,-46.72022,-31.096312
173,SN2005ey,-39.71221,70.052864,-42.025906
174,SN2005ff,-23.187283,40.49351,-69.5889
175,SN2005fi,-41.861446,9.51555,-53.0862
176,SN2005fu,-12.165649,28.99302,-45.756004
177,SN2005fz,24.073938,-11.901215,-61.45449
178,SN2005ge,12.944184,-18.115261,-69.04424
179,SN2005hu,7.5983496,-41.65876,-84.94424
180,SN2005ia,-25.146467,3.8286254,-95.49206
181,SN2005ic,38.1555,-58.68314,-47.531612
182,SN2005ie,40.53091,-24.02853,-56.244106
183,SN2005ih,2.4583142,-13.477796,-82.952934
184,SN2005jh,-16.890747,50.878323,-63.159595
185,SN2005jk,-11.477569,-8.34766,-78.028625
186,SN2005jo,-12.956535,-3.1589205,-69.29333
187,SN2005jt,2.5338476,-80.36353,-10.019824
188,SN2005mh,3.1395667,-57.76769,-55.44886
189,SN2006fo,-33.400887,-66.42663,-9.398947
190,SN2006gm,38.978947,-20.17035,-45.91009
191,SN2006hc,-28.233278,12.034442,-41.561237
192,SN2006jo,-22.7774,-90.27607,-31.23414
193,SN2006jx,35.287243,-78.480965,-3.597242
194,SN2006no,-54.693604,-17.28171,-43.335266
195,SN2007ky,-38.06967,-52.09561,-31.344381
196,SN2007ny,-0.49466297,20.62402,-20.171207
197,SDSS-II SN 10997,-8.316981,26.908451,-83.03329
198,SDSS-II SN 11120,-17.881018,40.28088,-58.4823
199,SDSS-II SN 11532,16.939995,11.539745,-51.552826
200,SDSS-II SN 12213,-1.6796567,-75.11384,13.193168
201,SDSS-II SN 1257,14.42249,20.68072,-51.920406
202,SDSS-II SN 12879,19.174395,9.706489,-79.655624
203,SDSS-II SN 12936,24.812157,-48.905815,-30.248716
204,SDSS-II SN 12939,-8.541187,16.966223,-67.06753
205,SDSS-II SN 12964,24.11831,-31.345686,-46.335354
206,SDSS-II SN 13051,23.11401,-25.305607,-62.912285
207,SDSS-II SN 13062,-5.320153,10.445078,-14.994392
208,SDSS-II SN 13076,2.6706097,-72.312294,19.385078
209,SDSS-II SN 13096,12.67147,-55.04621,-50.66675
210,SDSS-II SN 13168,-35.08268,-32.40689,27.045973
211,SDSS-II SN 13283,-47.236275,7.8206067,-25.375208
212,SDSS-II SN 13291,-39.322037,-7.2281437,-34.338192
213,SDSS-II SN 13330,-46.411263,-35.941135,-6.6284485
214,SDSS-II SN 13344,-3.8322153,-47.106083,-52.302223
215,SDSS-II SN 13395,-17.477213,9.845004,-73.07435
216,SDSS-II SN 13404,-42.04749,-7.169923,0.47866902
217,SDSS-II SN 1342,-31.727154,-17.124485,17.002224
218,SDSS-II SN 13440,-70.77319,-1.4848515,-45.62319
219,SDSS-II SN 13441,-6.476928,-58.411877,-37.734566
