,SN,0,1,2,3
0,SDSS-II SN 10450,-1.3452183,-35.287796,-4.7669206,-14.857366
1,SDSS-II SN 12929,-6.2442994,-11.498882,-9.319474,-44.593323
2,SDSS-II SN 12942,-13.145031,-19.472795,-2.40919,-16.99636
3,SDSS-II SN 13423,17.164219,-17.337255,-1.9373609,1.0750479
4,SDSS-II SN 13786,1.236952,-0.18682405,-1.8465346,-35.173855
5,SDSS-II SN 13957,-17.497614,3.8895795,2.2934585,16.969152
6,SDSS-II SN 14332,0.7547512,-11.049347,-14.01707,-24.657057
7,SDSS-II SN 14355,3.697093,-32.85493,26.016945,-11.46425
8,SDSS-II SN 14478,15.160552,-12.255903,9.079723,-39.78596
9,SDSS-II SN 14883,15.056779,-32.580353,-18.300035,18.323154
10,SDSS-II SN 14965,-20.679663,-36.327396,-11.464066,11.73065
11,SDSS-II SN 14988,-20.895893,-36.87773,6.9680815,10.299152
12,SDSS-II SN 1504,18.116274,-20.773214,-12.71302,1.173089
13,SDSS-II SN 15103,4.058927,-30.015417,0.027346086,25.443073
14,SDSS-II SN 15255,2.264729,-35.27834,16.274277,4.5431585
15,SDSS-II SN 15385,14.314685,-36.30233,14.553945,-10.768098
16,SDSS-II SN 15958,-7.317393,-1.4239764,-1.5707271,16.348253
17,SDSS-II SN 16052,11.890675,-43.26242,-4.8013186,-3.4393458
18,SDSS-II SN 16225,1.108433,-18.460402,-8.043395,19.160807
19,SDSS-II SN 16586,-6.4243927,-17.430061,-7.814112,31.371202
20,SDSS-II SN 17097,13.416473,-31.82513,30.148548,-22.87872
21,SDSS-II SN 17371,-26.510178,13.59885,-17.892525,-18.15305
22,SDSS-II SN 17374,6.3097143,-6.2443395,-44.23094,3.6706975
23,SDSS-II SN 17597,-20.793955,3.025397,-14.027668,-23.582624
24,SDSS-II SN 17776,-13.413132,-3.575331,-16.887312,-37.095173
25,SDSS-II SN 17916,8.598431,-10.16699,-5.554291,-26.18027
26,SDSS-II SN 17965,-4.77148,-29.644053,3.43745,-25.41099
27,SDSS-II SN 18191,-17.950102,-12.697589,-7.748267,-11.654054
28,SDSS-II SN 18666,-0.13809432,-24.961222,-35.85886,-29.868727
29,SDSS-II SN 19011,-29.386559,1.6768909,-27.325018,-15.382156
30,SDSS-II SN 19024,-41.644352,-2.0334527,-25.827784,-7.5380993
31,SDSS-II SN 19118,-32.958057,-15.214436,-2.9349368,3.4115307
32,SDSS-II SN 19350,-30.834343,-6.8070507,-22.256865,-1.0447916
33,SDSS-II SN 19499,-30.735516,4.206338,-36.17684,-3.7941475
34,SDSS-II SN 19537,26.36208,-37.654636,12.878003,-7.9774847
35,SDSS-II SN 20301,13.900927,-37.999496,21.598587,-19.409742
36,SDSS-II SN 20553,4.7474732,-27.543219,-32.797745,6.0485625
37,SDSS-II SN 20694,-7.5644703,-0.54584455,-5.18637,28.512297
38,SDSS-II SN 2081,-27.44026,-3.2581272,-34.352272,1.1745173
39,SDSS-II SN 21600,1.9582947,-16.771255,6.867086,-24.932934
40,SDSS-II SN 2313,20.267006,-42.050854,21.115675,-9.941496
41,SDSS-II SN 3370,8.849641,-28.529175,-9.898153,3.1083035
42,SDSS-II SN 3535,23.292692,-28.200752,-26.998474,-5.8550487
43,SDSS-II SN 3674,-29.462154,-14.662252,-38.196144,3.7220004
44,SDSS-II SN 4231,-26.153627,-18.529116,7.2557817,-7.8348546
45,SDSS-II SN 4333,23.551195,-46.393665,-0.95830154,-6.728614
46,SDSS-II SN 5723,-8.365441,10.829678,-17.606525,-9.929148
47,SDSS-II SN 8018,-47.91024,0.114266716,-17.43844,-10.403606
48,SDSS-II SN 9155,9.487878,-31.734552,-27.28856,-0.20553145
49,SN2005fq,-24.76421,2.094314,-25.02415,-35.1606
50,SN2005hw,8.243139,-16.48528,-8.026472,34.901215
51,SN2005lk,-21.991602,15.280383,-31.299057,12.465928
52,SN2006lm,4.5831184,-27.28125,-22.479372,-18.822098
53,SN2006oy,-18.234169,-29.558834,-29.743492,6.637489
54,SN2006ta,-22.441004,-20.070452,0.32543388,-10.658604
55,SN2007jc,-36.87931,10.46404,-20.422512,3.6130445
56,SN2007jx,-35.3836,28.201975,-29.534182,-6.985522
