,SN,0,1,2,3,4
0,SDSS-II SN 10450,17.780886,-15.7023735,5.850304,-6.123751,-8.337944
1,SDSS-II SN 12929,-6.3353558,-15.820922,-13.854216,-22.035017,-2.712306
2,SDSS-II SN 12942,11.317986,-18.487484,-15.417563,0.59865814,-1.416281
3,SDSS-II SN 13423,-0.9291811,-12.933837,3.770167,-2.7560413,6.7277675
4,SDSS-II SN 13786,-13.444815,-7.8201714,1.764831,-14.733602,-4.6049666
5,SDSS-II SN 13957,22.687292,2.1042478,-4.05508,-10.4416895,3.9594884
6,SDSS-II SN 14332,-9.404747,-17.11982,-6.5909576,-4.451583,-4.954263
7,SDSS-II SN 14355,14.197518,-24.563963,-0.4936192,7.6804047,18.386864
8,SDSS-II SN 14478,19.580221,-5.6207285,-7.6118436,3.4539886,13.089049
9,SDSS-II SN 14883,-11.4381275,-22.269768,18.674124,3.0386605,-0.6797546
10,SDSS-II SN 14965,1.3709505,-16.1861,2.907505,20.007915,-15.678647
11,SDSS-II SN 14988,15.15459,-13.6629305,-0.039418846,21.234165,2.0340102
12,SDSS-II SN 1504,-7.7921,-24.064917,10.467894,-9.962284,2.3904364
13,SDSS-II SN 15103,3.1237018,-15.0546465,23.006582,12.546406,-4.931265
14,SDSS-II SN 15255,21.091785,-11.554423,11.268995,7.549864,2.2333133
15,SDSS-II SN 15385,15.503783,-19.313732,5.140333,-2.3158605,13.459978
16,SDSS-II SN 15958,24.098263,-2.4503224,-2.9736698,-1.5907986,-0.47103405
17,SDSS-II SN 16052,2.8857698,-28.826391,9.042684,2.3942447,3.4952643
18,SDSS-II SN 16225,-10.141613,-10.303412,8.975948,14.627178,-0.18283062
19,SDSS-II SN 16586,6.3349333,-6.444253,9.339241,7.882798,-7.4598975
20,SDSS-II SN 17097,27.13853,-12.873411,9.786768,6.62651,12.35818
21,SDSS-II SN 17371,-9.447537,5.963552,-4.7517786,0.38732153,-13.480248
22,SDSS-II SN 17374,7.3636837,-12.37073,1.3199395,-6.1010246,-15.047506
23,SDSS-II SN 17597,-7.848164,-0.6913469,-7.8046265,1.9528755,-5.6059437
24,SDSS-II SN 17776,5.731665,-4.840808,-2.3506472,1.2963735,-11.356375
25,SDSS-II SN 17916,-0.41462454,-8.184936,-3.672843,-13.309651,-0.1882612
26,SDSS-II SN 17965,16.281424,-25.922083,-8.132658,-3.249017,-1.9675336
27,SDSS-II SN 18191,2.4752645,-8.554023,-11.358634,6.2543406,-1.2321485
28,SDSS-II SN 18666,-18.046036,-18.784508,-13.01113,6.097181,1.3242666
29,SDSS-II SN 19011,-6.9854894,-2.7980888,-14.893732,0.1826321,-17.90134
30,SDSS-II SN 19024,-5.194514,1.2039983,-24.735281,10.310253,-18.572144
31,SDSS-II SN 19118,10.324642,-3.9651473,-17.770636,14.903102,-0.5736545
32,SDSS-II SN 19350,1.7296793,-11.324813,-19.614014,2.8946455,-15.394139
33,SDSS-II SN 19499,-4.7191224,-2.5543907,-19.324923,3.6110995,-27.537466
34,SDSS-II SN 19537,8.399598,-23.098295,6.1753893,-1.3084155,21.146341
35,SDSS-II SN 20301,21.691866,-14.839072,10.936881,-0.19925024,8.443689
36,SDSS-II SN 20553,-5.981428,-22.536367,4.6885753,-4.013686,-11.703304
37,SDSS-II SN 20694,14.971988,-2.5174196,-5.8073153,10.963356,2.8849666
38,SDSS-II SN 2081,0.71865165,-6.9985003,-16.14869,2.2575686,-22.915144
39,SDSS-II SN 21600,16.296461,-18.649563,-9.920856,-9.982474,4.6784863
40,SDSS-II SN 2313,16.420477,-24.913395,8.774564,-4.777433,19.084803
41,SDSS-II SN 3370,-3.4331872,-20.362446,7.6525946,3.7858531,1.3577222
42,SDSS-II SN 3535,-18.260893,-24.76314,0.8450782,-0.986701,-0.34655884
43,SDSS-II SN 3674,4.944572,-17.005232,-13.4519615,-2.3080432,-22.726357
44,SDSS-II SN 4231,15.660645,-5.984796,-15.767734,0.48176426,-10.710648
45,SDSS-II SN 4333,8.448232,-28.395521,14.0457735,-4.6143675,13.336446
46,SDSS-II SN 5723,-4.735399,-0.9380884,-4.819824,-12.12268,-9.837154
47,SDSS-II SN 8018,0.73962444,-1.2530812,-25.675323,14.7959585,-12.455478
48,SDSS-II SN 9155,-12.254837,-27.247988,2.2768285,0.38014498,-8.231594
49,SN2005fq,-15.599364,-1.3234988,-8.215592,14.085243,-13.818919
50,SN2005hw,-2.712318,-3.2049584,16.968624,9.145383,-5.815798
51,SN2005lk,-3.917978,3.8700979,-12.4160185,-9.372751,-27.069513
52,SN2006lm,-0.39729047,-20.420277,-8.728729,16.135141,-8.284638
53,SN2006oy,5.3847547,-18.737522,-5.4029193,6.612955,-21.060057
