,SN,0,1,2,3,4,5,6,7
0,SDSS-II SN 10450,3.1595583,-7.8816314,7.237267,-3.377205,-3.6857421,2.4957511,1.6985431,4.5901604
1,SDSS-II SN 12929,-3.64267,2.7302732,8.883207,-0.68072,-0.38533938,2.5429776,7.7150874,-4.3445983
2,SDSS-II SN 12942,-2.6430247,-4.8461885,4.338555,2.101737,-1.6768981,-1.4294974,3.2713926,0.5619536
3,SDSS-II SN 13423,4.0930576,1.4290876,1.4611677,1.9660953,-4.1288,1.7422433,6.101385,-0.03761807
4,SDSS-II SN 13786,-0.87728876,-4.255977,7.919626,-0.5090265,-1.2184076,-0.7655037,0.89504695,-7.504076
5,SDSS-II SN 13957,-3.4111793,3.2354736,-8.544789,-0.82587355,-3.7521205,1.9388824,3.3933191,-4.673166
6,SDSS-II SN 14332,-2.7261715,-2.3014545,3.47613,-4.4091296,-4.2948227,-0.059787918,4.9051085,-3.736465
7,SDSS-II SN 14355,1.7940356,-2.5662105,5.843742,2.9489243,-6.358581,12.341022,0.117358424,-2.1198423
8,SDSS-II SN 14478,-2.2092924,-9.066967,-1.1066345,4.5200877,-2.693116,1.1554888,-1.4454144,-5.834675
9,SDSS-II SN 14883,7.350832,-7.440613,0.27311254,-3.3137167,-7.512275,-0.41764328,-0.047458753,4.5911555
10,SDSS-II SN 14965,-2.7711346,1.1944214,5.254917,-6.6354647,-9.240928,-1.3724867,-5.271558,1.3727753
11,SDSS-II SN 14988,-2.7714927,6.4490857,-2.1500623,2.5791726,-12.043803,0.16624285,0.79721045,3.914682
12,SDSS-II SN 1504,-3.0503047,-4.518627,1.2902056,2.2110677,-7.968582,1.4126198,6.459302,-5.7451706
13,SDSS-II SN 15103,10.328885,-3.6037781,-2.0862122,0.054152165,-3.5890052,-2.144749,2.8306098,8.463963
14,SDSS-II SN 15255,2.867867,-2.5804882,-5.371555,0.5347777,-7.6700287,8.869838,-2.602291,5.7232637
15,SDSS-II SN 15385,4.292568,-2.2398565,-2.3834178,4.368824,-9.397196,8.108925,1.1234173,-2.30131
16,SDSS-II SN 15958,0.7494521,-2.0597014,-4.751951,-4.909817,-1.7778423,6.3479815,0.3274975,-1.638232
17,SDSS-II SN 16052,1.7230974,-1.3994061,2.2685387,3.484574,-13.392812,4.833403,5.741128,-3.5032003
18,SDSS-II SN 16225,2.5720387,-1.9656447,-3.3970203,5.118423,-7.9841723,-6.267287,-5.6685667,1.4252052
19,SDSS-II SN 16586,5.8276935,1.8208317,-9.972119,2.360969,-3.324871,-5.1812086,2.929119,0.48313227
20,SDSS-II SN 17097,14.032316,-3.0710628,0.562119,3.7953827,-7.2647767,3.904236,-1.5181308,4.2925906
21,SDSS-II SN 17371,-2.1997736,-5.3144197,-5.4255157,-9.212804,4.086411,1.3890988,-1.6489778,2.5430946
22,SDSS-II SN 17374,-2.8277938,-4.6055665,-3.4774673,-0.33211318,-6.405513,-4.1081266,1.7897083,-3.7470543
23,SDSS-II SN 17597,-7.1428013,-5.2859244,1.4357346,-12.55633,0.4690435,2.8699625,-1.30174,-0.814372
24,SDSS-II SN 17776,0.06721202,-0.61486727,6.568621,-11.721721,-2.98323,-0.4442358,0.8563332,-4.7852945
25,SDSS-II SN 17916,1.8097482,0.9672529,11.177799,-0.8256304,-3.2395327,-4.11192,6.1558194,2.8873713
26,SDSS-II SN 17965,0.88296455,-9.173079,6.753528,1.8923756,-3.5708597,-0.034635317,-3.190983,0.4511707
27,SDSS-II SN 18191,-3.3579497,-5.8205624,-1.9862964,-3.8018038,-3.2598157,1.943257,-2.3157377,-0.5394506
28,SDSS-II SN 18666,-2.0689187,3.7346368,-6.8821707,-2.4603667,-5.011961,-3.8108997,7.651927,2.3083878
29,SDSS-II SN 19011,-11.1936245,-2.1390436,-1.2628115,-9.67799,-0.5093934,-2.8444693,0.88495237,-0.1785288
30,SDSS-II SN 19024,-4.9153237,-1.5959522,0.83489066,-16.513012,-1.1539888,-4.799464,-1.9471096,0.90490013
31,SDSS-II SN 19118,0.53972644,-6.6822124,0.4987793,-1.2742425,-2.310214,-1.2531003,-11.7995205,2.7531528
