,SN,0,1,2,3,4,5,6,7,8
0,SDSS-II SN 10450,0.8481089789940566,0.6061543319730572,0.7393139474012012,1.458869152907209,-0.20282632743140205,1.0735839981322379e-06,6.201518916253252,1e+38,1e+38
1,SDSS-II SN 12929,0.1653100385468223,0.2994740754019,1.2434169835761049,0.016830371529874207,-0.4928896386019562,-3.072051209038812e-06,9.942375527356159,1e+38,1e+38
2,SDSS-II SN 12942,0.798123099426989,0.4549236677158435,1.452880126230643,0.8479951061109925,0.6566023954345048,-3.8632855374635984e-07,46.73623902955046,1e+38,1e+38
3,SDSS-II SN 13423,0.6007425057960761,0.31780566865578724,0.0023934756838392256,0.1240493416585162,0.5049621307080462,1.7000195678932608,13.55522794889566,1e+38,1e+38
4,SDSS-II SN 13786,0.22732300653938425,-1.387202926483433,-3.4629482623028696e-06,0.04114323813904928,-2.5389575058965294e-06,-3.668977355482144e-06,7.956067868651158,1e+38,1e+38
5,SDSS-II SN 13957,0.7452170109724372,0.2845434134912504,-2.150471910129031e-08,-0.9543153177494678,-1.8485132810336293e-06,4.40244892039164e-06,9.729354231621949,1e+38,1e+38
6,SDSS-II SN 14332,1.3388835510661277,1.187791119846322,0.8493198579908998,1.0358579688831917,1.0605021845480953,-1.713658554512346e-06,68.88850425660551,1e+38,1e+38
7,SDSS-II SN 14355,0.99360211449119,-0.16418130373829135,-0.12970672596252503,-1.3702139330184466,0.7916422188450881,0.0003005736264402285,19.94447211855404,1e+38,1e+38
8,SDSS-II SN 14478,0.8990131737208648,1.8922985291093015,2.5980861067984766,-0.20387458419359467,0.17131467207419146,3.600596976635371e-06,16.72778405912123,1e+38,1e+38
9,SDSS-II SN 14883,0.7861412226335189,1.124215069630245,-0.6142256614575581,0.5592011684296231,-1.6588150815519016,2.7832270795667164e-05,9.426738438451508,1e+38,1e+38
10,SDSS-II SN 14965,0.7327523651447947,1.0489380926506666,1.5618246897888555,1.1976301684242328,0.47423789964647667,-3.6001050304636238e-06,5.881664371516072,1e+38,1e+38
11,SDSS-II SN 14988,0.8166068818643392,0.9334075584702433,1.0668399760450822,0.05283319514295549,0.9698442532871007,-4.2234678480489235e-06,6.266505885134331,1e+38,1e+38
12,SDSS-II SN 1504,0.7354144633387334,0.5510373291087971,1.2532359630718133,0.5268437319576544,-0.3387827330100643,1.5619643286104327e-05,0.8316389134457727,1e+38,1e+38
13,SDSS-II SN 15103,0.9945602307700243,0.5506558324674015,-0.24811289102782885,0.12792933325187547,1.30990489536626,-0.00019340220696254182,6.166274920645857,1e+38,1e+38
14,SDSS-II SN 15255,1.2835221705253088,2.1156085815145076,1.6714819644838885,4.192562552301056,4.197461475206415,1.8412274011531346e-05,12.86488829846186,1e+38,1e+38
15,SDSS-II SN 15385,1.1338013094191781,0.4596836585041726,0.43799662399173,1.9824694864956722,2.636211685805198,2.0925724128936896e-06,10.95723627835283,1e+38,1e+38
16,SDSS-II SN 15958,1.1254419798631894,0.7105634054918158,0.3137172327279572,-0.7025313315558251,0.8651909812797182,-3.954260713683405e-05,26.55835749129042,1e+38,1e+38
17,SDSS-II SN 16052,0.54226061289884,0.5235856057590227,1.4160773869961234,0.5619508341353252,-0.7022247049913083,3.7281118119058896e-06,8.38781028664931,1e+38,1e+38
18,SDSS-II SN 16225,1.0661694650428355,0.22497716746155572,1.02547867479134,0.36425478936332945,-0.49691376955088884,2.009881679599599e-06,4.588358698753257,1e+38,1e+38
19,SDSS-II SN 16586,0.8007298857786613,1.8461585104334906,2.7148410078153313,1.7985748748221415,2.4348382931954387,3.7971961025545045e-07,4.311123966221498,1e+38,1e+38
20,SDSS-II SN 17097,0.7406543976805594,0.9802148901154515,0.7427020087966666,8.965236826338769,9.203959142866092,-3.373622026116096e-05,55.18559837903072,1e+38,1e+38
21,SDSS-II SN 17371,0.8506624521159046,1.6129766805441514,0.24675901705058564,0.31352611565385935,-0.3547705673689849,-2.7326068371566928e-05,23.852668462907165,1e+38,1e+38
22,SDSS-II SN 17374,1.4696806511110188,0.9273071316483145,-0.12180557272347867,1.3443156334241277,0.8967785056639759,4.363047557960041e-06,27.588723203064355,1e+38,1e+38
23,SDSS-II SN 17597,0.5582007557107594,0.47312196033285464,0.17774438287702768,0.32469278101534854,0.16534112770130455,-4.249115353164239e-05,1.357167970366112,1e+38,1e+38
24,SDSS-II SN 17776,1.1902105716323486,1.5750639469306436,0.5424063861625644,2.450976800368899,2.0943895753884543,-4.4456571791060784e-05,33.014611036935015,1e+38,1e+38
25,SDSS-II SN 17916,0.9411891586242649,-0.1857878240755478,-1.0155220183196576e-05,-0.42492719588765426,8.152369834227288e-06,-1.3564035664239412e-05,11.54968412165325,1e+38,1e+38
26,SDSS-II SN 17965,2.7015823751166956,0.5660510691456364,0.5070893631184211,1.5889204131111578,1.6673360601697775,1.5214110398971002e-05,25.29383204234031,1e+38,1e+38
27,SDSS-II SN 18191,0.6051187433472521,0.23968546120971543,0.23774613749367574,0.45915156728315,1.2361524363913245,2.4140610420901816e-05,19.241267741534767,1e+38,1e+38
28,SDSS-II SN 18666,1.388456116636684,0.6661496835225177,-0.3130116483075574,1.9919298592745276,1.4044722953819113,-2.7813648532254927e-05,18.33444157981993,1e+38,1e+38
29,SDSS-II SN 19011,1.742292869719707,1.7814497655041437,3.91432191079868e-06,1.1320522244747522,-8.325812737922314e-06,2.372749455560067e-05,77.6219921081193,1e+38,1e+38
30,SDSS-II SN 19024,1.2987980790859255,0.5716874500632071,0.04498489448165593,0.7541306197684415,0.17639434132830153,-1.0572830135941666e-05,11.572999624984437,1e+38,1e+38
31,SDSS-II SN 19118,0.5236895988726408,0.21538833708924326,0.26253259424375924,0.3737317393715822,-1.0083738730963192,0.00015128910028933958,5.7982847710551875,1e+38,1e+38
32,SDSS-II SN 19350,1.0853348938836673,-0.13440627771745153,0.2895424088545452,0.7836371102865594,0.02577048140723914,3.9857689778315674e-06,2.8701719644626023,1e+38,1e+38
33,SDSS-II SN 19499,1.6035060342923837,0.9283270844823536,-0.27616989892707566,0.7547996718976793,-0.1066603713484897,2.029832911515804e-06,10.993711439031268,1e+38,1e+38
34,SDSS-II SN 19537,0.3360761794386879,0.17635119848043412,0.9704836803943202,0.04585748605816714,-1.3814898909548157,-9.70190078764893e-07,8.038696848113482,1e+38,1e+38
35,SDSS-II SN 20301,0.8526312330535367,0.4272314821407942,0.9205016505296736,0.4165812789362791,1.602462017404888,2.1757897350103155e-05,12.621606032807613,1e+38,1e+38
36,SDSS-II SN 20553,0.7745373369450944,0.7503824407017752,0.2109364804861825,0.5787230607244106,1.7295251682724082,3.84273482322186e-05,5.364002524725206,1e+38,1e+38
37,SDSS-II SN 20694,0.692483557913433,0.037290228559472685,-5.719568052738201e-07,-1.9188814436043549,-2.0070803695132597e-07,-4.9998503728722476e-08,82.20403652309118,1e+38,1e+38
38,SDSS-II SN 2081,1.1139114291036276,0.7138754900152197,-0.09910846462223383,0.6323712879619117,-0.1277986656079708,2.4274921061664318e-05,2.437628721274134,1e+38,1e+38
39,SDSS-II SN 21600,0.5102191423365114,0.635357736871703,0.8592969609699496,0.28715134152198735,-1.1177400620218667,7.161660830582942e-07,13.207982809290343,1e+38,1e+38
40,SDSS-II SN 2313,0.1970794496800319,0.1383933747185355,1.1743360782976833,0.24234486517994094,-1.132095974073055,-3.8493970978316154e-07,5.278531170042164,1e+38,1e+38
41,SDSS-II SN 3370,1.4362955922259537,0.4335186507322497,0.6874654368155995,0.7700768278602892,-1.1684269920853316,-4.936108475937383e-06,11.476725424646036,1e+38,1e+38
42,SDSS-II SN 3535,0.7407339184531333,0.35919379594442424,1.261273862097826,1.1877618705040274,0.7836077433452799,-2.458756315958651e-05,8.603624595646716,1e+38,1e+38
43,SDSS-II SN 3674,0.7801506474793858,1.1571566491734993,0.3771826565681883,1.5158298719585246,1.501351609933032,-1.0675158123512309e-05,8.920581247218879,1e+38,1e+38
44,SDSS-II SN 4231,1.1119563537147636,0.4049942585623448,0.06252360176512614,1.7289224492445237,0.5451484525454142,7.95932387370568e-05,44.924560560816346,1e+38,1e+38
45,SDSS-II SN 4333,0.5466629227636355,0.4394003807123271,0.8928624327828831,0.3078536777043737,-1.443615279741223,-4.114286404418663e-05,6.287784311495277,1e+38,1e+38
46,SDSS-II SN 5723,0.6087674961653086,0.4701535766158522,0.00011166492534132267,-0.5601156742146074,-0.00053779057249611,0.000974364193118798,10.47981042284491,1e+38,1e+38
47,SDSS-II SN 8018,1.4133706073963603,0.9480147644020138,-0.21486533389455775,0.7634160822205619,0.22128331172739224,-6.76096986716466e-08,11.652404674464423,1e+38,1e+38
48,SDSS-II SN 9155,1.449850517844382,2.667292353391302,1.8829665071326314,2.526776191237152,1.8007691309412888,-4.941405586292371e-07,14.162598521033082,1e+38,1e+38
49,SN2005fq,0.7754577523786061,1.162829820620824,0.9966799014843979,3.889086994809225,5.869986902155711,4.033360042012311e-06,26.654882542436276,1e+38,1e+38
