,SN,0,1,2
0,SDSS-II SN 10450,-24.651615,-61.27529,16.650972
1,SDSS-II SN 12929,-49.65569,-53.90936,44.561325
2,SDSS-II SN 12942,-26.464376,-40.803596,17.687244
3,SDSS-II SN 13423,4.438999,-30.045603,-47.73868
4,SDSS-II SN 13786,-24.400099,27.968143,-45.381657
5,SDSS-II SN 13957,-3.530477,-14.875389,2.6311202
6,SDSS-II SN 14332,-41.262615,-24.493658,12.02844
7,SDSS-II SN 14355,14.4859495,-85.44733,-34.86826
8,SDSS-II SN 14478,9.322834,-49.3516,9.972378
9,SDSS-II SN 14883,-32.291035,-40.06505,-44.984215
10,SDSS-II SN 14965,-78.87705,-10.248183,-35.12969
11,SDSS-II SN 14988,-27.66555,-75.53877,7.189704
12,SDSS-II SN 1504,-26.975191,-36.65217,-54.54481
13,SDSS-II SN 15103,-13.641474,-39.953327,-25.134413
14,SDSS-II SN 15255,-1.1596901,-67.09816,-13.19574
15,SDSS-II SN 15385,12.743224,-62.76122,-27.785727
16,SDSS-II SN 15958,2.849436,-29.607038,7.8127303
17,SDSS-II SN 16052,-21.348372,-68.46538,-37.2532
18,SDSS-II SN 16225,-11.087773,-10.410077,-29.663479
19,SDSS-II SN 16586,-17.872557,-13.546919,-12.659924
20,SDSS-II SN 17097,23.252337,-78.28087,-9.601384
21,SDSS-II SN 17371,-44.68609,33.82171,44.165184
22,SDSS-II SN 17374,-46.58049,5.2525444,-9.763557
23,SDSS-II SN 17597,-41.093327,6.7106543,38.3359
24,SDSS-II SN 17776,-30.750847,-7.3349266,3.7243621
25,SDSS-II SN 17916,-16.31065,-31.396563,-5.422043
26,SDSS-II SN 17965,-25.997725,-70.36016,25.65045
27,SDSS-II SN 18191,-28.726215,-20.147058,27.053215
28,SDSS-II SN 18666,-56.764503,-46.809967,17.524591
29,SDSS-II SN 19011,-44.98658,13.089847,28.964302
30,SDSS-II SN 19024,-69.33951,26.101473,42.40249
31,SDSS-II SN 19118,-5.676902,-18.870634,39.97917
32,SDSS-II SN 19350,-46.372234,-13.440441,36.39658
33,SDSS-II SN 19499,-75.08235,30.921757,27.980976
34,SDSS-II SN 19537,15.345123,-64.34831,-46.336185
35,SDSS-II SN 20301,12.008392,-68.72304,-14.102116
36,SDSS-II SN 20553,-52.147545,-15.248089,-35.85408
37,SDSS-II SN 20694,15.743317,-40.40991,19.69484
38,SDSS-II SN 2081,68.48548,-14.213196,36.2125
39,SDSS-II SN 21600,-9.764612,-53.77893,23.808165
40,SDSS-II SN 2313,21.226213,-73.71451,-41.426643
41,SDSS-II SN 3370,-29.374392,-50.469856,-36.577095
42,SDSS-II SN 3535,-47.51454,-27.519209,-62.93639
43,SDSS-II SN 3674,-78.78448,6.45967,1.015365
44,SDSS-II SN 4231,-11.2328005,-27.31669,22.138245
45,SDSS-II SN 4333,-6.9003778,-70.745476,-52.19979
46,SDSS-II SN 5723,-32.4525,17.74102,40.631294
47,SDSS-II SN 8018,-66.00521,30.449394,52.063747
48,SDSS-II SN 9155,-50.253304,-25.09081,-37.33287
49,SN2005fq,-62.156506,-5.587151,51.758644
50,SN2005hw,-15.370286,-20.185074,-30.748709
51,SN2005lk,-55.077915,39.038383,8.830982
52,SN2006lm,-65.6835,-34.27956,-7.2501383
53,SN2006oy,-69.636024,-13.935032,-15.577838
54,SN2006ta,-17.177912,-25.139677,17.004242
55,SN2007jc,-32.875526,32.67859,4.5255404
56,SN2007jx,-41.77045,59.46738,-4.07685
57,SN2007qz,-56.507553,17.743435,39.80744
58,SDSS-II SN 10106,-31.187859,-2.7836206,-16.876783
59,SDSS-II SN 11094,-37.479404,-8.542698,41.421864
60,SDSS-II SN 11850,4.717552,-76.64455,-34.556675
61,SDSS-II SN 13955,12.238118,-45.637573,45.95721
62,SDSS-II SN 14053,1.1039212,-39.559757,4.300506
63,SDSS-II SN 14102,0.44577312,-23.436213,4.078585
64,SDSS-II SN 14228,-16.023033,-7.8583107,48.538383
65,SDSS-II SN 14285,11.121888,-44.944332,-43.837887
66,SDSS-II SN 14322,-21.276117,2.4209251,-71.49146
67,SDSS-II SN 1456,21.71277,-67.43362,-30.028456
68,SDSS-II SN 14851,-31.583357,49.177303,-8.037516
69,SDSS-II SN 1513,-31.101442,-1.0695913,15.977654
70,SDSS-II SN 15428,-7.4460654,-20.956587,-51.04854
71,SDSS-II SN 15470,-31.513878,-41.92507,49.360466
72,SDSS-II SN 1562,-6.821427,-38.649483,-67.846985
73,SDSS-II SN 15988,-10.431346,-77.72051,-40.404545
74,SDSS-II SN 15992,-9.502243,-9.6104355,-43.383984
75,SDSS-II SN 16094,4.923297,-43.669575,-15.596495
76,SDSS-II SN 1706,-33.512043,47.748768,21.252241
77,SDSS-II SN 17455,-40.183174,-36.390564,4.3700314
78,SDSS-II SN 17644,-42.840878,34.969032,11.425403
79,SDSS-II SN 17845,-41.3203,20.634993,35.954067
80,SDSS-II SN 18032,-43.247334,-2.6149702,40.688065
81,SDSS-II SN 18048,-18.734465,-6.586897,9.096232
82,SDSS-II SN 18165,-29.127962,-6.5872245,39.83732
83,SDSS-II SN 18311,-14.290672,-22.436644,40.84202
84,SDSS-II SN 18339,-47.8408,-16.402472,25.055878
85,SDSS-II SN 18365,-23.703808,-4.9239955,33.132053
86,SDSS-II SN 18601,-3.2116778,-47.916412,28.426006
87,SDSS-II SN 18688,9.190229,-83.0702,-41.15803
88,SDSS-II SN 19045,-32.585354,-13.709792,31.354527
89,SDSS-II SN 19175,-31.31732,25.597715,-48.179955
90,SDSS-II SN 19181,1.8875623,-13.353262,17.804955
91,SDSS-II SN 19336,-2.785804,-42.026913,-53.020218
92,SDSS-II SN 19731,-1.5355312,-25.517422,-87.94939
93,SDSS-II SN 20128,-27.852316,-43.001778,-8.74385
94,SDSS-II SN 20695,-7.5963216,9.085558,-6.0378747
95,SDSS-II SN 21065,5.7107,-32.507614,-57.470173
96,SDSS-II SN 21307,-24.0799,18.896461,40.398018
97,SDSS-II SN 21663,-15.79513,-35.355835,-66.93416
98,SDSS-II SN 3832,-6.7442126,-40.07644,17.910307
99,SDSS-II SN 4118,-41.017788,-23.665833,33.369335
100,SDSS-II SN 5323,-35.479458,29.672058,34.333668
101,SDSS-II SN 5595,-30.189074,26.944443,29.013031
102,SDSS-II SN 5897,-13.443992,15.285229,7.5559735
103,SDSS-II SN 6225,-21.410057,6.991089,-33.915794
104,SDSS-II SN 6288,-33.87288,0.016362553,35.960392
105,SDSS-II SN 6638,-3.6780374,-53.81101,3.349812
106,SDSS-II SN 7374,-17.443613,-24.936543,-16.63445
107,SDSS-II SN 7978,-41.965244,-5.8655057,53.15714
108,SDSS-II SN 8165,-42.23484,-43.51097,38.39737
109,SDSS-II SN 8457,11.070828,-50.229366,-68.561424
110,SN2005eg,-91.08849,10.181664,25.074001
111,SN2005fe,-41.009758,-4.656341,-5.4040756
112,SN2005ft,-79.45626,2.920952,32.02985
113,SN2005fv,-75.65138,23.659693,-1.6514189
114,SN2005fx,-41.36395,-3.0016325,-18.79526
115,SN2005gc,-71.491356,36.619434,-6.305149
116,SN2005gs,-48.309544,8.525365,-44.180027
117,SN2005gt,-67.006096,-1.0728153,-38.14729
118,SN2005gu,-22.302622,-29.586157,-29.512571
119,SN2005hc,-42.710278,65.58756,6.0654593
120,SN2005ho,-53.876106,50.038452,18.546911
121,SN2005hx,-61.150753,43.970886,11.593462
122,SN2005id,-59.364685,44.999687,-1.553378
123,SN2005ik,-73.468254,-0.57938707,-10.938178
124,SN2005jb,-12.175652,-18.73749,-41.996685
125,SN2005jf,-47.62573,0.09562405,-64.51946
126,SN2005jl,-69.783226,42.042206,-12.910318
127,SN2005jy,-34.763718,-0.8681113,-25.500431
128,SN2005jz,-33.34937,-8.93625,-22.131937
129,SN2005kn,-45.32764,-14.408679,-11.048461
130,SN2005li,-61.9994,-13.4746475,-17.956501
131,SN2006fg,-24.438211,-60.29924,45.51659
132,SN2006fx,-44.688717,-43.562515,-6.7362356
133,SN2006nu,-81.69426,16.710865,1.3170444
134,SN2006ok,-58.273014,32.871395,-23.470268
135,SN2006oo,-13.950821,-38.146942,8.356642
136,SN2007ih,-60.52027,13.988284,18.266073
137,SN2007mr,21.877481,-60.772957,-19.699186
138,SN2007mt,5.1966043,-37.979187,-65.32834
139,SN2007nk,-71.20994,12.509635,-9.8211355
140,SN2007nl,-47.588566,15.497622,44.05472
141,SN2007pa,-57.533096,27.154314,-5.659833
142,SN2007qn,-12.708973,-21.120733,-62.874367
143,SDSS-II SN 13383,-49.707893,-0.42424032,5.253364
144,SDSS-II SN 14268,-55.105156,-17.155201,17.064535
145,SDSS-II SN 14792,-5.830481,-88.68893,-21.533758
146,SDSS-II SN 15697,3.3586814,-58.07982,-53.25375
147,SDSS-II SN 16467,-32.526054,-20.84765,-21.308352
148,SDSS-II SN 16468,-6.6354904,-60.002945,-30.629194
149,SDSS-II SN 17814,-23.791445,-21.370584,7.6472216
150,SDSS-II SN 17967,-75.96873,-43.211956,9.934745
151,SDSS-II SN 19032,-1.785987,-61.50724,-44.67178
152,SDSS-II SN 19347,-76.682846,-33.63512,-29.957651
153,SDSS-II SN 20278,-41.71773,-8.6223,-53.405773
154,SDSS-II SN 7882,-72.109825,13.981982,-31.946056
155,SN2005hp,-58.95753,19.457108,-24.02431
156,SN2006fk,-62.65111,-63.296177,14.065741
157,SN2006gw,-61.433895,16.091663,-53.649742
158,SN2006la,-73.25789,18.480637,20.072628
159,SN2006pk,-56.247986,12.686982,28.956438
160,SN2007ik,-81.790825,13.3167715,41.839558
161,SN2007iz,-22.612625,-57.631824,-69.88229
162,SN2007jn,-10.270538,-56.980247,-10.191859
163,SDSS-II SN 10991,-6.1565247,-78.416374,-16.092955
164,SDSS-II SN 13633,-35.07779,-17.205183,-52.20746
165,SDSS-II SN 14413,-47.26279,-6.884989,66.698685
166,SDSS-II SN 14475,3.3378625,-87.42929,0.28073415
167,SDSS-II SN 14531,-32.21297,0.84409887,-52.391106
168,SDSS-II SN 15184,-7.152275,-7.314696,11.849861
169,SDSS-II SN 17851,-11.208345,-57.3201,-47.47372
170,SDSS-II SN 20045,6.50459,-64.7333,-37.550137
171,SDSS-II SN 6333,-2.6505926,-91.50885,-41.133144
172,SDSS-II SN 6696,-47.771305,-54.170574,-34.111217
173,SN2005ey,-49.38421,51.56445,0.4972776
174,SN2005ff,-68.02003,29.524818,15.898516
175,SN2005fi,-69.8725,-5.229315,18.229649
176,SN2005fu,-56.43121,44.96501,45.493885
177,SN2005fz,-40.350445,22.920118,-21.522242
178,SN2005ge,-46.414883,19.547138,-32.200375
179,SN2005hu,-76.25267,-40.15106,-21.88185
180,SN2005ia,-91.02373,-13.283184,26.837698
181,SN2005ic,-33.342964,-16.99198,-33.044334
182,SN2005ie,-21.340052,13.273151,-18.277225
183,SN2005ih,-84.48067,-18.243925,-16.29628
184,SN2005jh,-47.26701,36.7533,-14.726224
185,SN2005jk,-61.358517,3.0638974,-12.035122
186,SN2005jo,-57.59785,0.2855716,-2.9198904
187,SN2005jt,-10.729522,-41.644997,-39.68459
188,SN2005mh,-54.566162,-12.064616,-60.63838
189,SN2006fo,-24.716253,-81.055374,-19.262941
190,SN2006gm,-20.692486,11.337765,-8.761513
191,SN2006hc,-87.958694,7.716431,-12.674952
192,SN2006jo,-15.617863,-84.26876,15.111706
193,SN2006jx,7.3899446,-38.722412,-30.95762
194,SN2006no,-33.170338,-16.282513,8.698736
195,SN2007ky,-44.871613,-67.567314,-20.593275
196,SN2007ny,-18.577267,7.326427,36.4726
197,SDSS-II SN 10997,-69.41291,10.70513,29.290243
198,SDSS-II SN 11120,-55.79692,26.039928,17.810879
199,SDSS-II SN 11532,-71.44182,4.105087,24.904257
200,SDSS-II SN 12213,9.133863,-51.910473,-52.816296
201,SDSS-II SN 1257,-45.573444,4.3689103,45.35236
202,SDSS-II SN 12879,-57.2151,-16.340992,42.760357
203,SDSS-II SN 12936,-13.915024,-1.536137,-34.658997
204,SDSS-II SN 12939,-44.61258,-0.3453638,14.896284
205,SDSS-II SN 12964,-33.301796,5.5875983,-32.250576
206,SDSS-II SN 13051,-30.492416,5.1563544,-19.650553
207,SDSS-II SN 13062,-9.943246,-7.697695,36.403347
208,SDSS-II SN 13076,15.62921,-49.208553,-56.113647
209,SDSS-II SN 13096,-34.931343,-10.708301,-42.788208
210,SDSS-II SN 13168,9.228642,-5.9787135,-78.30495
211,SDSS-II SN 13283,-22.723198,-41.88833,44.556892
212,SDSS-II SN 13291,-37.952225,-35.984215,17.26964
213,SDSS-II SN 13330,-12.871373,-62.47168,26.945965
214,SDSS-II SN 13344,-46.72494,-24.145012,-28.487507
