,SN,0,1,2,3,4,5,6
0,SDSS-II SN 10450,-1.8716633,13.248769,-6.713058,-6.098713,-1.0272983,-4.0367794,-0.66036355
1,SDSS-II SN 12929,-7.4486465,-1.9356923,7.4003086,1.6495891,-12.019144,-2.3354394,-1.9966981
2,SDSS-II SN 12942,-2.0280626,1.0511692,-4.8763213,2.8461027,-10.826958,-2.3850718,2.3345814
3,SDSS-II SN 13423,5.698507,0.58522654,5.818039,-1.9405254,-4.042435,-5.6925273,-1.3735276
4,SDSS-II SN 13786,-2.8188076,-10.600488,-0.23714101,3.63225,-1.022793,-5.8198647,-4.99454
5,SDSS-II SN 13957,3.0439248,6.731667,-8.4385605,2.1549063,3.6662621,0.26407483,-8.434915
6,SDSS-II SN 14332,-2.8858447,0.7148443,8.474504,5.160082,-3.4278817,-5.08928,-4.1952777
7,SDSS-II SN 14355,7.4414277,-1.7368938,-0.83011204,-10.935172,-13.927312,-3.1387389,-4.3430676
8,SDSS-II SN 14478,4.4144974,7.6500907,2.9913073,2.882877,-5.152461,-2.5873923,-10.04085
9,SDSS-II SN 14883,2.0635312,-0.96073383,2.616521,-2.178027,0.07930885,-15.671277,11.090221
10,SDSS-II SN 14965,-0.74886936,13.358315,5.4833393,7.2447934,-2.1993065,-11.010714,-1.1076626
11,SDSS-II SN 14988,3.9436626,11.947983,1.7010952,-8.152526,-9.65128,-4.717066,0.57037705
12,SDSS-II SN 1504,-2.1429806,-0.0341986,7.0039263,-4.964643,-5.319981,-12.000684,7.1953244
13,SDSS-II SN 15103,7.4942355,5.959107,-3.5249636,0.8972034,5.267762,-14.071281,2.6091747
14,SDSS-II SN 15255,3.220413,2.0155563,-1.2296116,-11.887793,-1.3603683,-9.072534,-7.3011684
15,SDSS-II SN 15385,10.265882,-0.9413872,-5.2865787,-6.110422,-5.122564,-8.71368,-1.9722483
16,SDSS-II SN 15958,-0.25414935,2.366371,-6.674203,-2.23164,-0.5825086,-2.205241,-11.268432
17,SDSS-II SN 16052,4.6382837,-2.1410577,-1.0253688,-5.643962,-11.243099,-13.774968,3.1195118
18,SDSS-II SN 16225,4.180776,5.250305,0.107201725,-3.0140138,9.962466,-8.648818,2.3279448
19,SDSS-II SN 16586,0.39045477,7.844258,-3.4685585,2.1160982,4.461088,-7.5662117,2.6092217
20,SDSS-II SN 17097,8.251686,7.1055293,2.894881,-15.362969,1.251069,-7.8225036,-1.1032162
21,SDSS-II SN 17371,-15.554211,-1.535348,3.9518838,1.7484775,-4.0145683,5.44136,-4.4227223
22,SDSS-II SN 17374,-5.72365,4.8573217,-6.3971906,4.7949896,3.0846813,-9.52399,7.7972627
23,SDSS-II SN 17597,-9.23332,2.241478,1.9482174,-1.8244413,0.8928956,-0.17916581,-6.1196475
24,SDSS-II SN 17776,-7.805477,9.284239,1.2881497,-0.61667264,4.674519,-5.123877,7.097598
25,SDSS-II SN 17916,-4.7245746,-9.028417,7.7696304,-2.0561666,-0.47765476,-3.603029,-4.0537033
26,SDSS-II SN 17965,0.6922244,7.6940064,-5.660799,0.72522813,-11.851627,3.137383,-0.430197
27,SDSS-II SN 18191,-8.6516075,3.3361442,-4.8327885,-1.2467822,-8.752371,-0.83079267,0.49601543
28,SDSS-II SN 18666,-4.8077145,-5.6922646,-2.4386513,3.4802933,-2.5439465,-12.747568,-5.1779876
29,SDSS-II SN 19011,-14.1302185,4.746578,1.4050087,5.2056384,-4.5811205,0.64765877,-2.1580317
30,SDSS-II SN 19024,-14.660207,0.89155865,-3.7355542,4.639349,-9.421309,1.3905243,3.8971593
31,SDSS-II SN 19118,-5.9120536,-6.1541104,-6.2049794,-0.44074887,-3.5529559,2.4470642,9.548877
32,SDSS-II SN 19350,-11.718208,-0.17586526,-10.280923,1.2782185,-1.867723,-1.2456634,-6.3789043
33,SDSS-II SN 19499,-16.502338,2.5390081,-6.6918406,4.107725,1.733404,-7.160192,-3.9330928
34,SDSS-II SN 19537,11.325796,-2.4374876,-0.5386287,-4.3668895,-12.208591,-6.142738,2.6579542
35,SDSS-II SN 20301,9.784703,6.5495434,-0.7927119,-10.777632,1.0485493,-8.811373,-6.89586
36,SDSS-II SN 20553,-6.420271,3.7736616,-0.160738,-2.2265608,-2.7544365,-13.449413,0.9292546
37,SDSS-II SN 20694,0.04486098,11.766493,1.020033,-5.871208,0.16095218,-1.8714306,-6.0557265
38,SDSS-II SN 2081,-14.260606,2.9093285,-5.7166305,5.6381335,-3.1688707,-3.1101317,-0.3194878
39,SDSS-II SN 21600,1.6397756,-4.0230703,-4.910073,-1.0911733,-12.493607,1.1949651,-4.927287
40,SDSS-II SN 2313,12.040471,1.0827225,-4.620737,-1.4308189,-11.121569,-8.035541,-2.0184956
41,SDSS-II SN 3370,5.128532,-2.815835,0.15376815,2.1896007,-5.429722,-9.269686,3.2624917
42,SDSS-II SN 3535,1.9121455,-0.89145017,5.1573234,1.6430372,-7.452315,-12.241549,-8.737357
43,SDSS-II SN 3674,-14.379521,-3.746598,-5.045363,7.941765,-6.8684125,-5.8615327,0.94866073
