,SN,0,1,2,3,4,5,6,7,8
0,SDSS-II SN 10450,1.5647846,-1.1332445,0.3455426,-7.0828066,6.762857,-2.5240362,-6.235722,2.8191311,-2.755973
1,SDSS-II SN 12929,3.7709105,2.1639502,-0.41653848,1.0880764,-1.1121155,0.45881534,9.721326,4.0463,-0.30874586
2,SDSS-II SN 12942,2.780288,-0.2711601,4.426449,-3.4524329,2.8743918,6.2939644,0.11036118,4.8569784,-1.9481201
3,SDSS-II SN 13423,-5.7715282,-0.12369377,-0.61221385,-3.6098175,-4.330868,0.271997,-5.527488,1.5850229,-4.0540752
4,SDSS-II SN 13786,-0.8881508,2.3182213,0.33212793,-3.515393,4.1627603,-3.8566628,1.5120425,4.952352,6.9376626
5,SDSS-II SN 13957,7.22065,0.891441,-1.4229261,6.03915,-1.3738716,-1.935368,0.39602184,2.6856177,-2.9263325
6,SDSS-II SN 14332,3.04788,-0.17270891,-0.62826073,1.8421259,5.3806844,-1.4253758,-2.4871118,6.0147376,-4.1817384
7,SDSS-II SN 14355,-1.2973568,9.945368,-1.8972611,-9.355389,-2.2881196,-3.8698118,-0.7470855,1.364222,-9.976065
8,SDSS-II SN 14478,-1.0190383,-1.6086036,-3.4894977,0.65853965,-4.2735233,8.016504,3.2916758,-1.4247237,-5.0056963
9,SDSS-II SN 14883,2.4983783,1.6685907,1.123292,-1.0258918,-0.204799,-5.3314915,0.13750432,11.651445,-6.0429826
10,SDSS-II SN 14965,-5.6198626,1.1926041,0.8827351,-4.9787974,3.030924,4.8450522,8.149051,3.5698085,-3.5789714
11,SDSS-II SN 14988,-4.0789747,2.1414025,0.36505234,-1.1224191,-0.30233297,0.7247113,0.4381985,1.4923937,-15.327636
12,SDSS-II SN 1504,-2.2100668,6.838301,-0.42033243,-2.2006228,-3.752293,3.5837939,-2.7777047,8.830627,-0.59048116
13,SDSS-II SN 15103,3.8065186,0.8457808,0.6037643,1.6905318,-1.2700102,0.109859675,-1.739219,2.701599,-13.165167
14,SDSS-II SN 15255,-3.4065967,0.57393885,4.482455,-5.074695,0.39537343,-0.8494472,3.1828835,-1.8187343,-9.171903
15,SDSS-II SN 15385,-1.297162,3.2547183,1.1087899,-6.524866,-3.462041,-6.9300013,-0.20625462,2.5709307,-6.8792224
16,SDSS-II SN 15958,5.637886,-0.99709743,1.7848238,-0.38828883,-0.59508824,-1.7072337,-3.566745,3.0683908,-0.5798782
17,SDSS-II SN 16052,-5.3756557,4.256737,3.5605698,-5.4981284,-4.5909495,-1.3526031,-3.78488,7.594844,-5.5886126
18,SDSS-II SN 16225,-3.4904718,-0.68448555,-1.9335283,1.5875585,-4.4496665,5.234368,-3.9101093,1.8450198,-7.174368
19,SDSS-II SN 16586,-6.8384,1.5433624,-1.5562654,-0.6309555,2.3056862,0.5011267,-0.4045095,-3.6628566,-9.210297
20,SDSS-II SN 17097,-4.396796,0.62749267,0.78168255,-5.062617,-9.985981,-7.608015,-4.2797475,0.14401843,-1.9724673
21,SDSS-II SN 17371,-0.32122165,2.4633942,2.420281,1.474373,6.4833307,6.235195,5.7028604,1.3582209,6.2348104
22,SDSS-II SN 17374,-9.320487,-0.19290465,-1.9830832,3.5331645,5.987384,0.6070409,-1.628747,1.99116,-6.463349
23,SDSS-II SN 17597,-0.9479075,-1.4136175,-6.709565,2.406845,6.836937,0.8614265,4.484377,1.7070174,1.768556
24,SDSS-II SN 17776,-4.8399115,2.145913,-3.0502002,2.8059778,5.5142846,7.3314867,-0.85716677,-0.6813381,-2.7460494
25,SDSS-II SN 17916,0.38954428,1.153144,4.4855886,-1.978378,-1.6916178,-2.1640656,5.5537057,5.479254,1.5404212
26,SDSS-II SN 17965,0.77341837,-5.658006,-1.3492143,-1.853391,-3.5586064,2.607332,-0.69894385,8.544264,3.496089
27,SDSS-II SN 18191,-1.092377,4.769609,2.2459338,1.0496068,0.85965663,6.78311,-2.3978813,3.8235488,1.3505548
28,SDSS-II SN 18666,-3.58108,0.3747557,-6.9327545,2.6632733,5.237875,-1.3151462,-1.5355954,-0.6237315,-7.094231
29,SDSS-II SN 19011,-1.985125,2.7440646,-1.1224095,1.9677418,10.686158,2.8288634,-2.995264,2.6736665,3.7271705
30,SDSS-II SN 19024,2.1533585,4.459753,-1.030462,4.864382,7.3504004,8.980418,-0.13062212,5.29538,1.7462198
31,SDSS-II SN 19118,0.4413934,-3.4847689,-3.9222739,4.275838,2.40533,0.78812027,4.6228514,-3.3857675,-5.920949
32,SDSS-II SN 19350,0.59154415,-3.790435,-3.4254591,1.2487558,3.9417531,6.2693396,4.7625856,6.0727787,1.9854978
33,SDSS-II SN 19499,2.9328363,-1.6923658,-2.716165,3.3673248,9.541993,4.2743573,1.5826082,7.8986516,4.9276476
34,SDSS-II SN 19537,-0.24832162,6.4661546,-1.9744189,-9.304977,-6.820688,-2.3851027,-0.7081318,2.948335,-2.66158
35,SDSS-II SN 20301,-3.4316814,0.20660245,4.662839,-6.3910074,-7.556191,-5.8063426,-0.07727464,3.7104847,-3.6427329
36,SDSS-II SN 20553,-2.8868577,2.997027,0.94316304,-0.3630037,2.0251968,0.7066479,-0.62670976,12.456048,-3.561843
37,SDSS-II SN 20694,-2.1749418,4.2286463,4.165812,-4.03963,2.8891726,-1.8335541,-2.6707358,0.6581303,2.183227
38,SDSS-II SN 2081,-2.8185456,1.2020669,-3.0366206,2.8734338,7.0118318,5.2065425,1.4672613,6.791138,3.0828445
39,SDSS-II SN 21600,5.714403,0.3254499,-1.549132,-4.456461,-2.8705013,3.8327148,4.9544134,5.290644,-2.0562868
40,SDSS-II SN 2313,-1.3371265,7.609539,0.06172871,-6.200293,-8.179138,-6.767438,-1.008504,5.50961,-6.03438
41,SDSS-II SN 3370,-4.986737,6.7994347,-1.3644,-0.1359814,-4.550205,-1.529692,-1.7912506,3.5011556,-4.1191516
42,SDSS-II SN 3535,-1.5838214,0.4329621,0.083732665,-5.1949587,4.092799,-5.5943913,-1.6296247,9.694348,-1.1387998
43,SDSS-II SN 3674,-6.0585117,5.9800982,-0.35675886,3.7560654,8.538845,7.0536447,2.518516,6.1109886,0.090542436
44,SDSS-II SN 4231,4.066559,1.0220305,2.0511549,4.4214544,1.0101784,5.6985164,-1.5336984,1.1478167,-7.675362
45,SDSS-II SN 4333,3.4896426,3.8756757,2.7299185,-8.399671,-4.292526,-2.2373173,-1.4953206,6.4272633,-5.1530595
46,SDSS-II SN 5723,-3.1573176,4.498295,1.0967898,2.767805,2.083677,0.16527656,4.963277,1.6009656,4.949613
47,SDSS-II SN 8018,-2.5040114,3.5798366,-1.6324267,3.6221962,3.656161,11.213108,1.8196505,1.9813852,3.0950255
48,SDSS-II SN 9155,-1.6512681,-3.5207016,-0.07744261,-3.698513,0.75689346,0.31187993,-0.9488582,11.59607,-3.012036
49,SN2005fq,-2.6412885,2.288463,1.7000837,2.8460164,5.2354913,4.6127357,5.9168344,-4.3872776,-4.072446
50,SN2005hw,-1.7661085,1.965802,2.921797,1.509172,3.464814,-5.4287796,-3.465279,1.2658964,-9.669507
51,SN2005lk,-6.782905,-4.848789,-3.2310865,7.6140127,3.9136374,4.7657266,0.85493976,3.94238,2.6164532
52,SN2006lm,-1.4570764,0.8028529,-0.10834902,-1.2444446,7.0487123,8.506543,-2.3129072,10.397465,-5.9617457
53,SN2006oy,-1.9426044,3.7353644,0.6479323,1.2511958,6.005969,6.818872,0.36107147,4.7783184,-10.586103
54,SN2006ta,-0.24717173,2.7591841,-2.0588582,4.9712496,0.74650264,6.095931,-1.0855067,3.0964344,-5.926284
55,SN2007jc,-1.6172326,-4.758087,1.3988104,7.2677584,0.8080562,-2.7151513,-0.07236902,7.722989,6.049639
56,SN2007jx,-2.8284938,-4.343537,0.122207314,4.657615,8.59616,3.9794936,2.2012463,1.9318452,11.664094
57,SN2007qz,-3.2360282,-3.8482795,1.0151688,0.928541,9.220591,5.7900157,5.359377,0.9469196,2.9179292
58,SDSS-II SN 10106,-7.1939783,7.3826976,-1.0546434,-0.061553102,2.3265014,2.2339911,6.611383,1.4517546,-2.1945002
59,SDSS-II SN 11094,2.0719247,0.8712,-5.85816,3.0934396,1.9070528,4.864996,3.4750886,2.2477195,0.52044433
60,SDSS-II SN 11850,-2.0913684,5.329361,4.008957,-9.831893,0.01889322,-2.1587307,1.7251332,1.0960826,-5.3932867
61,SDSS-II SN 13955,0.14333759,4.624409,-0.40673625,3.5448983,-5.9149923,-3.8722138,-0.7460043,3.9748871,8.820875
62,SDSS-II SN 14053,5.2940907,-2.0331066,4.5897985,-4.0221786,3.4749577,-1.3977034,-1.6826432,2.2705576,-4.1589174
63,SDSS-II SN 14102,7.455363,3.130646,3.2395256,1.2873317,-0.50344574,0.48423597,-0.15419187,3.0042236,-2.114108
64,SDSS-II SN 14228,-1.0679027,5.601106,-0.89141136,9.245806,-0.88752156,0.97328246,4.1438246,-1.0859542,-1.9007097
65,SDSS-II SN 14285,4.815601,1.8242314,-4.3890524,-8.764066,-3.1965208,-3.4760725,0.8770104,2.9714246,-4.2203217
66,SDSS-II SN 14322,-6.763187,4.970624,-0.83977574,-1.0175685,-4.9732103,5.3650928,3.669787,-1.1209323,-1.5171736
67,SDSS-II SN 1456,-0.87948257,1.1166022,0.08142987,-11.056748,-1.0608512,-6.0727825,1.2429211,4.0003004,-2.511895
68,SDSS-II SN 14851,-2.6479993,0.85305035,-0.27507472,9.201369,-0.5518679,0.22012629,-1.019088,3.2694738,10.958281
69,SDSS-II SN 1513,-3.0042274,5.006472,-5.317587,1.8615407,3.2466524,-1.9368951,4.456903,3.1148312,0.8479395
70,SDSS-II SN 15428,-0.25066912,1.3103654,1.4413203,-2.3938735,4.0228195,-8.745869,-1.4348379,2.9291492,-3.0788834
71,SDSS-II SN 15470,0.020432621,-0.7261667,-7.5954537,-1.4340223,0.83123726,0.13442363,-3.3532841,6.406269,4.2236905
72,SDSS-II SN 1562,-0.84257954,3.3769531,-0.13603394,-6.3240347,-3.713838,6.932099,-4.3166347,3.8119137,0.5455882
73,SDSS-II SN 15988,-4.758003,4.119368,0.58342147,-11.036355,-2.8014429,-4.460672,-2.0091593,8.381406,-6.3313923
74,SDSS-II SN 15992,-1.430455,3.3873725,-3.1043937,1.8018017,-0.48324165,-3.6325595,-5.9806633,3.154501,-5.755948
75,SDSS-II SN 16094,1.8655481,1.5437776,5.9576235,-4.220624,-0.011465246,-5.566452,3.6740375,4.4540253,-5.682671
76,SDSS-II SN 1706,-0.34290197,0.7714715,-0.8441572,3.3798323,1.0332874,6.6428723,1.1969589,2.9754524,9.780931
77,SDSS-II SN 17455,0.022239203,-5.678273,0.96295536,-4.8958125,7.2363067,5.6531363,-1.129997,5.157607,-3.5680227
78,SDSS-II SN 17644,-6.834311,-0.17627653,-3.0291588,6.156412,2.9868875,1.8015248,-1.5211107,2.2589562,6.287662
79,SDSS-II SN 17845,-1.1109701,2.2000413,-0.4567556,2.2503557,8.220398,-2.5141037,6.277024,2.4464846,4.9968343
80,SDSS-II SN 18032,-0.05582269,4.7789106,-2.431593,1.3315524,4.9535,5.050735,4.574844,-0.13351558,-0.22276872
81,SDSS-II SN 18048,0.27907932,-5.998357,2.075173,9.461147,-1.1670674,2.0669074,-4.6985774,1.6001382,-1.4349065
82,SDSS-II SN 18165,4.9726434,2.4854462,0.1794849,4.086014,1.1691054,5.654271,3.1131933,4.3691034,0.3916343
83,SDSS-II SN 18311,-0.5766624,-2.0175643,-0.37939742,6.2842174,1.30681,4.98167,0.6160256,-3.8539376,-5.178634
84,SDSS-II SN 18339,-1.307936,3.7103825,-5.5340624,-0.22762647,6.5410876,-0.40389636,-2.0801995,3.7186186,-0.85142785
