,SN,0,1
0,SDSS-II SN 10450,19.723478,-15.681773
1,SDSS-II SN 12929,10.583606,-38.483265
2,SDSS-II SN 12942,36.701023,4.274276
3,SDSS-II SN 13423,-56.400143,-3.7956107
4,SDSS-II SN 13786,-4.01413,-24.039251
5,SDSS-II SN 13957,-15.152827,-29.241674
6,SDSS-II SN 14332,35.1856,13.382032
7,SDSS-II SN 14355,-26.753021,-31.757048
8,SDSS-II SN 14478,5.1921816,-8.818296
9,SDSS-II SN 14883,23.868975,-46.99769
10,SDSS-II SN 14965,21.174614,0.87569493
11,SDSS-II SN 14988,46.042637,5.058724
12,SDSS-II SN 1504,11.347443,-28.158052
13,SDSS-II SN 15103,45.201096,8.302622
14,SDSS-II SN 15255,45.24665,31.902983
15,SDSS-II SN 15385,44.806644,27.368557
16,SDSS-II SN 15958,9.485152,-1.1672323
17,SDSS-II SN 16052,14.444365,-35.34319
18,SDSS-II SN 16225,16.741156,-25.907131
19,SDSS-II SN 16586,45.069992,26.013687
20,SDSS-II SN 17097,46.993855,32.794
21,SDSS-II SN 17371,14.255556,-26.099674
22,SDSS-II SN 17374,27.811554,6.2370095
23,SDSS-II SN 17597,4.3617125,-23.13113
24,SDSS-II SN 17776,41.705498,28.422106
25,SDSS-II SN 17916,-13.0773945,-23.540897
26,SDSS-II SN 17965,30.645355,26.278788
27,SDSS-II SN 18191,48.73747,9.167165
28,SDSS-II SN 18666,37.033424,23.216711
29,SDSS-II SN 19011,31.11754,-12.190662
30,SDSS-II SN 19024,24.460741,-9.37154
31,SDSS-II SN 19118,16.59169,-40.951706
32,SDSS-II SN 19350,18.520294,-10.354142
33,SDSS-II SN 19499,28.486317,-11.895279
34,SDSS-II SN 19537,17.35018,-48.974426
35,SDSS-II SN 20301,46.676506,12.199913
36,SDSS-II SN 20553,47.686916,13.885494
37,SDSS-II SN 20694,-16.788565,-34.972897
38,SDSS-II SN 2081,16.319723,-21.275898
39,SDSS-II SN 21600,17.781284,-44.74916
40,SDSS-II SN 2313,16.561296,-50.821224
41,SDSS-II SN 3370,28.752747,-37.308334
42,SDSS-II SN 3535,35.247494,6.0671015
43,SDSS-II SN 3674,47.145824,20.144762
44,SDSS-II SN 4231,24.78893,3.422841
45,SDSS-II SN 4333,19.465143,-47.16278
46,SDSS-II SN 5723,-10.741508,-28.916988
47,SDSS-II SN 8018,25.653818,-9.165316
48,SDSS-II SN 9155,39.741802,28.337248
49,SN2005fq,46.02581,32.38245
50,SN2005hw,43.77272,16.809889
51,SN2005lk,23.055172,27.53567
52,SN2006lm,41.47777,2.0719237
53,SN2006oy,28.114758,3.62148
54,SN2006ta,25.18937,4.3846755
55,SN2007jc,28.34993,24.534706
56,SN2007jx,12.040258,-7.569543
57,SN2007qz,21.11362,-10.531054
58,SDSS-II SN 10106,29.001543,6.7646246
59,SDSS-II SN 11094,16.146233,-38.636295
60,SDSS-II SN 11850,17.690336,-51.498985
61,SDSS-II SN 13955,18.621344,1.1723047
62,SDSS-II SN 14053,14.686217,-50.706913
63,SDSS-II SN 14102,-23.636965,-23.25338
64,SDSS-II SN 14228,7.773168,-11.645401
65,SDSS-II SN 14285,22.190748,-48.696045
66,SDSS-II SN 14322,6.2648673,-39.139072
67,SDSS-II SN 1456,47.32864,6.0623674
68,SDSS-II SN 14851,28.275274,-45.132942
69,SDSS-II SN 1513,10.210343,-3.2333484
70,SDSS-II SN 15428,9.02311,-38.969185
71,SDSS-II SN 15470,12.829297,-32.817055
72,SDSS-II SN 1562,18.581894,-50.337223
73,SDSS-II SN 15988,7.5386057,-19.074202
74,SDSS-II SN 15992,8.091334,-38.778744
75,SDSS-II SN 16094,16.206598,-49.73709
76,SDSS-II SN 1706,6.8345304,-9.691854
77,SDSS-II SN 17455,45.08171,21.552176
78,SDSS-II SN 17644,32.040947,-28.519224
79,SDSS-II SN 17845,8.71678,-4.0508857
80,SDSS-II SN 18032,6.591915,-15.927351
81,SDSS-II SN 18048,52.626488,11.474142
82,SDSS-II SN 18165,8.684496,-37.987392
83,SDSS-II SN 18311,47.97049,7.863987
84,SDSS-II SN 18339,40.155643,0.6126676
85,SDSS-II SN 18365,-48.68028,-8.058979
86,SDSS-II SN 18601,16.167427,-51.48576
87,SDSS-II SN 18688,13.82937,-40.934513
88,SDSS-II SN 19045,12.6894045,-4.6925187
89,SDSS-II SN 19175,-11.477017,-22.14745
90,SDSS-II SN 19181,-13.804776,-30.52923
91,SDSS-II SN 19336,51.55044,9.484248
92,SDSS-II SN 19731,-12.499791,-27.642975
93,SDSS-II SN 20128,4.317877,-20.214167
94,SDSS-II SN 20695,-12.897639,-32.784103
95,SDSS-II SN 21065,10.33224,-32.35777
96,SDSS-II SN 21307,-12.553009,-23.141151
97,SDSS-II SN 21663,19.395681,-49.486633
98,SDSS-II SN 3832,24.933825,16.463179
99,SDSS-II SN 4118,47.884163,5.616888
100,SDSS-II SN 5323,2.5400958,-16.551908
101,SDSS-II SN 5595,19.471457,2.4274507
102,SDSS-II SN 5897,-14.398546,-31.899412
103,SDSS-II SN 6225,8.115313,-34.26081
104,SDSS-II SN 6288,14.864739,-21.547884
105,SDSS-II SN 6638,20.842209,-37.455387
106,SDSS-II SN 7374,5.6420274,-20.866192
107,SDSS-II SN 7978,11.548839,-5.564079
108,SDSS-II SN 8165,2.865851,-26.820402
109,SDSS-II SN 8457,18.121124,-48.28054
110,SN2005eg,34.038307,6.722853
111,SN2005fe,22.471731,-4.7930493
112,SN2005ft,26.528032,2.4384465
113,SN2005fv,26.206715,4.203064
114,SN2005fx,20.769888,-0.17583367
115,SN2005gc,24.656485,22.173084
116,SN2005gs,33.71153,11.257357
