,SN,0,1,2
0,SDSS-II SN 10450,-2.1853044,3.3975065,3.9181345
1,SDSS-II SN 12929,-5.129165,-4.7066617,8.91211
2,SDSS-II SN 12942,2.7170975,3.6544235,1.9464322
3,SDSS-II SN 13423,-1.4811283,-13.754406,-8.033511
4,SDSS-II SN 13786,-4.779874,-5.5505633,2.9435296
5,SDSS-II SN 13957,1.2565366,-6.258042,2.8263612
6,SDSS-II SN 14332,4.7477527,6.5023284,4.5162973
7,SDSS-II SN 14355,4.5258117,-6.091758,0.8611561
8,SDSS-II SN 14478,1.1024417,-3.2634265,3.8750656
9,SDSS-II SN 14883,-5.867375,-1.5532769,15.20259
10,SDSS-II SN 14965,0.65525466,4.1782937,2.3768857
11,SDSS-II SN 14988,6.8527102,1.7200928,1.6943263
12,SDSS-II SN 1504,-3.7368798,-1.4084693,7.113503
13,SDSS-II SN 15103,7.8640866,2.7923574,2.8355284
14,SDSS-II SN 15255,10.196084,12.37551,4.579837
15,SDSS-II SN 15385,9.564907,10.391554,4.2592883
16,SDSS-II SN 15958,4.92043,-1.3610309,2.8813753
17,SDSS-II SN 16052,-5.291725,-2.0736284,9.40445
18,SDSS-II SN 16225,-1.3218365,-0.940908,8.001202
19,SDSS-II SN 16586,9.47353,9.9447155,3.70476
20,SDSS-II SN 17097,10.825675,12.7226925,4.2803607
21,SDSS-II SN 17371,-2.0171552,-1.3491782,7.1026196
22,SDSS-II SN 17374,3.3060906,6.8501353,5.558122
23,SDSS-II SN 17597,-3.2502234,-2.9443352,4.062775
24,SDSS-II SN 17776,8.277703,10.864311,4.693856
25,SDSS-II SN 17916,0.41778344,-4.1990957,2.364461
26,SDSS-II SN 17965,3.7333996,9.980702,7.803066
27,SDSS-II SN 18191,7.676186,3.4483945,0.940046
28,SDSS-II SN 18666,6.2767696,9.196467,5.18329
29,SDSS-II SN 19011,-0.22987539,6.111468,8.624924
30,SDSS-II SN 19024,-0.120755814,3.352709,6.2132506
31,SDSS-II SN 19118,-5.051644,-2.794773,11.715365
32,SDSS-II SN 19350,-1.1280907,1.5024569,4.5700784
33,SDSS-II SN 19499,-1.0609933,5.618559,7.9825206
34,SDSS-II SN 19537,-5.451011,-4.404919,14.0631695
35,SDSS-II SN 20301,8.686292,4.3855405,2.347541
36,SDSS-II SN 20553,8.944423,5.236012,2.0592866
37,SDSS-II SN 20694,2.7161176,-6.7505574,3.3122005
38,SDSS-II SN 2081,-1.213948,0.7190855,6.007832
39,SDSS-II SN 21600,-5.3158507,-3.0458176,12.64447
40,SDSS-II SN 2313,-4.423746,-4.562994,13.344196
41,SDSS-II SN 3370,-5.608598,2.5249627,12.902671
42,SDSS-II SN 3535,2.624535,4.5698137,1.6410335
43,SDSS-II SN 3674,7.6780996,7.8947473,1.8366271
44,SDSS-II SN 4231,0.9658441,6.3015637,3.4921138
45,SDSS-II SN 4333,-5.702365,-3.1457489,14.267442
46,SDSS-II SN 5723,-0.1649193,-5.7803745,3.2137084
47,SDSS-II SN 8018,0.032691,3.7696464,6.5534983
48,SDSS-II SN 9155,7.64786,10.960239,5.228945
49,SN2005fq,10.473371,12.634908,4.472858
50,SN2005hw,8.315663,6.386363,3.3735323
51,SN2005lk,0.95948046,9.1267185,9.862527
52,SN2006lm,5.440809,2.0737538,3.6526098
53,SN2006oy,2.2935476,6.079765,5.048576
54,SN2006ta,1.4362092,6.6729937,3.3915515
55,SN2007jc,3.7730985,9.1704855,8.579447
56,SN2007jx,1.3056194,-0.2990669,3.203453
57,SN2007qz,-0.88470936,2.3068242,5.0867167
58,SDSS-II SN 10106,3.2934895,6.353826,5.259872
59,SDSS-II SN 11094,-6.2608943,-2.3857722,10.63244
60,SDSS-II SN 11850,-4.115885,-4.125092,13.720671
61,SDSS-II SN 13955,-0.9178596,4.658213,2.2970147
62,SDSS-II SN 14053,-5.17211,-5.5572414,13.570163
63,SDSS-II SN 14102,2.7117789,-4.9552093,2.1236475
64,SDSS-II SN 14228,2.8621294,-2.9785292,4.561377
65,SDSS-II SN 14285,-5.990151,-2.5443976,15.34346
66,SDSS-II SN 14322,-2.4504764,-4.371585,8.944759
67,SDSS-II SN 1456,7.8341374,1.9465814,1.4593647
68,SDSS-II SN 14851,-3.0625374,-0.38288426,14.193635
69,SDSS-II SN 1513,4.1586657,-0.80804145,2.902527
70,SDSS-II SN 15428,-3.9872317,-4.677629,8.890241
71,SDSS-II SN 15470,-4.3966804,-2.3050215,8.391942
72,SDSS-II SN 1562,-4.9535584,-4.3532996,14.488845
73,SDSS-II SN 15988,-3.4840312,-0.78928846,3.6597404
74,SDSS-II SN 15992,-3.6684725,-4.527398,8.809079
75,SDSS-II SN 16094,-5.048949,-4.770565,13.717919
76,SDSS-II SN 1706,1.8194674,-3.0631652,4.089035
77,SDSS-II SN 17455,8.958654,8.131083,3.0815496
78,SDSS-II SN 17644,-1.4133106,3.7207077,11.885595
79,SDSS-II SN 17845,3.5778792,-1.0506849,2.5582376
80,SDSS-II SN 18032,-2.0710928,-3.617522,4.527549
81,SDSS-II SN 18048,8.605311,4.2012696,-0.67891544
82,SDSS-II SN 18165,-3.8692536,-4.4643197,8.58926
83,SDSS-II SN 18311,7.877839,2.6481018,1.3130089
84,SDSS-II SN 18339,5.420179,2.5577722,4.459238
85,SDSS-II SN 18365,-1.0971531,-10.26862,-5.706945
86,SDSS-II SN 18601,-4.329117,-4.7011194,13.31394
87,SDSS-II SN 18688,-4.997623,-3.8079994,11.099599
88,SDSS-II SN 19045,3.3635626,0.5459447,3.2386098
89,SDSS-II SN 19175,-0.43847755,-4.0318027,2.4473245
90,SDSS-II SN 19181,0.76930326,-6.5139346,3.4877906
91,SDSS-II SN 19336,8.760509,3.382777,-0.16800298
92,SDSS-II SN 19731,-1.271146,-8.231538,1.7510858
93,SDSS-II SN 20128,-5.640038,-1.1712198,4.0256777
94,SDSS-II SN 20695,0.48668787,-7.418203,4.3899674
95,SDSS-II SN 21065,-3.7343178,-3.1858294,7.7615833
96,SDSS-II SN 21307,0.33563504,-4.146769,2.4077797
97,SDSS-II SN 21663,-5.35483,-3.7435122,14.70211
98,SDSS-II SN 3832,5.604641,5.4703274,-0.96971273
99,SDSS-II SN 4118,7.7827067,1.9151392,1.3140385
100,SDSS-II SN 5323,-7.8922954,-2.0263271,3.1529653
101,SDSS-II SN 5595,-0.49156064,5.1634145,2.2237527
102,SDSS-II SN 5897,1.200171,-7.029338,3.813088
103,SDSS-II SN 6225,-6.7621536,-3.1285932,7.240948
104,SDSS-II SN 6288,-1.1014569,0.017308557,5.7054496
105,SDSS-II SN 6638,-4.898412,-0.7561151,11.399045
