,SN,0,1,2,3
0,SDSS-II SN 10450,0.18816574,4.261082,-0.7638761,-2.066907
1,SDSS-II SN 12929,5.1245465,5.289554,-1.7234101,1.9083759
2,SDSS-II SN 12942,-2.8388767,3.5564556,0.79687905,-0.28135195
3,SDSS-II SN 13423,2.1741264,-4.6898575,7.6214275,2.9725158
4,SDSS-II SN 13786,2.6804008,3.8076437,2.9716141,2.018793
5,SDSS-II SN 13957,2.1550071,0.39876008,2.359608,4.591906
6,SDSS-II SN 14332,-5.291429,1.847087,-1.1276115,-1.3312603
7,SDSS-II SN 14355,-0.5563357,0.03731309,1.177996,4.9777613
8,SDSS-II SN 14478,0.2561392,1.5638666,0.9665129,2.9598663
9,SDSS-II SN 14883,5.241368,5.4067397,-7.0201983,-0.10981474
10,SDSS-II SN 14965,-1.9117324,4.044741,0.518429,-1.3051757
11,SDSS-II SN 14988,-3.8949635,2.4620945,0.9265489,2.8071008
12,SDSS-II SN 1504,2.3751929,4.232985,-1.33053,0.3229655
13,SDSS-II SN 15103,-5.2385664,1.9731243,0.23124453,2.75512
14,SDSS-II SN 15255,-8.732036,5.7184515,-5.0247645,-0.25996947
15,SDSS-II SN 15385,-8.146781,4.6614566,-3.762247,0.29197177
16,SDSS-II SN 15958,-1.9006665,0.18628772,0.20454101,3.354473
17,SDSS-II SN 16052,3.7935183,5.613192,-2.5734367,0.16000734
18,SDSS-II SN 16225,2.7302206,2.317123,-2.5450199,-0.0016412025
19,SDSS-II SN 16586,-8.153917,4.7149434,-3.1817958,0.40194905
20,SDSS-II SN 17097,-9.0835,6.1646824,-5.155951,-0.07626188
21,SDSS-II SN 17371,2.088889,2.8000984,-1.9995619,0.6895101
22,SDSS-II SN 17374,-4.4652963,1.9765118,-1.8404591,-2.4909606
23,SDSS-II SN 17597,1.2116197,3.6391025,1.0875162,1.510107
24,SDSS-II SN 17776,-7.404185,4.5167036,-4.024878,-0.65996146
25,SDSS-II SN 17916,1.3803742,0.498331,1.6409671,2.7522926
26,SDSS-II SN 17965,-5.1674776,0.90835845,-4.787536,-1.042075
27,SDSS-II SN 18191,-5.184815,3.542102,0.9381556,2.4143457
28,SDSS-II SN 18666,-6.5910797,2.9746325,-3.0376961,-1.3619106
29,SDSS-II SN 19011,-1.1595005,1.2523984,-4.0625267,-2.2025335
30,SDSS-II SN 19024,-0.55728954,1.2404405,-1.6343602,-1.5237715
31,SDSS-II SN 19118,5.0719686,5.6054106,-3.8884237,0.316533
32,SDSS-II SN 19350,0.83192426,1.9025825,-0.23254323,-1.4035143
33,SDSS-II SN 19499,-0.42811355,1.0368133,-3.5618072,-1.6970884
34,SDSS-II SN 19537,6.5583467,5.9446173,-5.3364596,1.3650168
35,SDSS-II SN 20301,-6.387097,2.904391,-0.078179464,2.4803474
36,SDSS-II SN 20553,-6.8522096,3.453909,-0.2743718,2.2100446
37,SDSS-II SN 20694,2.36782,-0.46197775,3.117858,6.257329
38,SDSS-II SN 2081,1.2398608,1.9037646,-1.2945397,-0.9075126
39,SDSS-II SN 21600,5.3874903,5.5511103,-4.565637,0.587893
40,SDSS-II SN 2313,6.444989,6.5287375,-4.4094477,1.200381
41,SDSS-II SN 3370,2.2525873,3.2472608,-6.0825047,-1.5674803
42,SDSS-II SN 3535,-3.3644905,4.0360312,0.7785535,-0.8003407
43,SDSS-II SN 3674,-6.925385,4.4752326,-0.6969206,0.11464342
44,SDSS-II SN 4231,-3.0821471,3.8691874,-0.7206995,-2.8355367
45,SDSS-II SN 4333,5.961161,5.6513577,-5.8817763,0.7030436
