,SN,0,1,2,3,4
0,SDSS-II SN 10450,-0.39407277,-0.651636,-2.412467,-0.50891393,2.482991
1,SDSS-II SN 12929,0.76032835,0.21936026,0.28008053,3.3662643,5.0304637
2,SDSS-II SN 12942,1.1410848,-2.9557188,-1.3448588,-0.91362906,0.7413728
3,SDSS-II SN 13423,-2.5076728,-0.16254927,7.417948,-0.7799717,-1.1134937
4,SDSS-II SN 13786,-0.10717667,-1.7799757,1.9349798,1.6070249,3.9983828
5,SDSS-II SN 13957,2.7831335,0.18800592,3.2630918,2.3227608,2.10374
6,SDSS-II SN 14332,1.2832019,-2.2108352,-2.2827005,-1.3251914,-2.3240142
7,SDSS-II SN 14355,3.579307,-1.2106626,3.0067327,0.92056,0.4939758
8,SDSS-II SN 14478,2.6321495,-0.8900901,1.326846,1.1616664,1.8278304
9,SDSS-II SN 14883,0.43094635,2.629155,-2.8822627,5.733636,3.244301
10,SDSS-II SN 14965,0.34030855,-2.3723967,-1.8798097,-1.1562812,1.4110892
11,SDSS-II SN 14988,3.0699468,-3.5258229,-0.29760453,0.857818,-0.19762489
12,SDSS-II SN 1504,1.0347437,0.42536622,-1.2036613,0.9401797,4.1061873
13,SDSS-II SN 15103,3.3300796,-3.7014034,-0.66587776,0.8353913,-1.5358447
14,SDSS-II SN 15255,1.6861869,-3.2137604,-6.4948483,1.5077778,-4.211084
15,SDSS-II SN 15385,1.2312845,-3.6419108,-4.9316335,1.4951229,-3.9836392
16,SDSS-II SN 15958,3.398924,-1.2733799,1.6413399,0.45341876,-0.2862622
17,SDSS-II SN 16052,0.19482034,0.78086627,-1.6717551,2.6354415,4.8432317
18,SDSS-II SN 16225,1.3504547,1.9611553,-1.1349576,1.2811856,2.7437477
19,SDSS-II SN 16586,1.3241119,-4.005671,-4.699795,1.3523945,-3.7526052
20,SDSS-II SN 17097,1.9406983,-3.3658886,-6.887814,1.5893084,-4.2436767
21,SDSS-II SN 17371,1.61232,1.4658062,-0.8559539,0.61197466,3.3400834
22,SDSS-II SN 17374,0.7412782,-1.2473716,-2.9355452,-1.7797494,-1.9604567
23,SDSS-II SN 17597,1.1257098,-1.3929385,0.55135596,0.43533042,3.277385
24,SDSS-II SN 17776,0.7200901,-2.8260758,-5.0454645,1.0393466,-3.7206757
25,SDSS-II SN 17916,1.9062428,0.11240817,1.8185673,1.8284482,1.5375072
26,SDSS-II SN 17965,0.87199336,0.04131179,-2.7974327,-0.106265284,-4.258341
27,SDSS-II SN 18191,2.5290334,-4.6067586,-1.1478301,0.9396918,-0.66411
28,SDSS-II SN 18666,0.7994693,-2.3607323,-3.8857596,-0.43659163,-3.5947247
29,SDSS-II SN 19011,0.51748335,1.5619676,-2.8043628,0.18711485,-0.903018
30,SDSS-II SN 19024,0.89376515,0.66805506,-1.53757,-0.7134192,0.34629923
31,SDSS-II SN 19118,0.05194007,1.4898034,-1.5538371,4.1158586,4.760725
32,SDSS-II SN 19350,0.13135852,0.19088306,-0.97235173,-0.18815273,1.4320105
33,SDSS-II SN 19499,0.6176084,1.6790528,-2.027221,0.19405268,-0.36598492
34,SDSS-II SN 19537,0.7573454,1.701646,-1.3219081,6.079378,4.653202
35,SDSS-II SN 20301,2.9328039,-4.5310903,-1.4986687,0.9571094,-2.0817182
36,SDSS-II SN 20553,2.6375465,-4.794503,-2.06246,1.0507561,-2.2548726
37,SDSS-II SN 20694,3.997271,0.6053047,4.481285,2.6610086,1.9355842
38,SDSS-II SN 2081,0.73249155,1.006263,-1.1351713,0.10883219,1.7895279
39,SDSS-II SN 21600,0.2318428,1.8458288,-1.5355579,4.683183,4.6568584
40,SDSS-II SN 2313,0.5396703,1.0312732,-1.3336574,5.6657853,5.2052956
41,SDSS-II SN 3370,-0.03132036,2.8021317,-3.1051478,3.0049336,1.3373634
42,SDSS-II SN 3535,0.64482003,-3.2916825,-1.7665236,-1.0610839,0.50282794
43,SDSS-II SN 3674,1.1498144,-4.5967236,-3.329925,0.22639927,-2.1341033
44,SDSS-II SN 4231,-0.38946596,-1.9206593,-2.8855095,-1.9904312,0.07132313
45,SDSS-II SN 4333,0.51215386,2.185267,-1.8826568,5.832635,4.17839
46,SDSS-II SN 5723,2.0599377,-0.30691218,2.5701036,2.0369558,2.7945487
47,SDSS-II SN 8018,0.9924262,0.843122,-1.7159901,-0.711136,-0.041904062
48,SDSS-II SN 9155,0.585905,-2.2967377,-4.9751906,0.8156726,-3.6642625
49,SN2005fq,1.8253336,-3.2865183,-6.713331,1.5418127,-4.2317414
50,SN2005hw,2.3311987,-4.1185684,-2.4417853,0.30292216,-3.1186798
51,SN2005lk,0.23246403,1.9490259,-3.4395692,0.6839671,-3.1310616
52,SN2006lm,2.8356318,-2.2057734,-0.53614396,-0.122194596,-1.0249704
53,SN2006oy,0.5636499,-1.2243786,-2.8016503,-1.9418002,-1.013988
54,SN2006ta,-0.3753365,-2.162224,-2.9348025,-2.0401535,-0.30992472
55,SN2007jc,0.5166003,0.21679436,-3.4205003,-0.27011603,-3.9888525
56,SN2007jx,1.967827,-0.123118974,0.13620178,-0.085017815,1.1428245
57,SN2007qz,0.48453057,0.07470267,-1.6326865,-0.7857566,1.4885663
58,SDSS-II SN 10106,0.83099663,-1.3498958,-2.6823275,-1.7637333,-1.722671
59,SDSS-II SN 11094,0.52831346,2.1192148,-1.2008117,3.1332004,4.953246
60,SDSS-II SN 11850,0.38089058,1.0443043,-1.7617162,5.772138,5.178171
61,SDSS-II SN 13955,-0.74139583,-2.1614141,-1.7879462,-1.0842149,1.9895813
62,SDSS-II SN 14053,1.0470413,1.209788,-0.6260576,6.089319,5.0788894
63,SDSS-II SN 14102,3.1457682,1.0447129,2.9403727,2.1686952,0.5382705
64,SDSS-II SN 14228,2.7831867,-2.333212,1.1803838,0.9335623,1.4839736
65,SDSS-II SN 14285,0.60309875,2.5246549,-2.4516058,6.224821,3.5918162
66,SDSS-II SN 14322,1.6869684,1.5566871,0.37643823,2.8720298,3.7171664
67,SDSS-II SN 1456,3.2983527,-4.113155,-0.46217284,1.2915772,-0.42658505
68,SDSS-II SN 14851,-0.13784426,1.6450521,-4.371838,4.5703335,3.793329
69,SDSS-II SN 1513,3.0771198,-1.0756643,0.9605354,0.24047205,-0.25506046
70,SDSS-II SN 15428,1.2494557,0.72918254,0.5009614,3.052399,4.5575924
71,SDSS-II SN 15470,0.93341154,0.7577691,-1.1098994,1.9329001,4.8311014
72,SDSS-II SN 1562,0.66204596,1.5376494,-1.625945,6.299529,4.776945
73,SDSS-II SN 15988,1.496017,-1.9922752,-0.16625828,0.023291789,2.429532
74,SDSS-II SN 15992,1.3520459,0.8675181,0.45224518,2.909474,4.4083123
75,SDSS-II SN 16094,0.75850713,1.3393546,-1.1446496,5.9570866,4.9607277
76,SDSS-II SN 1706,2.6317554,-1.4462036,1.1951339,0.9644866,1.646303
77,SDSS-II SN 17455,1.7612861,-4.4132814,-3.5949473,0.82653517,-3.2252088
78,SDSS-II SN 17644,-0.04472459,1.503491,-5.040181,1.285257,0.9472906
79,SDSS-II SN 17845,2.915354,-0.64072496,0.9665699,0.2021674,-0.21264055
80,SDSS-II SN 18032,1.7617165,-2.140106,0.6558111,0.5394497,2.7500374
81,SDSS-II SN 18048,2.0216866,-5.4521427,-2.1273146,1.3594538,-0.28594375
82,SDSS-II SN 18165,1.2717632,0.6637509,0.46862993,2.7983146,4.5064526
83,SDSS-II SN 18311,3.0275805,-4.331237,-0.757031,1.1670555,-0.6053698
84,SDSS-II SN 18339,2.767701,-1.8686051,-0.86361945,-0.32180396,-1.5614603
85,SDSS-II SN 18365,-2.243739,-0.86791486,5.249896,0.8007295,0.67599595
86,SDSS-II SN 18601,0.55839777,0.9502206,-1.2926298,5.6855736,5.2721863
87,SDSS-II SN 18688,0.33983207,0.8318134,-0.9890048,4.1920733,5.097156
88,SDSS-II SN 19045,2.5600832,-1.3272531,-0.014203632,-0.13258964,0.2694777
89,SDSS-II SN 19175,1.4252385,-0.062970035,1.669259,1.5826662,1.9427749
90,SDSS-II SN 19181,2.7265153,-0.04074099,3.2246299,2.476734,2.7889686
91,SDSS-II SN 19336,2.512179,-5.314413,-1.6345876,1.5782776,-0.2653939
92,SDSS-II SN 19731,2.2399976,1.7957531,3.514935,2.7046862,2.4366229
93,SDSS-II SN 20128,0.23498316,-1.9453672,-0.9177157,-0.10847226,3.3369508
94,SDSS-II SN 20695,2.7653575,-0.26197833,3.5753593,2.6223514,3.6658564
95,SDSS-II SN 21065,1.236396,0.6092051,-0.30396456,1.9110202,4.463423
96,SDSS-II SN 21307,1.8777053,0.08080588,1.780478,1.7478702,1.6039608
97,SDSS-II SN 21663,0.61585397,1.9178303,-1.8514429,6.255788,4.413282
98,SDSS-II SN 3832,-0.15439352,-3.8582292,-0.9131664,0.8942743,-1.0980273
99,SDSS-II SN 4118,3.260384,-4.145091,-0.46872565,1.303675,-0.33109632
100,SDSS-II SN 5323,-1.3479273,-2.4801548,-1.0554475,-0.24140064,3.2840872
101,SDSS-II SN 5595,-0.86186653,-2.293184,-1.9390266,-1.5315742,1.2703824
102,SDSS-II SN 5897,3.0374687,0.09703142,3.608991,2.6704187,2.9532301
103,SDSS-II SN 6225,-0.466069,-0.9257214,-0.74293715,2.2479937,4.9950786
104,SDSS-II SN 6288,0.6882413,0.91950125,-0.6870016,0.47253114,1.751696
105,SDSS-II SN 6638,-0.03249193,1.7686287,-2.5415874,3.1846626,3.9976318
106,SDSS-II SN 7374,0.57371294,-1.8352817,-0.70873815,-0.087662034,3.072717
107,SDSS-II SN 7978,2.448672,-0.7456575,0.28568694,-0.0032883158,0.63556087
108,SDSS-II SN 8165,0.92572963,-0.8066732,0.7055913,1.1133147,4.465835
109,SDSS-II SN 8457,0.7643947,2.061378,-1.4697446,6.1256857,4.321056
