,SN,0,1,2,3,4,5
0,SDSS-II SN 10450,1.3471278,0.51493937,1.8700292,-1.8738788,-0.17650679,-1.1462966
1,SDSS-II SN 12929,-0.8415492,4.576522,1.9709755,-0.80045855,0.32875082,0.451632
2,SDSS-II SN 12942,2.4010491,-0.3919499,0.2904701,-1.5037144,1.184496,0.900748
3,SDSS-II SN 13423,-3.3404446,-0.13544947,-2.338452,1.0638471,-2.3335435,4.765242
4,SDSS-II SN 13786,0.040831633,3.5764291,0.62296075,-1.6472865,-0.4597016,2.0598536
5,SDSS-II SN 13957,-0.85222834,3.0206034,0.32710743,1.879301,0.57399714,2.7257907
6,SDSS-II SN 14332,2.1883492,-2.8088245,-0.34432298,-0.24976885,1.9402125,-0.29194832
7,SDSS-II SN 14355,0.39679825,1.4618921,-0.8054544,1.9912032,1.5143582,2.7055454
8,SDSS-II SN 14478,1.0379968,1.9373584,1.0898626,1.0812764,0.7319993,2.399261
9,SDSS-II SN 14883,-3.311132,3.1120439,4.2330976,-0.0486129,-0.18702285,-2.458048
10,SDSS-II SN 14965,2.229793,-0.27065974,0.78328097,-2.0506282,0.52098966,0.124347165
11,SDSS-II SN 14988,2.0402021,0.38191047,-0.17291251,0.2415496,2.982895,1.8546633
12,SDSS-II SN 1504,1.1500492,2.8091373,2.493524,-0.55706257,0.33007836,-0.54323626
13,SDSS-II SN 15103,2.1801395,-0.46173087,-0.57246953,0.6495666,3.7862608,1.4725791
14,SDSS-II SN 15255,2.077522,-1.2767339,0.01334948,-0.6559915,4.922741,-4.117836
15,SDSS-II SN 15385,1.8516942,-1.4109393,-1.2700075,-0.61031336,4.5347314,-3.205839
16,SDSS-II SN 15958,0.9261557,0.39565372,-0.25211692,1.9217404,1.55712,2.232202
17,SDSS-II SN 16052,-0.3295229,3.7262042,2.6839848,-1.2729881,0.5846229,-1.249792
18,SDSS-II SN 16225,0.21628375,1.9834542,3.1277292,0.8482646,-0.04402779,-0.7157004
19,SDSS-II SN 16586,2.0152051,-1.3247204,-1.4156684,-0.77595156,4.5854845,-2.8062027
20,SDSS-II SN 17097,2.2170148,-1.1239498,0.28719062,-0.7161352,5.219997,-4.2386003
21,SDSS-II SN 17371,1.0935807,2.2980063,2.8846228,0.65252495,-0.06367745,-0.40714562
22,SDSS-II SN 17374,2.0043445,-3.0678546,0.27654314,-0.4054075,1.0507011,-1.0183249
23,SDSS-II SN 17597,1.4328835,2.3696237,0.78435487,-0.79618835,0.3006,1.2874444
24,SDSS-II SN 17776,1.64211,-1.7663124,-0.9333459,-0.72195286,3.64769,-3.4292223
25,SDSS-II SN 17916,0.01004838,2.1208234,1.2549769,1.5546647,-0.17411876,2.2612474
26,SDSS-II SN 17965,0.87931037,-3.0701058,-0.66924506,1.6467593,1.7368855,-2.351681
27,SDSS-II SN 18191,2.3382936,0.19159135,-0.7486108,-0.69279504,3.7271554,1.3001719
28,SDSS-II SN 18666,1.9384605,-2.756181,-0.98573786,-0.3730985,2.6768055,-2.272613
29,SDSS-II SN 19011,0.031338073,-1.6171987,1.8158392,0.8680784,0.17699298,-1.9035668
30,SDSS-II SN 19024,0.9318758,-0.9341734,1.8297042,0.3538508,-0.4809007,-0.30638215
31,SDSS-II SN 19118,-1.7026345,4.180574,3.0289855,-0.9578423,0.6054468,-1.3885577
32,SDSS-II SN 19350,0.9445661,0.22875115,2.0318627,-0.44186482,-1.0744201,0.11802509
33,SDSS-II SN 19499,-0.07597192,-1.0561683,1.8402953,1.0025829,-0.18724322,-1.3070225
34,SDSS-II SN 19537,-3.124308,4.6196017,3.9351912,-0.47950286,-0.33586958,-0.90745634
35,SDSS-II SN 20301,2.3930311,-0.62829745,-1.1350873,0.017868944,4.434316,0.7686706
36,SDSS-II SN 20553,2.4280438,-0.6362576,-1.341135,-0.33051464,4.6047244,0.23615606
37,SDSS-II SN 20694,-1.7930249,3.1175797,-0.58284414,2.692604,1.3593545,2.991241
38,SDSS-II SN 2081,0.7362823,0.6646934,2.4366395,0.20108634,-0.60525477,-0.3116911
39,SDSS-II SN 21600,-2.1705606,4.3190975,3.3394077,-0.62578654,0.4612247,-1.4211918
40,SDSS-II SN 2313,-2.6132853,4.8085074,3.6547801,-1.1931901,-0.3300595,-0.7381689
41,SDSS-II SN 3370,-1.7629591,0.9717188,2.969992,0.5612414,0.66411734,-3.0173674
42,SDSS-II SN 3535,2.4144351,-0.6441415,-0.030681469,-1.9720744,1.2789418,0.4681366
43,SDSS-II SN 3674,2.4007285,-1.1683916,-1.4231988,-1.5684197,3.5816646,-0.90589076
44,SDSS-II SN 4231,2.080322,-1.6913146,0.40699244,-2.0152795,0.24268912,-1.064075
45,SDSS-II SN 4333,-3.2046988,4.1039042,4.0344744,-0.26382598,-0.12861012,-1.5839485
46,SDSS-II SN 5723,-0.2371766,3.2515364,0.68344605,0.9132862,0.32729313,2.4250712
47,SDSS-II SN 8018,0.8163316,-1.2559674,1.7737651,0.5787246,-0.34369445,-0.47580546
48,SDSS-II SN 9155,1.5143929,-1.9981802,-0.7157007,-0.5913873,3.2089417,-3.4646463
49,SN2005fq,2.1543427,-1.1985786,0.16721073,-0.68658745,5.0818014,-4.1846795
50,SN2005hw,2.428017,-1.7472906,-1.4243313,-0.067637846,4.1821504,-0.35100648
51,SN2005lk,-0.18025255,-2.166576,0.7257188,1.6665478,1.0001644,-3.4567173
52,SN2006lm,1.9354095,-1.0469973,0.21508616,0.7527039,2.2620177,1.4232166
53,SN2006oy,2.0714967,-2.5975626,0.6363716,-0.8499327,0.5479461,-0.77471995
54,SN2006ta,2.1431134,-1.9210893,0.11278661,-2.0183742,0.45666805,-1.0612177
55,SN2007jc,1.1312349,-2.9553363,-0.22428595,1.390922,1.6377985,-2.826934
56,SN2007jx,0.93476164,0.46236697,1.4507188,0.7242494,0.2219394,1.1801165
57,SN2007qz,1.3528882,-0.1748068,2.0195255,-0.59935915,-0.5516912,-0.29127523
58,SDSS-II SN 10106,2.0409412,-2.9407156,0.35558957,-0.47362274,1.0401545,-0.6790352
59,SDSS-II SN 11094,-0.87068474,4.3164167,2.8572648,-0.13539112,1.0753038,-1.4547447
60,SDSS-II SN 11850,-2.7260249,4.6559486,3.7943947,-1.4086685,-0.4057814,-1.05491
61,SDSS-II SN 13955,1.6445714,0.18888636,0.7343104,-2.6637146,-0.03508462,-0.35810181
62,SDSS-II SN 14053,-2.8965847,5.0892997,3.7347412,-0.5734272,-0.48141485,-0.15614317
63,SDSS-II SN 14102,-1.1206337,1.7696127,0.4463883,3.014411,0.4663528,2.3532536
64,SDSS-II SN 14228,1.5169165,1.6588744,0.13568048,0.5388367,1.7045014,2.3700836
65,SDSS-II SN 14285,-3.582266,3.6089792,4.3477445,-0.022947364,-0.32939857,-2.0269186
66,SDSS-II SN 14322,-0.70343494,3.7039146,2.5539927,0.9796677,0.2962696,0.29871345
67,SDSS-II SN 1456,2.1295276,0.64939797,-0.5009574,0.22298497,3.6097898,1.7872887
68,SDSS-II SN 14851,-2.2996774,2.7018404,3.9929237,-1.6933968,-0.39723665,-3.188123
69,SDSS-II SN 1513,1.083337,0.017119221,0.27433336,1.66931,1.3293298,1.9502434
70,SDSS-II SN 15428,-0.6360235,4.3391056,2.1488721,0.0073344065,0.33405498,0.4840186
71,SDSS-II SN 15470,0.4329814,3.763533,2.5968752,-0.6284153,0.5922582,-0.7301857
72,SDSS-II SN 1562,-3.22882,4.617131,4.073093,-0.79150426,-0.49510875,-1.0362642
73,SDSS-II SN 15988,1.8992941,1.3074149,0.8007946,-0.90085053,0.8823504,1.3215767
74,SDSS-II SN 15992,-0.5351378,4.1949267,2.235614,0.1924564,0.328824,0.43478593
