,SN,0,1,2,3,4,5,6
0,SDSS-II SN 10450,-12.8178835,-8.78596,1.4622023,-2.0293558,-2.8614993,-5.7557435,-0.10777732
1,SDSS-II SN 12929,-3.324064,-0.98695236,-7.696681,5.5026774,10.7536125,-5.320145,3.1550288
2,SDSS-II SN 12942,-9.763109,-0.60903573,-4.2693405,5.245362,-3.7582648,-7.3219395,0.13223676
3,SDSS-II SN 13423,-1.3308012,0.67798066,2.0204043,-11.906309,-1.468585,-4.3959827,7.5215254
4,SDSS-II SN 13786,-0.09118039,0.28353617,0.73553824,-1.094035,10.893993,0.80242413,8.884475
5,SDSS-II SN 13957,-6.232745,-8.736041,1.6088909,-7.041417,-3.709788,2.2821333,-2.743093
6,SDSS-II SN 14332,-7.691214,-4.9692,6.012169,-0.37670195,2.6451354,-0.70976406,7.9363055
7,SDSS-II SN 14355,-4.50698,-1.3107312,-5.260226,-8.04553,3.1983135,-14.957344,-0.99978036
8,SDSS-II SN 14478,-5.7091002,-0.5484416,3.803957,-0.8937997,-11.042144,-2.2034075,-8.088457
9,SDSS-II SN 14883,-3.217115,4.4394326,-0.036480322,-2.8486722,-3.6510575,-4.07401,15.751434
10,SDSS-II SN 14965,-7.4810596,4.5261235,9.98483,-7.522983,4.1550817,5.678796,6.550527
11,SDSS-II SN 14988,-8.116191,6.847938,0.87297004,-10.820243,-3.1616058,-2.4846816,-5.494114
12,SDSS-II SN 1504,-4.650823,-2.8086057,-3.9857268,-3.5516455,-1.7959384,-8.007752,11.775498
13,SDSS-II SN 15103,-0.6116836,11.254732,6.0752134,2.3067434,-4.157769,-7.010518,6.3610964
14,SDSS-II SN 15255,-6.6060405,0.49017003,7.509114,-3.1234505,-9.428666,-9.893417,1.5705755
15,SDSS-II SN 15385,-1.2426049,-1.2721745,-0.88532674,-4.1903567,-3.230585,-15.441452,4.9381123
16,SDSS-II SN 15958,-10.526437,-3.4684744,0.7894882,-4.1825924,1.2312332,0.80949944,-6.727615
17,SDSS-II SN 16052,-8.845864,5.632817,-4.307384,-2.226457,-4.673538,-11.889813,6.7853274
18,SDSS-II SN 16225,-3.081051,11.984686,-3.8368819,-9.735857,1.9894209,0.6626775,3.8628056
19,SDSS-II SN 16586,-1.1001089,5.2552814,7.8068976,-5.550217,7.480876,-0.26847774,6.389015
20,SDSS-II SN 17097,-1.6052119,-8.729593,1.4541203,-7.272344,-4.631288,-16.63513,0.45052892
21,SDSS-II SN 17371,1.2340978,3.9335718,5.2844357,9.502085,7.548148,8.820857,3.4632719
22,SDSS-II SN 17374,-10.784923,7.692439,-1.4729867,-2.4683514,-4.7666554,4.503382,0.82737494
23,SDSS-II SN 17597,-0.44762138,-1.8435986,1.1503853,5.916121,5.7370944,6.980176,11.631122
24,SDSS-II SN 17776,-8.281046,2.4098184,8.518067,7.993691,5.004749,-1.7861534,5.2237816
25,SDSS-II SN 17916,2.4916043,-1.4297383,-3.208282,2.5861714,0.4388174,-3.878587,12.630339
26,SDSS-II SN 17965,-14.820768,2.030567,6.6140995,-1.8060067,-1.7467339,-0.56419843,-7.5284038
27,SDSS-II SN 18191,-7.506735,-0.53749126,-4.655802,4.579077,-0.17254056,-0.031381626,1.5069524
28,SDSS-II SN 18666,-1.777887,-1.7052906,7.5856347,-2.6115346,-0.0026180649,-2.3754365,15.606706
29,SDSS-II SN 19011,-5.715573,5.6494365,0.8971972,8.547129,4.4605536,7.2177167,5.268364
30,SDSS-II SN 19024,-4.712886,1.0805291,-5.1983886,14.60004,-4.699258,5.7130194,7.009703
31,SDSS-II SN 19118,-6.2044353,-1.1152966,-10.408419,6.5979185,-7.5600224,-0.6441422,2.8037937
32,SDSS-II SN 19350,-2.7360866,-3.3774035,-7.3044114,9.687951,2.9323301,3.686679,8.042385
33,SDSS-II SN 19499,-4.2618213,-3.0519617,-5.6549478,9.087689,-1.943615,10.666877,11.237871
34,SDSS-II SN 19537,0.021995282,2.8864474,-6.2012177,-2.139803,2.0919352,-16.082008,4.1078625
35,SDSS-II SN 20301,-2.0784643,-2.7009718,1.261366,-9.343604,-8.775051,-16.995962,4.557333
36,SDSS-II SN 20553,-9.26434,6.0832896,-5.8193355,-3.0513594,0.8290911,0.21520376,12.007716
37,SDSS-II SN 20694,-4.5051355,4.8052983,8.27745,-1.8554343,-6.213769,-0.9899485,-3.0564296
38,SDSS-II SN 2081,-7.908786,0.3374473,-3.8521216,9.084939,0.85040677,7.5251036,6.8012366
39,SDSS-II SN 21600,-4.0303297,1.3241355,8.39594,6.0241113,5.2963147,-8.756784,0.8250397
40,SDSS-II SN 2313,-2.5536568,0.86190337,-2.8569984,1.9678501,-2.0827067,-19.24542,3.9472597
41,SDSS-II SN 3370,-2.9847488,0.6654047,-2.5604396,-3.851608,-2.253437,-1.7421592,3.755286
42,SDSS-II SN 3535,-8.648998,-1.069185,-10.99708,-2.657564,-2.214165,-3.255423,7.53183
43,SDSS-II SN 3674,-10.5934305,7.848513,-5.7080326,9.099376,-0.18385527,8.155465,7.570433
44,SDSS-II SN 4231,-6.19868,4.2324557,3.0007641,8.300324,-9.134199,0.07681859,-4.5478005
45,SDSS-II SN 4333,-3.534979,8.944796,-8.090584,-0.51829416,-3.441892,-14.272399,3.3918295
46,SDSS-II SN 5723,-1.5227596,0.034339044,-5.425432,0.78626674,2.4807203,7.772598,3.1786737
47,SDSS-II SN 8018,-6.6728005,3.9410641,1.467995,14.737173,-5.112212,6.9534655,3.4603183
48,SDSS-II SN 9155,-9.883594,1.2066137,-4.897704,-4.579214,-6.8153396,-1.8405651,10.459772
49,SN2005fq,-1.1078522,4.9609623,-0.28363433,4.454234,-4.5697694,4.782755,14.454222
50,SN2005hw,2.348316,6.5675364,2.5931878,-2.020891,4.1956735,-0.22569594,12.493203
51,SN2005lk,-11.293009,-5.655135,0.46026048,3.5932097,-3.134465,11.47526,-1.9630103
52,SN2006lm,-19.813126,-2.2573342,1.3644811,0.5441981,1.781994,-3.6426978,4.0641623
53,SN2006oy,-15.573982,11.081491,2.654274,-0.29431918,0.6737411,3.7606974,2.354192
54,SN2006ta,-9.79224,1.9815897,1.64024,6.572574,-7.0198607,3.0021608,-0.49742925
55,SN2007jc,-0.38527486,-9.017305,0.20788299,-0.71597373,-0.22413321,9.339838,8.881303
56,SN2007jx,-5.3372574,-11.052655,-0.48757944,6.086282,1.208785,18.36274,0.9742794
57,SN2007qz,-6.2852297,1.114135,9.87944,8.391949,7.9796286,7.63551,4.634714
58,SDSS-II SN 10106,-4.833798,10.817632,4.597912,-2.211221,6.7458816,5.6500278,3.6801555
59,SDSS-II SN 11094,1.1242056,-0.01696903,-0.26785845,9.509222,-6.4196663,3.223083,8.448467
60,SDSS-II SN 11850,-8.72823,-3.57949,-1.2655823,-3.6099417,-0.9127291,-12.851342,-2.704552
61,SDSS-II SN 13955,-6.0042005,1.7966225,15.280237,-0.28328443,0.64978015,-0.17713691,1.1486083
62,SDSS-II SN 14053,-8.636296,-5.5196466,5.326672,-2.3757474,1.9073634,-2.8704696,-2.2155235
63,SDSS-II SN 14102,-6.2513504,-3.486024,1.6010988,-7.671765,2.5658803,2.5888684,-3.1204007
64,SDSS-II SN 14228,3.8627808,8.159329,-4.4328804,7.660628,-4.752244,2.0577188,0.44692853
65,SDSS-II SN 14285,2.784429,-0.7523049,-3.4531667,-6.5922637,2.822152,-12.2813835,7.565347
66,SDSS-II SN 14322,-6.05165,11.492981,-0.38385302,-1.8955922,-2.7595065,-2.0763385,-2.340204
67,SDSS-II SN 1456,-1.947104,-0.13753647,6.6112137,-1.7075089,-3.538703,-16.146883,3.001666
68,SDSS-II SN 14851,0.40642574,-15.670234,0.5781045,4.2936525,0.3941433,8.123534,1.3125032
69,SDSS-II SN 1513,-1.3457144,1.8219161,-2.8416972,0.11778043,2.9314637,5.6999516,11.035816
70,SDSS-II SN 15428,3.9448805,1.0482512,-3.3628933,-5.785064,4.885198,-2.8389807,11.007311
71,SDSS-II SN 15470,-2.3614252,-7.6063523,5.9054446,11.12817,-2.387399,-5.4610567,4.389162
72,SDSS-II SN 1562,-3.252369,-4.286105,-11.29932,-4.35717,7.0432305,-3.9118078,0.7160899
73,SDSS-II SN 15988,-11.025367,2.3659704,-3.4162858,-4.667823,2.3578243,-12.873492,6.4356165
74,SDSS-II SN 15992,3.9679465,9.13943,-6.1685805,-8.548053,0.5586336,-2.322926,6.0877852
75,SDSS-II SN 16094,-3.2179363,0.28228268,4.8863406,-4.8881326,8.980192,-10.425159,6.2238164
76,SDSS-II SN 1706,-6.438441,-7.102949,3.2494853,11.920239,-1.0472219,6.371141,-0.73843765
77,SDSS-II SN 17455,-10.742974,-5.948685,-1.5205503,1.8392636,-5.982636,-5.826745,6.4023795
78,SDSS-II SN 17644,-7.439082,-9.697383,-3.7608168,2.603416,-4.6932034,11.891967,1.6032248
79,SDSS-II SN 17845,-2.2275014,1.4444437,-0.82902515,3.9049075,5.8087006,12.086152,5.6389823
80,SDSS-II SN 18032,3.5410542,4.340475,0.20430732,7.0339413,-0.79496545,3.5126967,8.856696
81,SDSS-II SN 18048,-0.009259137,2.2316813,-4.483726,5.1704993,-13.826035,-0.8607198,1.4354457
82,SDSS-II SN 18165,1.9743266,1.1747234,-4.033407,11.069809,-2.7182007,1.223316,3.6032965
83,SDSS-II SN 18311,-6.421723,1.7463837,-10.419633,4.831754,-3.9105692,0.1007565,-3.472604
84,SDSS-II SN 18339,-4.670405,4.105425,4.9557843,7.0728536,-0.85262847,-2.9622996,11.124915
85,SDSS-II SN 18365,-1.4393561,2.63204,-6.80732,5.634809,-1.4277974,3.3167539,4.872078
86,SDSS-II SN 18601,-8.480857,-3.1604283,10.7976675,1.9431671,4.426879,-6.4575467,1.1118455
87,SDSS-II SN 18688,-7.41398,-1.887209,-0.5779713,-4.0133595,6.1080446,-15.411963,-0.23963448
88,SDSS-II SN 19045,-5.089102,-2.5786183,-1.2864555,10.02081,-0.4039359,-0.15909672,4.237692
89,SDSS-II SN 19175,0.62868685,-4.4193735,4.939976,-2.0956814,8.470031,-0.11649362,7.1479287
90,SDSS-II SN 19181,-2.7205741,-3.7723093,-3.563404,-4.654399,-5.920657,3.5657284,-2.3413405
91,SDSS-II SN 19336,2.7136884,3.0427654,0.69252,-12.031626,6.7881536,-8.059701,8.562716
92,SDSS-II SN 19731,-5.619892,5.4260836,-1.4709113,-3.646921,-11.354082,-6.579111,-3.7363183
93,SDSS-II SN 20128,-13.645964,1.3713619,3.204821,-1.6012706,8.166745,-6.7839456,0.987586
94,SDSS-II SN 20695,-2.236634,0.29130533,6.7602673,-1.8144445,-9.504294,4.049451,4.2479906
95,SDSS-II SN 21065,-0.51247895,2.0963166,-2.9521532,-9.738931,4.300014,-3.2199256,3.9058604
96,SDSS-II SN 21307,-0.1218567,4.8335433,-6.54084,0.081141725,-1.181531,11.654231,5.5163684
97,SDSS-II SN 21663,-3.8656633,-2.6062222,-6.2443137,-3.6871674,4.3822017,-6.6282268,4.950592
