,SN,0,1,2,3,4,5,6,7
0,SDSS-II SN 10450,0.4393656,0.32463825,1.0936972,1.574813,1.7179475,-0.13326445,1.0866112,0.16232969
1,SDSS-II SN 12929,-0.048836827,-0.0822706,0.7457195,-1.4244283,0.39331135,-0.52949774,4.116413,0.05130234
2,SDSS-II SN 12942,0.9111041,-1.8404323,-0.21764639,0.9187265,1.595765,-0.4086374,-0.017537147,-0.8830191
3,SDSS-II SN 13423,-1.2180667,-0.13059053,-1.5589951,-5.019383,-1.082697,-0.17738138,-1.9090369,-0.4296824
4,SDSS-II SN 13786,0.7365277,-1.0342598,0.5202661,-2.1744652,1.0499129,-0.35185364,2.4445896,0.43429637
5,SDSS-II SN 13957,-0.5765671,-1.0840824,-0.16077924,-2.336484,-1.7619866,-1.4114461,2.0336733,-0.57062393
6,SDSS-II SN 14332,0.75892276,-1.8693496,-0.5090514,2.040797,-0.16754551,0.8870957,-1.6392615,-1.2324381
7,SDSS-II SN 14355,0.1822271,-1.8864796,-1.2157943,-1.2594761,-1.8675736,-1.1815234,1.0070795,-0.88924176
8,SDSS-II SN 14478,-0.044991083,-1.344781,-0.08525803,-1.0293704,-0.38016742,-2.509208,1.4578775,-1.0220777
9,SDSS-II SN 14883,-1.1509814,1.732477,2.4004416,0.38369295,-1.5840435,1.5960474,4.1495833,0.7791353
10,SDSS-II SN 14965,0.8187428,-1.2344645,0.41189647,1.2873832,1.9914964,-0.08678957,0.21380356,-0.3779949
11,SDSS-II SN 14988,1.025972,-2.3495157,-1.1482897,0.22523518,-0.12094886,-0.9296941,0.84682405,-2.1440897
12,SDSS-II SN 1504,0.034403034,0.6288596,1.0027914,0.4442478,1.3218406,-1.5682893,2.808825,-0.3613863
13,SDSS-II SN 15103,1.2711841,-2.6008844,-1.5196754,0.71003526,-0.77497727,-0.31212795,0.40828392,-2.598051
14,SDSS-II SN 15255,2.248082,0.7558867,-0.9024881,3.0898998,-0.7425658,2.9122493,0.9631883,-2.4077656
15,SDSS-II SN 15385,2.0788867,-0.119227275,-1.4647164,2.110135,-0.6060773,3.2237344,0.42798758,-2.1031303
16,SDSS-II SN 15958,0.21407413,-1.7565159,-0.994365,-0.39511466,-1.6086673,-1.4979538,0.33681023,-1.1190611
17,SDSS-II SN 16052,0.025169056,0.93008167,1.2058965,0.22195311,0.9615235,-0.19504905,4.0490174,-0.011251436
18,SDSS-II SN 16225,-0.25517532,1.2331518,1.5263762,0.73777515,-0.28594738,-1.8164079,2.2511942,-0.30197486
19,SDSS-II SN 16586,2.263731,-0.48027807,-1.6114365,2.034428,-0.4382991,3.127642,0.41075194,-2.1229155
20,SDSS-II SN 17097,2.4276805,0.87510794,-0.86063576,3.3120186,-0.73507905,2.818223,1.1920248,-2.620314
21,SDSS-II SN 17371,-0.2639425,1.0127113,1.2234571,0.5360311,0.4871693,-2.3673327,2.276799,-0.4554368
22,SDSS-II SN 17374,0.42074025,-1.2972186,0.25469765,2.485045,-0.018810948,0.97320753,-1.8064623,-0.61254793
23,SDSS-II SN 17597,0.41489577,-0.96341264,0.08720326,-0.75099707,1.3802963,-1.4988254,1.7541376,-0.39225477
24,SDSS-II SN 17776,1.673401,0.11600104,-0.96264535,2.2991295,-0.4146112,3.1428175,0.023418121,-1.51266
25,SDSS-II SN 17916,-0.14289816,-0.5822289,0.53722245,-1.573833,-1.0789418,-2.223443,1.3712664,-0.5079858
26,SDSS-II SN 17965,0.40169185,-0.36767077,-0.58721536,2.157183,-2.4186304,1.750863,-1.5455538,-0.6462389
27,SDSS-II SN 18191,1.6277786,-2.419214,-1.5760053,0.38480315,0.4840123,0.06801838,0.8521628,-2.4458983
28,SDSS-II SN 18666,1.336084,-0.9152788,-0.7768958,2.4614635,-0.5578638,2.534576,-1.1789224,-1.0877651
29,SDSS-II SN 19011,-0.4972884,0.91448414,1.0627383,2.1087346,-1.0727503,0.04934168,-0.65487593,0.14873019
30,SDSS-II SN 19024,-0.09779902,0.00080967776,1.1674094,1.5591327,-0.02946232,-1.2394946,-0.47700477,0.015279728
31,SDSS-II SN 19118,-0.22811277,1.1180658,1.4784986,-0.16571434,-0.06040468,0.39757136,4.76795,0.10680453
32,SDSS-II SN 19350,0.35361934,0.13156192,1.48419,0.76415104,0.6778693,-1.369144,0.24139757,0.2786791
33,SDSS-II SN 19499,-0.49518418,0.88315994,1.130889,1.6686356,-0.9642723,-0.6548207,-0.40305257,0.20287253
34,SDSS-II SN 19537,-0.94338256,0.7996995,2.144499,-1.150825,-1.0398998,1.0660704,4.9660587,0.71957785
35,SDSS-II SN 20301,1.844666,-2.5235155,-1.9124207,0.9040222,-0.46941411,0.6517883,0.42974675,-2.7754145
36,SDSS-II SN 20553,2.0950603,-2.2977242,-1.9991195,1.0284096,-0.29039145,1.1687095,0.49689594,-2.718296
37,SDSS-II SN 20694,-0.9564044,-1.0824143,-0.89560986,-2.6162255,-2.9116182,-0.5245958,2.0443733,-0.7150413
38,SDSS-II SN 2081,-0.040497568,0.67161083,1.3811367,0.9481185,0.33780876,-1.7022994,0.7819365,-0.056310736
39,SDSS-II SN 21600,-0.5169852,1.1862688,1.6630951,-0.3246661,-0.5098448,0.5368091,4.9228344,0.22778629
40,SDSS-II SN 2313,-0.5884102,0.5524704,1.9384247,-1.2074212,-0.250887,1.0612124,5.008901,0.70152986
41,SDSS-II SN 3370,-0.78454167,2.0353317,1.640797,1.846926,-1.4320623,0.6506167,2.2348423,0.13980432
42,SDSS-II SN 3535,1.0938079,-1.7332618,-0.31703746,1.0345838,1.8333272,0.22314811,-0.17595483,-0.80288905
43,SDSS-II SN 3674,2.0995095,-1.6940284,-1.507442,1.4198834,0.7364141,2.0406914,-0.059864946,-1.7164137
44,SDSS-II SN 4231,0.70876634,-0.9262591,0.6195889,2.0246367,1.6088911,1.0020298,-0.82439077,0.038416896
45,SDSS-II SN 4333,-0.9894366,1.2574793,2.1876104,-0.4894391,-1.2801429,1.1906638,4.811309,0.63583326
46,SDSS-II SN 5723,-0.23303525,-1.0512772,0.059532747,-2.1397915,-0.6687497,-1.5914825,2.3238714,-0.48010814
47,SDSS-II SN 8018,-0.22450657,0.03255261,1.1072344,1.7140433,-0.32186317,-1.0833248,-0.69369763,-0.008788997
48,SDSS-II SN 9155,1.3999426,0.19704853,-0.7038632,2.3978424,-0.47373134,2.9982784,-0.22099297,-1.2577757
49,SN2005fq,2.344207,0.8206671,-0.8778436,3.2135105,-0.7395985,2.8585868,1.0850685,-2.523094
50,SN2005hw,1.9379177,-2.2352102,-1.7856005,1.637792,-0.6623673,1.5899925,-0.40169737,-2.3371606
51,SN2005lk,-0.1609309,1.0613328,0.46929872,2.5465786,-2.4791007,1.5391997,-0.5103881,0.011829577
52,SN2006lm,0.5262816,-2.2029335,-0.6765039,1.0309186,-0.5908646,-0.85564256,-0.35070106,-1.7910638
53,SN2006oy,0.38374048,-1.1967466,0.5373474,2.3455234,0.6056795,0.5655367,-1.548267,-0.37234154
54,SN2006ta,0.7841032,-1.064054,0.40296486,2.009181,1.5604626,1.2194299,-1.034554,-0.07542069
55,SN2007jc,0.4798776,-0.060270853,-0.25651002,2.6578617,-2.1670144,1.8986564,-1.5152646,-0.5568297
56,SN2007jx,-0.23511422,-0.5734269,0.3880408,0.2660012,-0.0066201803,-2.1337948,0.4134022,-0.695219
57,SN2007qz,0.1615665,0.013056904,1.2429503,1.4394805,0.9894033,-1.211758,0.16275468,0.012857571
58,SDSS-II SN 10106,0.38003948,-1.4073682,0.22640565,2.348522,0.13695134,0.7232617,-1.7630951,-0.7104398
59,SDSS-II SN 11094,-0.48098278,1.3611709,1.1160462,0.117960945,0.0056696367,-0.6777407,4.767634,-0.21510799
60,SDSS-II SN 11850,-0.5736854,0.6882695,2.0432196,-0.9697749,-0.19404969,1.3785994,4.9945493,0.798895
61,SDSS-II SN 13955,0.736261,-0.63396144,0.75098723,0.9156383,2.1984727,0.50399905,0.5826973,0.16029492
62,SDSS-II SN 14053,-0.8811037,0.3175611,2.016391,-1.7979072,-0.76972854,0.7318255,5.0140586,0.7288099
63,SDSS-II SN 14102,-0.78169334,-0.6336364,0.004185237,-1.6131169,-2.752134,-1.4740424,0.98362887,-0.4939557
64,SDSS-II SN 14228,0.64586633,-1.9739661,-0.81326675,-0.7758846,-0.12832893,-1.6605302,1.4125667,-1.3842553
65,SDSS-II SN 14285,-1.2473334,1.5021467,2.4767752,-0.16695638,-1.7208583,1.5916742,4.4846826,0.846738
66,SDSS-II SN 14322,-0.4848014,0.54225034,1.1358805,-0.83075476,-0.7725679,-1.6064235,3.4462159,-0.23374085
67,SDSS-II SN 1456,1.3601503,-2.4549477,-1.4806083,0.099708065,-0.23881237,-0.6642932,1.1990443,-2.416174
68,SDSS-II SN 14851,-0.43189502,1.6073675,2.215804,0.9924333,0.1334692,2.1184132,3.9394433,0.98888236
69,SDSS-II SN 1513,0.13467664,-1.528156,-0.65400755,0.029923597,-1.2283386,-1.7406738,0.081828035,-1.1681169
70,SDSS-II SN 15428,-0.24779089,0.15909821,0.8644434,-1.2560501,0.0060451496,-1.1877124,3.9229445,-0.086826384
71,SDSS-II SN 15470,-0.05427322,0.7683049,1.0200626,0.06517506,1.0293356,-1.1793493,3.8225203,-0.27239218
72,SDSS-II SN 1562,-0.9210898,0.78475744,2.2516925,-1.1281492,-0.8907224,1.3918266,5.010197,0.8603348
73,SDSS-II SN 15988,0.57088536,-1.4161842,-0.013006374,0.013896373,1.3654939,-1.3202361,1.1600348,-0.865371
74,SDSS-II SN 15992,-0.2741041,0.25136548,0.9170082,-1.1253817,-0.075506255,-1.3508637,3.8107872,-0.13691226
