,SN,0,1,2,3,4,5,6,7,8
0,SDSS-II SN 10450,1.0989546,-1.6617348,-12.893879,0.3649027,1.4232204,3.5795202,-2.2702742,-2.5786114,1.5806217
1,SDSS-II SN 12929,2.4518657,3.6169162,2.6827993,6.729365,-0.7757439,-0.28515342,-6.1287885,0.3972992,2.5523896
2,SDSS-II SN 12942,4.224042,-2.2485664,-6.5068183,0.9192061,1.7979457,3.0349863,-4.6320996,1.7601919,-1.4253751
3,SDSS-II SN 13423,-2.175978,8.101042,0.1903137,0.33792827,-2.4262102,2.1212692,-7.2130494,3.2744985,-0.66375244
4,SDSS-II SN 13786,-1.5485209,1.979306,4.686831,-1.8565055,-1.234833,-0.48685083,-0.24023035,4.205645,8.760445
5,SDSS-II SN 13957,1.5049258,1.3887864,-4.414031,5.5146375,0.7570833,-3.9589999,5.0203605,4.02554,-1.3189914
6,SDSS-II SN 14332,6.7870955,2.746823,-1.7422936,1.7259426,-3.6938994,0.23979865,2.7188828,5.8980303,-1.5071167
7,SDSS-II SN 14355,-2.7069266,2.5075164,-10.233025,-0.72167265,-1.394672,0.7469263,0.71524745,-0.40366492,-9.9011755
8,SDSS-II SN 14478,-6.00999,0.945967,-2.4031105,-0.65794927,4.286524,8.80324,-1.536323,-1.0940095,-3.9933472
9,SDSS-II SN 14883,2.3822362,11.769283,1.8606933,1.6398557,-1.4484154,1.2139298,2.7516544,-0.2729295,-3.6115148
10,SDSS-II SN 14965,1.3335131,3.892555,-4.867522,-3.0148146,-0.6332727,5.8258657,-4.272041,4.597603,6.924797
11,SDSS-II SN 14988,-0.44195938,13.188518,-3.8573449,1.0126715,0.3125424,2.9309542,-5.1857305,6.726339,-1.9856443
12,SDSS-II SN 1504,0.56863505,7.269368,-1.2619866,-0.82773054,-4.029672,3.6179674,3.7799757,-4.6219606,-1.1375136
13,SDSS-II SN 15103,-1.7876673,11.204333,2.8563368,-0.802908,4.7498436,-0.39712873,0.28097007,4.8365703,-0.5494265
14,SDSS-II SN 15255,-3.0989141,3.0974727,-8.04677,-3.9113586,2.8450215,-1.424382,-5.1361966,0.7125067,3.7346613
15,SDSS-II SN 15385,-6.558617,4.597055,-8.75671,0.17895259,-0.7703907,0.3140866,1.7568731,2.8395903,-3.1913116
16,SDSS-II SN 15958,-1.4933643,-1.8879647,-4.881192,3.9565156,-2.8071253,3.5808733,3.9449713,-0.0027068737,-0.10524449
17,SDSS-II SN 16052,1.2323627,11.666456,-6.9757714,-0.4394521,-3.7062285,0.23317069,-4.692926,-0.027754264,-4.8950677
18,SDSS-II SN 16225,4.347825,9.461114,3.2297256,2.9291744,1.3811259,-4.837332,-0.8012912,3.4015293,-2.1822968
19,SDSS-II SN 16586,4.9905643,4.377642,-2.0108192,-0.41646636,5.8170366,-6.1323195,-1.6504086,1.6314561,-0.13707283
20,SDSS-II SN 17097,-11.699689,5.1676035,-6.6794214,-1.8606187,1.5978177,4.367496,-3.6748676,1.212078,-1.4874505
21,SDSS-II SN 17371,8.236367,-0.30773273,1.9303104,-1.7771387,6.914043,-0.55548763,2.3192112,-4.9316273,-0.22927243
22,SDSS-II SN 17374,6.5956945,8.025931,5.248973,1.5321872,0.0110694915,3.7242775,0.6549091,3.7597342,0.18387036
